COMPANY NAME,CAR NAME,AVG. ON-ROAD PRICE
Audi,Audi A3 40 TFSI Premium           ,2781000
Audi,Audi Q3 30 TDI S            ,3128000
Audi,Audi A4 30 TFSI Premium Plus            ,3901000
Audi,Audi A3 Cabriolet 1.4 TFSI            ,4834000
Audi,Audi Q5 30 TDI Premium Edition            ,4958000
Audi,Audi A6 35 TDI Matrix            ,5375000
Audi,Audi TT 45 TFSI            ,6495999
Audi,Audi S5 Sportback 3.0 TFSI Quattro            ,6772000
Audi,Audi Q7 45 TDI Premium Plus            ,7439000
Audi,Audi A8 L 50 TDI            ,11800000
Audi,Audi RS6 Avant            ,14400000
Audi,Audi RS7 Sportback 4.0 TFSI Performance            ,15600000
Audi,Audi R8 5.2 V10 Plus            ,26100000
BMW,BMW X1 sDrive20d Expedition            ,3088000
BMW,BMW 1 Series 118d Sport Line            ,3109000
BMW,BMW 3 Series 320d Prestige            ,3734000
BMW,BMW 3 Series GT 320d Sport Line            ,4413000
BMW,BMW X3 xDrive 20d Expedition            ,4834000
BMW,BMW 5 Series 520d Prestige Plus            ,5106000
BMW,BMW X5 xDrive 30d Expedition            ,6862000
BMW,BMW Z4 sDrive 35i            ,7770999
BMW,BMW 7 Series 730Ld DPE            ,11500000
BMW,BMW 6 Series 640d Eminence            ,11600000
BMW,BMW X6 xDrive40d M Sport            ,12100000
BMW,BMW M4 Coupe            ,12800000
BMW,BMW i8 1.5 Hybrid            ,22599999
Chevrolet,Chevrolet Spark 1.0 BS-IV OBDII            ,373000
Chevrolet,Chevrolet Beat PS Petrol            ,409000
Chevrolet,Chevrolet Sail Hatchback 1.2 Base            ,491000
Chevrolet,Chevrolet Sail 1.2 Base            ,589000
Chevrolet,Chevrolet Enjoy 1.3 LS 8 STR            ,654000
Chevrolet,Chevrolet Tavera Neo 3-9 STR BS III            ,813000
Chevrolet,Chevrolet Cruze LT            ,1337000
Chevrolet,Chevrolet Trailblazer LTZ AT            ,2462000
Datsun,Datsun Redi-GO D            ,244000
Datsun,Datsun GO D            ,336000
Datsun,Datsun GO Plus D            ,393000
Fiat,Fiat Punto Pure 1.2 Petrol            ,480999
Fiat,Fiat Punto Evo Dynamic 1.2            ,574000
Fiat,Fiat Linea Classic 1.4 L P Classic            ,658000
