Manufacturer,Year,Model,Price
Audi,2022,Q3,2425000
Audi,2021,Q3,2740000
Audi,2020,Q3,2762500
Audi,2019,Q3,2816666
Audi,2018,A4,4037839
Audi,2024,A4,1478545
Audi,2023,A4,1613399
Audi,2022,A4,2059375
Audi,2021,A4,2389500
Audi,2020,A4,2522928
Audi,2019,A4,3359166
Audi,2024,Q5,2125000
Audi,2023,Q5,2410615
Audi,2022,Q5,2827500
Audi,2021,Q5,3425500
Audi,2020,Q5,3550000
Audi,2019,Q5,4100000
Audi,2024,A6,1780714
Audi,2023,A6,1979166
Audi,2022,A6,2649533
Audi,2021,A6,2896153
Audi,2020,A6,3593250
Audi,2019,A6,3800000
Audi,2024,Q7,2600000
Audi,2023,Q7,3595000
Audi,2022,Q7,3933333
Audi,2021,Q7,4496000
Audi,2020,Q7,4260000
Audi,2019,Q7,5450000
