Manufacturer,Year,Model,Price
BMW,2018,X1,3606240
BMW,2024,X1,2199000
BMW,2023,X1,1407721
BMW,2022,X1,1606759
BMW,2021,X1,1936375
BMW,2020,X1,2250000
BMW,2019,X1,2400000
BMW,2024,Z4,3779749
BMW,2023,Z4,4450000
BMW,2022,Z4,4600000
BMW,2020,Z4,6600000
BMW,2018,X3,5457507
BMW,2023,X3,2500000
BMW,2022,X3,2762500
BMW,2021,X3,2950000
BMW,2020,X3,3500000
BMW,2019,X3,4400000
BMW,2024,X5,1950000
BMW,2023,X5,3400000
BMW,2022,X5,3800000
BMW,2020,X5,5630000
BMW,2019,X5,6400000
BMW,2018,3 Series,5347925
BMW,2024,3 Series,1282238
BMW,2023,3 Series,1435000
BMW,2022,3 Series,1815000
BMW,2021,3 Series,2537692
BMW,2020,3 Series,2847500
BMW,2019,3 Series,3429166
BMW,2018,5 Series,6835623
BMW,2024,5 Series,2326187
BMW,2023,5 Series,2414473
BMW,2022,5 Series,2636937
BMW,2021,5 Series,2948666
BMW,2020,5 Series,4206250
BMW,2019,5 Series,4070000
BMW,2024,7 Series,3725000
BMW,2023,7 Series,3687500
BMW,2022,7 Series,4398861
BMW,2021,7 Series,5475000
BMW,2019,7 Series,7800000
