Manufacturer,Year,Model,Price
Chevrolet,2018,Cruze,1582634
Chevrolet,2024,Cruze,609217
Chevrolet,2023,Cruze,684771
Chevrolet,2022,Cruze,776999
Chevrolet,2021,Cruze,918928
Chevrolet,2020,Cruze,1168000
Chevrolet,2019,Cruze,1550000
Chevrolet,2018,Enjoy,706922
Chevrolet,2023,Enjoy,230000
Chevrolet,2022,Enjoy,225000
Chevrolet,2021,Enjoy,456271
Chevrolet,2020,Enjoy,537266
Chevrolet,2019,Enjoy,614750
Chevrolet,2021,Sail,409909
Chevrolet,2020,Sail,519800
Chevrolet,2019,Sail,427500
Chevrolet,2018,Beat,521236
Chevrolet,2024,Beat,212372
Chevrolet,2023,Beat,253262
Chevrolet,2022,Beat,275156
Chevrolet,2021,Beat,336242
Chevrolet,2020,Beat,361934
Chevrolet,2019,Beat,417000
Chevrolet,2018,Spark,398480
Chevrolet,2024,Spark,171888
Chevrolet,2023,Spark,191380
Chevrolet,2022,Spark,193000
Chevrolet,2021,Spark,271750
Chevrolet,2020,Spark,315000
Chevrolet,2018,Tavera,951230
Chevrolet,2024,Tavera,463333
Chevrolet,2023,Tavera,448611
Chevrolet,2022,Tavera,564642
Chevrolet,2021,Tavera,646363
Chevrolet,2020,Tavera,745125
Chevrolet,2019,Tavera,809000
