Manufacturer,Year,Model,Price
Hyundai,2024,Santa Fe,1150000
Hyundai,2023,Santa Fe,1181374
Hyundai,2022,Santa Fe,1450000
Hyundai,2021,Santa Fe,1337500
Hyundai,2020,Santa Fe,2313000
Hyundai,2018,Eon,400450
Hyundai,2023,Eon,219947
Hyundai,2022,Eon,245628
Hyundai,2021,Eon,264009
Hyundai,2020,Eon,283571
Hyundai,2019,Eon,346360
Hyundai,2018,Xcent,684745
Hyundai,2022,Xcent,850000
Hyundai,2020,Xcent,577304
Hyundai,2019,Xcent,629777
Hyundai,2018,Grand I10,601818
Hyundai,2024,Grand I10,350000
Hyundai,2021,Grand I10,465714
Hyundai,2020,Grand I10,492525
Hyundai,2019,Grand I10,526043
Hyundai,2018,I10,321000
Hyundai,2024,I10,258633
Hyundai,2023,I10,297916
Hyundai,2022,I10,324039
Hyundai,2021,I10,345842
Hyundai,2020,I10,375045
Hyundai,2019,I10,427761
Hyundai,2018,Elite I20,659777
Hyundai,2024,Elite I20,265000
Hyundai,2023,Elite I20,432500
Hyundai,2022,Elite I20,346250
Hyundai,2021,Elite I20,750000
Hyundai,2020,Elite I20,656923
Hyundai,2019,Elite I20,704166
Hyundai,2018,Elantra,1654545
Hyundai,2022,Elantra,961000
Hyundai,2021,Elantra,1065071
Hyundai,2020,Elantra,1306250
Hyundai,2019,Elantra,1346666
Hyundai,2018,Verna,1057394
Hyundai,2024,Verna,389210
Hyundai,2023,Verna,556420
Hyundai,2022,Verna,607532
Hyundai,2021,Verna,720301
Hyundai,2020,Verna,855812
Hyundai,2019,Verna,988578
