Manufacturer,Year,Model,Price
Mahindra,2018,Thar,667656
Mahindra,2023,Thar,580000
Mahindra,2022,Thar,591000
Mahindra,2021,Thar,733750
Mahindra,2020,Thar,758000
Mahindra,2019,Thar,955000
Mahindra,2018,Verito,991174
Mahindra,2024,Verito,241666
Mahindra,2023,Verito,333043
Mahindra,2022,Verito,400833
Mahindra,2021,Verito,424818
Mahindra,2020,Verito,645000
Mahindra,2019,Verito,398000
Mahindra,2018,Scorpio,1223145
Mahindra,2024,Scorpio,584752
Mahindra,2023,Scorpio,631268
Mahindra,2022,Scorpio,682775
Mahindra,2021,Scorpio,805465
Mahindra,2020,Scorpio,976111
Mahindra,2019,Scorpio,1121894
Mahindra,2018,Verito Vibe Cs,200000
Mahindra,2023,Verito Vibe Cs,615999
Mahindra,2021,Verito Vibe Cs,403333
Mahindra,2019,Verito Vibe Cs,455000
Mahindra,2018,Bolero,732152
Mahindra,2024,Bolero,444476
Mahindra,2023,Bolero,476055
Mahindra,2022,Bolero,524267
Mahindra,2021,Bolero,613769
Mahindra,2020,Bolero,684999
Mahindra,2019,Bolero,748000
Mahindra,2018,Xuv500,1524363
Mahindra,2023,Xuv500,778937
Mahindra,2022,Xuv500,875344
Mahindra,2021,Xuv500,1056185
Mahindra,2020,Xuv500,1184048
Mahindra,2019,Xuv500,1565277
Mahindra,2018,Xylo,957505
Mahindra,2024,Xylo,408196
Mahindra,2023,Xylo,455250
Mahindra,2022,Xylo,468409
Mahindra,2021,Xylo,503846
Mahindra,2020,Xylo,640000
Mahindra,2019,Xylo,452800
