Manufacturer,Year,Model,Price
Maruti Suzuki,2018,Baleno,721729
Maruti Suzuki,2022,Baleno,375000
Maruti Suzuki,2019,Baleno,820833
Maruti Suzuki,2018,Celerio,488439
Maruti Suzuki,2021,Celerio,450000
Maruti Suzuki,2020,Celerio,429846
Maruti Suzuki,2019,Celerio,465666
Maruti Suzuki,2018,Swift Dzire,690659
Maruti Suzuki,2024,Swift Dzire,346733
Maruti Suzuki,2023,Swift Dzire,377383
Maruti Suzuki,2022,Swift Dzire,455299
Maruti Suzuki,2021,Swift Dzire,533869
Maruti Suzuki,2020,Swift Dzire,568258
Maruti Suzuki,2019,Swift Dzire,628984
Maruti Suzuki,2018,Wagon R 1.0,491329
Maruti Suzuki,2024,Wagon R 1.0,235923
Maruti Suzuki,2023,Wagon R 1.0,265600
Maruti Suzuki,2022,Wagon R 1.0,302894
Maruti Suzuki,2021,Wagon R 1.0,341379
Maruti Suzuki,2020,Wagon R 1.0,388952
Maruti Suzuki,2019,Wagon R 1.0,406100
Maruti Suzuki,2018,Alto 800,323291
Maruti Suzuki,2024,Alto 800,157500
Maruti Suzuki,2023,Alto 800,215000
Maruti Suzuki,2022,Alto 800,226000
Maruti Suzuki,2021,Alto 800,249637
Maruti Suzuki,2020,Alto 800,266284
Maruti Suzuki,2019,Alto 800,308428
Maruti Suzuki,2018,Ertiga,828433
Maruti Suzuki,2022,Ertiga,607384
Maruti Suzuki,2021,Ertiga,689129
Maruti Suzuki,2020,Ertiga,737446
Maruti Suzuki,2019,Ertiga,775286
Maruti Suzuki,2018,Swift,617401
Maruti Suzuki,2024,Swift,337377
Maruti Suzuki,2023,Swift,394152
Maruti Suzuki,2022,Swift,456180
Maruti Suzuki,2021,Swift,495741
Maruti Suzuki,2020,Swift,541199
Maruti Suzuki,2019,Swift,564533
Maruti Suzuki,2018,Eeco,390881
Maruti Suzuki,2024,Eeco,229868
Maruti Suzuki,2023,Eeco,227586
Maruti Suzuki,2022,Eeco,255461
Maruti Suzuki,2021,Eeco,281862
Maruti Suzuki,2020,Eeco,319105
Maruti Suzuki,2019,Eeco,370884
Maruti Suzuki,2018,Omni,284254
Maruti Suzuki,2024,Omni,156787
Maruti Suzuki,2023,Omni,174193
Maruti Suzuki,2022,Omni,209563
Maruti Suzuki,2021,Omni,240000
Maruti Suzuki,2020,Omni,263000
Maruti Suzuki,2019,Omni,247538
Maruti Suzuki,2018,Ciaz,925921
Maruti Suzuki,2020,Ciaz,790000
Maruti Suzuki,2019,Ciaz,869176
