Manufacturer,Year,Model,Price
Renault,2018,Lodgy,1020261
Renault,2019,Lodgy,1058333
Renault,2018,Kwid,372456
Renault,2019,Kwid,385833
Renault,2023,Fluence,594999
Renault,2022,Fluence,636250
Renault,2021,Fluence,1175000
Renault,2020,Fluence,812500
Renault,2023,Scala,650000
Renault,2022,Scala,582500
Renault,2021,Scala,587571
Renault,2020,Scala,655000
Renault,2022,Pulse,354166
Renault,2021,Pulse,500000
Renault,2019,Pulse,625000
Renault,2024,Koleos,999999
Renault,2023,Koleos,1300000
Renault,2022,Koleos,1308333
Renault,2021,Koleos,1650000
Renault,2020,Koleos,1900000
Renault,2018,Duster,680381
Renault,2022,Duster,732664
Renault,2021,Duster,736634
Renault,2020,Duster,846557
Renault,2019,Duster,948214
