Manufacturer,Year,Model,Price
Skoda,2024,Superb,740238
Skoda,2023,Superb,693857
Skoda,2022,Superb,1015466
Skoda,2021,Superb,1431666
Skoda,2020,Superb,1440000
Skoda,2019,Superb,1850000
Skoda,2018,Octavia,2029490
Skoda,2024,Octavia,425000
Skoda,2021,Octavia,1416667
Skoda,2020,Octavia,1169998
Skoda,2019,Octavia,1950000
Skoda,2018,Yeti,2346022
Skoda,2024,Yeti,625000
Skoda,2023,Yeti,833461
Skoda,2022,Yeti,817857
Skoda,2021,Yeti,925000
Skoda,2019,Yeti,1900000
Skoda,2018,Rapid,1058776
Skoda,2023,Rapid,446250
Skoda,2022,Rapid,522832
Skoda,2021,Rapid,614500
Skoda,2020,Rapid,757500
Skoda,2019,Rapid,931666
