Manufacturer,Year,Model,Price
Tata,2018,Nano,287027
Tata,2024,Nano,68587
Tata,2023,Nano,70828
Tata,2022,Nano,87762
Tata,2021,Nano,111111
Tata,2020,Nano,156071
Tata,2019,Nano,206666
Tata,2023,Sumo Gold,325000
Tata,2022,Sumo Gold,339736
Tata,2021,Sumo Gold,404466
Tata,2020,Sumo Gold,467500
Tata,2018,Indica V2,498203
Tata,2024,Indica V2,132997
Tata,2023,Indica V2,162045
Tata,2022,Indica V2,208133
Tata,2021,Indica V2,286333
Tata,2020,Indica V2,343766
Tata,2019,Indica V2,421095
Tata,2018,Zest,694604
Tata,2020,Zest,580000
Tata,2019,Zest,609285
Tata,2024,Aria,450000
Tata,2023,Aria,540000
Tata,2022,Aria,633000
Tata,2021,Aria,525000
Tata,2020,Aria,500000
Tata,2019,Aria,685000
Tata,2023,Venture,235000
Tata,2022,Venture,240011
Tata,2021,Venture,202500
Tata,2020,Venture,285000
Tata,2024,Safari,413523
Tata,2023,Safari,472941
Tata,2022,Safari,532571
Tata,2021,Safari,615000
Tata,2020,Safari,750000
Tata,2018,Indica Ev2,180000
Tata,2024,Indica Ev2,142500
Tata,2023,Indica Ev2,215764
Tata,2022,Indica Ev2,190999
Tata,2021,Indica Ev2,289375
Tata,2020,Indica Ev2,298000
Tata,2019,Indica Ev2,436111
Tata,2018,Indigo Ecs,315833
Tata,2024,Indigo Ecs,185999
Tata,2023,Indigo Ecs,201636
Tata,2022,Indigo Ecs,235934
Tata,2021,Indigo Ecs,314000
Tata,2020,Indigo Ecs,420714
Tata,2019,Indigo Ecs,462333
Tata,2022,Xenon Xt,525000
Tata,2021,Xenon Xt,608333
Tata,2020,Xenon Xt,470000
Tata,2019,Xenon Xt,712500
Tata,2022,Safari Storme,857500
Tata,2021,Safari Storme,932000
Tata,2020,Safari Storme,1037500
