Manufacturer,Year,Model,Price
Toyota,2018,Corolla Altis,1633884
Toyota,2024,Corolla Altis,584399
Toyota,2023,Corolla Altis,624421
Toyota,2022,Corolla Altis,778692
Toyota,2021,Corolla Altis,835666
Toyota,2020,Corolla Altis,1384636
Toyota,2019,Corolla Altis,1528500
Toyota,2018,Fortuner,2881603
Toyota,2024,Fortuner,1297909
Toyota,2023,Fortuner,1421111
Toyota,2022,Fortuner,1770643
Toyota,2021,Fortuner,2107552
Toyota,2020,Fortuner,2367000
Toyota,2019,Fortuner,2650000
Toyota,2018,Etios Liva,663465
Toyota,2024,Etios Liva,38500
Toyota,2023,Etios Liva,325327
Toyota,2022,Etios Liva,424066
Toyota,2021,Etios Liva,454583
Toyota,2020,Etios Liva,514500
Toyota,2019,Etios Liva,532900
