Manufacturer,Year,Model,Price
Volkswagen,2018,Vento,1052372
Volkswagen,2024,Vento,433940
Volkswagen,2023,Vento,443246
Volkswagen,2022,Vento,523418
Volkswagen,2021,Vento,669785
Volkswagen,2020,Vento,829999
Volkswagen,2019,Vento,986071
Volkswagen,2018,Jetta,1759928
Volkswagen,2024,Jetta,598686
Volkswagen,2023,Jetta,702500
Volkswagen,2022,Jetta,1017444
Volkswagen,2021,Jetta,1467500
Volkswagen,2020,Jetta,1648333
Volkswagen,2019,Jetta,2300000
Volkswagen,2018,Polo,765378
Volkswagen,2024,Polo,324169
Volkswagen,2023,Polo,349790
Volkswagen,2022,Polo,414325
Volkswagen,2021,Polo,526125
Volkswagen,2020,Polo,606875
Volkswagen,2019,Polo,688703
Volkswagen,2024,Beetle,1750000
Volkswagen,2023,Beetle,1450000
Volkswagen,2022,Beetle,1500000
