MANUFACTURERE,CAR,a,b
BMW,X1,3104379.00794,-230564.173611
BMW,1 series,2350000.0,-95000.0
BMW,3 series,4248673.72004,-449611.394558
BMW,X3,5115000.0,-470357.142857
BMW,5 series,5107759.74624,-440689.406602
BMW,X5,8164186.04651,-853953.488372
BMW,Z4,8486200.2,-691192.907143
BMW,7 series,9142751.48649,-859474.851351
BMW,6 series,12199997.5,-1049999.5
BMW,X6,nan,nan
Renault,Kwid,396166.666667,-5166.66666667
Renault,Pulse,809524.047619,-86309.6190476
Renault,Scala,627800.0,-2007.14285714
Renault,Lodgy,1011666.66667,23333.3333333
Renault,Duster,832879.188267,-9975.50184278
Renault,Fluence,1340750.18333,-119125.05
Renault,Koleos,2506667.46667,-215000.2
Hyundai,Eon,385697.192714,-28538.20197
Hyundai,I10,406862.297281,-17778.4445649
Hyundai,Grand i10,621681.683378,-39547.4680271
Hyundai,Xcent,463487.094548,69284.8861284
Hyundai,Elite i20,836136.741933,-72797.8462847
Hyundai,Verna,1056666.78175,-87333.9113207
Hyundai,Elantra,1643676.19048,-135959.52381
Hyundai,Santa fe,2727437.575,-248212.525
Mercedes-Benz,A class,2537083.33333,-135980.02
Mercedes-Benz,B class,3504250.0,-405750.0
Mercedes-Benz,E class,4850353.39738,-432879.835692
Mercedes-Benz,Cls,19098571.4286,-2488571.42857
Mercedes-Benz,S class,13415031.9048,-1515809.57143
Mercedes-Benz,G class,4483583.33333,-26716.6666667
Mercedes-Benz,M class,5966720.5619,-426542.828571
Audi,A3,5834555.44444,-1275000.0
Audi,Q3,3105166.66667,-119750.0
Audi,A4,3548909.35925,-301587.507081
Audi,Q5,4859108.05861,-396890.10989
Audi,A6,4735531.96312,-433865.702114
Audi,Tt,nan,nan
Audi,Q7,6216707.93651,-480219.047619
Audi,A8 l,10197500.0,-997500.0
Audi,R8,nan,nan
Honda,Brio,397111.860678,-4525.14427953
Honda,Amaze,695568.927056,-42949.0164179
Honda,Jazz,776184.251269,-65314.8761215
Honda,Mobilio,602702.526667,75019.98
Honda,City,708151.477849,-16119.5278798
Honda,Crv,1944385.43396,-103348.745283
Honda,Accord,587469.504767,51279.3885137
Fiat,Punto evo,713424.30814,-69831.3604651
Fiat,Linea,618555.416667,-44872.9166667
Fiat,Linea,618555.416667,-44872.9166667
Skoda,Rapid,1052883.51335,-102578.679215
Skoda,Octavia,1407200.96226,-93490.5330189
Skoda,Yeti,1405567.53805,-102283.46188
Skoda,Superb,2249932.78558,-234383.99415
Maruti Suzuki,Alto 800,362736.91238,-27710.3986549
Maruti Suzuki,Omni,310120.868379,-21152.2511444
Maruti Suzuki,Alto,350360.094883,-22623.8267177
Maruti Suzuki,Eeco,415057.517296,-29665.4905638
Maruti Suzuki,Celerio,510166.666667,-19282.0512821
Maruti Suzuki,Wagon r 1.0,502876.845486,-39260.3004765
Maruti Suzuki,Swift,671497.173034,-45960.1155195
Maruti Suzuki,Baleno,914602.564103,-102371.794872
Maruti Suzuki,Swift dzire,739580.053107,-56924.5851228
Maruti Suzuki,Gypsy,367083.333333,8750.0
Maruti Suzuki,Ertiga,685265.856439,-2638.82491002
Maruti Suzuki,Vitara brezza,nan,nan
Maruti Suzuki,Ciaz,1050270.04938,-87704.1666667
Mitsubishi,Pajero sport,2732675.0,-254775.0
Nissan,Micra active,538262.711864,-51042.3728814
Nissan,Micra,512831.349206,-34602.9620181
Nissan,Sunny,530970.112071,-3042.01082107
Nissan,Terrano,989982.008929,-12555.9017857
Nissan,Redi go,427000.0,-46000.0
Volkswagen,Polo,763979.527684,-64388.1202429
Volkswagen,Cross polo,nan,nan
Volkswagen,Vento,1210981.62197,-123764.598975
Volkswagen,Jetta,2352041.84524,-251958.152282
Volkswagen,Beetle,816666.666667,125000.0
Mahindra,Thar,792916.666667,-27964.2857143
Mahindra,Bolero,628965.911852,-18792.5975307
Mahindra,Verito vibe cs,203147.248588,66287.9491525
Mahindra,Verito,709205.916243,-64395.7070393
Mahindra,Tuv,753725.05,134049.9
Mahindra,Xylo,762467.099869,-55075.0384624
Mahindra,Scorpio,1136085.41774,-80101.0778673
Mahindra,Xuv500,1756505.66921,-169279.795328
Tata,Nano,280750.167222,-35061.5823992
Tata,Indica v2,460990.191817,-47075.1999471
Tata,Venture,291247.763636,-11248.8818182
Tata,Indica ev2,330711.734694,-20976.9185319
Tata,Zest,749761.904762,-60000.0
Tata,Indigo ecs,461732.201432,-39131.1743055
Tata,Sumo gold,605679.293684,-49222.9968421
Tata,Safari,964312.885154,-81501.1204482
Tata,Xenon xt,727416.666667,-42416.6666667
Tata,Safari storme,1302333.33333,-90000.0
Tata,Aria,677257.142857,-27057.1428571
Ford,Figo,417810.600463,-15069.6078193
Ford,Figo aspire,637913.733333,9376.46666667
Ford,Ecosport,995713.442531,-54366.3617225
Ford,Endeavour,1294019.70234,-39155.6824176
Toyota,Etios liva,748374.621429,-82467.072619
Toyota,Etios,806217.717286,-70198.3848835
Toyota,Corolla altis,1285316.93745,-93246.5175012
Toyota,Innova,1637686.5303,-114750.512774
Toyota,Fortuner,3139231.74784,-269675.863595
Toyota,Camry,3551000.0,-408000.0
Toyota,Prius,nan,nan
Chevrolet,Spark,246710.790476,-6624.83968254
Chevrolet,Beat,489014.666804,-39986.9543374
Chevrolet,Sail,478789.393939,-8795.45454545
Chevrolet,Enjoy,450905.873778,-23649.863619
Chevrolet,Tavera,912619.408369,-68259.2803288
