MANUFACTURERE,CAR,intercept,year_coeff,km_coeff
BMW,X1,3277832.14507,-294440.597964,-2.06552031637
BMW,1 series,1986596.07239,-24195.2252599,12.321909896
BMW,3 series,4152776.77599,-419758.253451,-0.892270872101
BMW,X3,5150959.50033,-462647.82304,-1.89516006466
BMW,5 series,4834527.66806,-372422.253118,-2.75435464221
BMW,X5,8325422.07036,-803060.514573,-8.06397549398
BMW,Z4,8498048.36385,-722497.448324,14.5037091572
BMW,7 series,9082540.37331,-730159.485459,-19.4719412642
BMW,6 series,12373330.9778,-876666.022222,-26.6666888938
BMW,X6,0.00157174554062,0.00943047324374,81.7307681124
Renault,Kwid,390126.158327,9797.31990277,-2.74568560905
Renault,Pulse,848526.960336,-98283.5421421,0.112861045801
Renault,Scala,592172.296439,-1495.86260522,0.1618496713
Renault,Lodgy,1012384.4235,25750.0841958,-0.272565886769
Renault,Duster,984175.129971,-47698.6427402,-0.577913421796
Renault,Fluence,1459976.94763,-112330.122731,-3.99366825076
Renault,Koleos,2478987.03637,-208089.791652,-0.657207778421
Hyundai,Eon,381949.030697,-27306.958279,-0.111504886385
Hyundai,I10,458200.257085,-26497.4346846,-0.153719668592
Hyundai,Grand i10,624557.691545,-38235.9754395,-0.569782509417
Hyundai,Xcent,540759.393422,22895.1503563,-0.192064610924
Hyundai,Elite i20,832025.357796,-70942.4257112,0.131581663804
Hyundai,Verna,1095823.54473,-92303.5469958,-0.180582157256
Hyundai,Elantra,1614775.79099,-107264.565684,-2.36439870031
Hyundai,Santa fe,3061984.62638,-313995.459217,0.310019718176
Mercedes-Benz,A class,2523200.75218,-128428.528012,-0.130272678235
Mercedes-Benz,B class,3529272.25264,-407943.980123,-0.453301678526
Mercedes-Benz,E class,4678274.5363,-349117.834921,-5.33420571512
Mercedes-Benz,Cls,38824086.6873,-7320835.9133,395.046439629
Mercedes-Benz,S class,13637892.3776,-1363821.88977,-25.033585559
Mercedes-Benz,G class,-5082421.8212,7721747.50862,-478.300257749
Mercedes-Benz,M class,5960062.01791,-569023.328673,15.2807990432
Audi,A3,4662020.92136,-1315886.28508,40.8862850769
Audi,Q3,3126278.92875,-122581.191657,0.0151373611224
Audi,A4,3620999.96499,-302805.634036,-1.8510167518
Audi,Q5,4895056.06972,-379630.715403,-3.16080646895
Audi,A6,4657066.55099,-372566.601869,-5.36142971469
Audi,Tt,0.0172888875826,0.0691555503305,259.333313739
Audi,Q7,5942999.41551,-366013.366712,-4.58043424004
Audi,A8 l,10113084.7626,-882980.208685,-11.1612875973
Audi,R8,411057.692307,2055288.46154,-187.5
Honda,Brio,507643.515202,-23164.6224639,-1.10037661858
Honda,Amaze,673311.202057,-35742.5820797,-0.0752571937681
Honda,Jazz,816096.922516,-65659.170746,-0.378994365671
Honda,Mobilio,757091.162075,29365.1056291,-1.33677522517
Honda,City,1136306.18692,-98215.0786076,-0.228364751836
Honda,Crv,2052827.67132,136506.184162,-30.7739507737
Honda,Accord,1278679.14375,-59822.8268744,-2.16889743672
Fiat,Punto evo,733417.524947,-70453.9027726,-0.284307164817
Fiat,Linea,775331.321471,-75389.0310151,0.386976416784
Fiat,Linea,775331.321471,-75389.0310151,0.386976416784
Skoda,Rapid,1105706.17569,-113635.940398,-0.268487707572
Skoda,Octavia,2123231.22075,-25243.2011907,-15.5698352231
Skoda,Yeti,1798578.65419,-110792.986712,-3.86970280373
Skoda,Superb,1937965.07544,-178716.054503,0.0893245140103
Maruti Suzuki,Alto 800,360242.307633,-28578.8786273,0.0719239938207
Maruti Suzuki,Omni,311132.247344,-21143.825816,-0.0852966397656
Maruti Suzuki,Alto,345703.912006,-21830.3182219,-0.102276562793
Maruti Suzuki,Eeco,415178.531824,-27161.2757292,-0.255344691758
