Manufacturer,Year,Model,count,S.D,Mean
Audi,2016,A3,1,0,5000000
Audi,2016,A4,3,73994,2916333
Audi,2010,A4,17,58932,1499352
Audi,2010,Q5,3,93541,2049999
Audi,2010,A6,10,189215,1891500
Audi,2010,Q7,3,254950,2799999
Audi,2011,A4,36,29593,1597999
Audi,2011,Q5,20,84445,2394650
Audi,2011,A6,11,196437,2199999
Audi,2011,A8l,4,556526,3975000
Audi,2011,A7,2,0,3800000
Audi,2011,Q7,8,175415,3778000
Audi,2011,A8 L,1,0,5200000
Audi,2012,Q3,7,114521,2342857
Audi,2012,A4,22,46690,2018181
Audi,2012,Q5,8,154264,2864375
Audi,2012,A6,22,96703,2718999
Audi,2012,A8l,2,247487,4775000
Audi,2012,A7,1,0,3690000
Audi,2012,Q7,7,153262,3969285
Audi,2012,R8,2,1060660,8250000
Audi,2013,Tt,1,0,3890000
Audi,2013,Q3,7,153594,2528571
Audi,2013,A4,20,52516,2322950
Audi,2013,Q5,3,255994,3217000
Audi,2013,A6,21,79295,2884095
Audi,2013,A8l,1,0,5675000
Audi,2013,A7,1,0,4999999
Audi,2013,Q7,6,239594,4713333
Audi,2013,A8 L,1,0,6500000
Audi,2014,A3,1,0,2450000
Audi,2014,Q3,15,83439,2729066
Audi,2014,A4,20,62901,2598249
Audi,2014,Q5,7,230639,3650000
Audi,2014,A6,6,198387,3512166
Audi,2014,A8l,1,0,7500000
Audi,2014,Q7,4,565321,4745000
Audi,2015,A3,4,114654,2502749
Audi,2015,Q3,7,222673,3000000
Audi,2015,A4,11,152187,3281363
Audi,2015,Q5,5,186581,4060000
Audi,2015,A6,1,0,3800000
Audi,2015,A8l,2,494974,8150000
Audi,2015,Q7,1,0,5450000
