Manufacturer,Year,Model,count,S.D,Mean
BMW,2016,X5 M,1,0,6250000
BMW,2016,X1,3,801820,2833333
BMW,2016,X3,1,0,4700000
BMW,2016,Gran Turismo,2,265165,4562500
BMW,2016,5 Series,5,1073403,3859000
BMW,2016,3 Series,3,1269783,2770000
BMW,2010,X6 M,1,0,4000000
BMW,2010,X1,1,0,2199000
BMW,2010,Z4,5,186415,3943799
BMW,2010,X5,3,1671825,3300000
BMW,2010,5 Series,21,106967,2163999
BMW,2010,3 Series,26,44262,1312038
BMW,2010,5 Series Gt,1,0,2990000
BMW,2010,7 Series,3,93541,3650000
BMW,2011,X1,95,15364,1264884
BMW,2011,Z4,3,191093,4296666
BMW,2011,X3,1,0,2500000
BMW,2011,X5,2,141421,3400000
BMW,2011,3 Series,13,89915,1498461
BMW,2011,5 Series,29,64548,2356103
BMW,2011,7 Series,9,257660,3888888
BMW,2011,X6,1,0,4250000
BMW,2012,M3,1,0,1800000
BMW,2012,X1,17,68654,1653300
BMW,2012,Z4,1,0,4600000
BMW,2012,X3,11,142717,2747727
BMW,2012,6 Series,3,430116,6600000
BMW,2012,X5,1,0,3800000
BMW,2012,3 Series,31,54268,1758580
BMW,2012,5 Series Gt,1,0,3000000
BMW,2012,5 Series,18,74072,2549499
BMW,2012,7 Series,6,387368,4382573
BMW,2013,1 Series,3,196911,2124000
BMW,2013,X1,12,108778,1922583
BMW,2013,X3,6,194121,3091666
BMW,2013,6 Series,2,707107,7999999
BMW,2013,3 Series,31,50121,2704515
BMW,2013,5 Series,15,137372,3042266
BMW,2013,7 Series,3,697707,4920333
BMW,2014,X1,5,186581,2260000
BMW,2014,Z4,1,0,6600000
BMW,2014,X3,1,0,3500000
BMW,2014,X5,4,361047,5690000
BMW,2014,Gran Turismo,3,115920,3425000
BMW,2014,3 Series,14,102526,2769642
BMW,2014,5 Series,6,209572,4254166
BMW,2015,1 Series,2,480832,2160000
BMW,2015,M3,1,0,190000
BMW,2015,X1,1,0,2400000
BMW,2015,X3,4,369309,4324998
BMW,2015,Gran Turismo,1,0,4500000
BMW,2015,X5,3,637704,5933333
BMW,2015,5 Series,8,243158,4243750
BMW,2015,3 Series,9,236143,3563888
BMW,2015,7 Series,1,0,7800000
