Manufacturer,Year,Model,count,S.D,Mean
Fiat,2016,Petra,1,0,250000
Fiat,2010,Punto Evo,6,22550,212333
Fiat,2010,Grand Punto,19,19350,272157
Fiat,2010,Linea,18,23561,285833
Fiat,2011,Punto Evo,2,102530,302500
Fiat,2011,Grand Punto,16,30940,322062
Fiat,2011,Linea,52,10935,333944
Fiat,2011,Palio D,1,0,250000
Fiat,2012,Punto Evo,3,81419,311666
Fiat,2012,Grand Punto,5,62216,376800
Fiat,2012,Linea,13,28902,476807
Fiat,2013,Grand Punto,3,95328,390000
Fiat,2013,Linea,6,28062,452500
Fiat,2013,Palio D,1,0,415000
Fiat,2014,Punto Evo,5,42411,547000
Fiat,2014,Grand Punto,4,59814,460000
Fiat,2014,Linea,1,0,420000
Fiat,2015,Punto Evo,3,61779,583333
Fiat,2015,Avvventura,1,0,725000
