Manufacturer,Year,Model,count,S.D,Mean
Ford,2016,Ikon,1,0,21090
Ford,2016,Fiesta,1,0,260000
Ford,2016,Endeavour,71,4893,1065140
Ford,2016,Figo,5,44930,315000
Ford,2016,Figo Aspire,7,94869,604493
Ford,2016,Ecosport,7,69156,911071
Ford,2010,Ikon,12,14749,228916
Ford,2010,Fiesta,55,10579,298074
Ford,2010,Endeavour,21,29066,847936
Ford,2010,Figo,172,4152,279322
Ford,2010,Fiesta Classic,1,0,435000
Ford,2010,Classic,2,35355,315000
Ford,2011,Fiesta,186,5457,344473
Ford,2011,Endeavour,22,34778,1008954
Ford,2011,Figo,163,5154,303503
Ford,2011,Fiesta Classic,25,14385,351680
Ford,2011,Classic,4,50956,296250
Ford,2012,Fiesta,25,22786,507360
Ford,2012,Endeavour,11,41837,1089090
Ford,2012,Figo,145,6143,332602
Ford,2012,Fiesta Classic,23,21501,406728
Ford,2012,Classic,6,36823,435000
Ford,2012,Ecosport,1,0,800000
Ford,2013,Fiesta,14,17427,621857
Ford,2013,Endeavour,19,15579,1246315
Ford,2013,Figo,48,8907,382250
Ford,2013,Fiesta Classic,7,49409,471428
Ford,2013,Classic,6,58522,479166
Ford,2013,Escort,1,0,725000
Ford,2013,Ecosport,88,7965,710704
Ford,2014,Fiesta,3,72226,506666
Ford,2014,Endeavour,1,0,1600000
Ford,2014,Figo,36,10544,428333
Ford,2014,Fiesta Classic,4,63042,513750
Ford,2014,Ecosport,147,6493,804201
Ford,2015,Fiesta,1,0,650000
Ford,2015,Figo,10,34809,433600
Ford,2015,Figo Aspire,4,24664,677500
Ford,2015,Ecosport,32,12751,860531
