Manufacturer,Year,Model,count,S.D,Mean
Honda,2016,Jazz,6,70807,775166
Honda,2016,Amaze,16,37331,645187
Honda,2016,Crv,1,0,989998
Honda,2016,Mobilio,1,0,650000
Honda,2016,Brio,1,0,285000
Honda,2016,City Zx,17,74276,222058
Honda,2016,Civic,2,183847,350000
Honda,2016,City,11,141784,859608
Honda,2016,Accord,1,0,375000
Honda,2017,City,1,0,142000
Honda,2010,Jazz,41,11908,378024
Honda,2010,Crv,4,53196,831250
Honda,2010,City,208,5295,466061
Honda,2010,City Zx,15,14115,510933
Honda,2010,Civic,61,10881,432699
Honda,2010,Accord,31,28685,760709
Honda,2011,Jazz,28,12221,411071
Honda,2011,Civic Hybrid,4,82462,540000
Honda,2011,Brio,11,13026,342727
Honda,2011,City,185,5904,528655
Honda,2011,Civic,25,29182,590564
Honda,2011,City Zx,3,21602,518333
Honda,2011,Accord,24,20952,824249
Honda,2012,Jazz,9,21344,418777
Honda,2012,Amaze,1,0,485000
Honda,2012,Brio,104,5295,376145
Honda,2012,City,197,6136,582010
Honda,2012,Civic,8,53808,585625
Honda,2012,Accord,10,38624,1017900
Honda,2013,Jazz,2,55861,410500
Honda,2013,Amaze,118,6661,531881
Honda,2013,Crv,1,0,1900000
Honda,2013,Brio,58,8590,404827
Honda,2013,City,67,11005,672567
Honda,2013,Accord,2,548714,1237000
Honda,2014,Amaze,82,9804,561817
Honda,2014,Crv,7,322184,1739928
Honda,2014,Brio,9,13006,436777
Honda,2014,Mobilio,39,17640,790641
Honda,2014,City,128,11457,881054
Honda,2015,Jazz,16,25249,766875
Honda,2015,Amaze,35,16846,601844
Honda,2015,Crv,2,176776,2225000
Honda,2015,Brio,9,22895,495000
Honda,2015,Mobilio,23,26770,825695
Honda,2015,City,59,21634,955491
Honda,2015,City Zx,2,265165,1012500
