Manufacturer,Year,Model,count,S.D,Mean
Hyundai,2016,Eon,14,24930,348579
Hyundai,2016,Getz Prime,12,0,350000
Hyundai,2016,Xcent,23,54306,449608
Hyundai,2016,Accent,1,0,45000
Hyundai,2016,I20,20,28346,503250
Hyundai,2016,Grand I10,15,41832,600666
Hyundai,2016,I10,10,36029,308700
Hyundai,2016,Elite I20,33,12065,673727
Hyundai,2016,Grand I 10,3,25103,609666
Hyundai,2016,Elantra,1,0,1500000
Hyundai,2016,Verna,31,48970,799516
Hyundai,2016,Santro Xing,15,24805,186266
Hyundai,2010,I20,263,4085,342479
Hyundai,2010,Accent,58,7315,225413
Hyundai,2010,I10,304,3463,265001
Hyundai,2010,Elite I20,2,49497,265000
Hyundai,2010,Grand I 10,1,0,225000
Hyundai,2010,Sonata,3,25495,265000
Hyundai,2010,Sonata Transform,1,0,590000
Hyundai,2010,Santa Fe,8,0,1150000
Hyundai,2010,Getz Prime,3,19903,181333
Hyundai,2010,Grand I10,1,0,350000
Hyundai,2010,Sonata Embera,1,0,390000
Hyundai,2010,Verna,66,10488,375819
Hyundai,2010,Santro,7,16179,193428
Hyundai,2010,Santro Xing,159,3207,214462
Hyundai,2011,Santa Fe,24,36268,1283999
Hyundai,2011,Eon,27,6259,219777
Hyundai,2011,I20,351,3861,388058
Hyundai,2011,Accent,41,9352,268804
Hyundai,2011,I10,283,3629,303003
Hyundai,2011,Elite I20,3,117313,345000
Hyundai,2011,Grand I 10,2,60104,322500
Hyundai,2011,Sonata Embera,1,0,650000
Hyundai,2011,Verna,141,8981,550187
Hyundai,2011,Santro,8,26122,218013
Hyundai,2011,Sonata Transform,3,90714,641666
Hyundai,2011,Santro Xing,73,5776,235520
Hyundai,2012,Eon,134,3974,256930
Hyundai,2012,I20,360,3665,448363
Hyundai,2012,Accent,5,18555,221600
Hyundai,2012,Xcent,1,0,850000
Hyundai,2012,I10,198,4640,333540
Hyundai,2012,Elite I20,5,52755,388000
Hyundai,2012,Elantra,12,46193,975833
Hyundai,2012,Sonata,8,58412,1006250
Hyundai,2012,Sonata Transform,1,0,920000
Hyundai,2012,New Elantra,2,42426,1020000
Hyundai,2012,Santa Fe,7,61191,1479999
Hyundai,2012,Verna,262,5895,602374
Hyundai,2012,Santro,2,14142,310000
Hyundai,2012,Santro Xing,129,2816,255410
Hyundai,2013,Eon,87,4913,270063
Hyundai,2013,I20,238,4557,486086
Hyundai,2013,Accent,8,51149,323125
Hyundai,2013,I10,91,7233,350175
Hyundai,2013,Grand I 10,9,25917,418888
Hyundai,2013,Elite I20,1,0,750000
Hyundai,2013,Elantra,17,54915,1056529
Hyundai,2013,New Elantra,2,441941,1082500
Hyundai,2013,Santa Fe,2,194454,1337500
Hyundai,2013,Grand I10,22,7787,460772
Hyundai,2013,Verna,117,10455,720974
Hyundai,2013,Santro,5,32190,243000
Hyundai,2013,Santro Xing,28,7841,298571
Hyundai,2014,Eon,62,5450,287580
Hyundai,2014,Xcent,31,17018,579935
Hyundai,2014,I20,54,13774,570464
Hyundai,2014,I10,40,8884,391375
Hyundai,2014,Grand I 10,24,15039,468837
Hyundai,2014,Elite I20,39,16805,670641
Hyundai,2014,Elantra,5,97867,1240000
Hyundai,2014,Sonata,2,14142,1565000
Hyundai,2014,New Elantra,4,43886,1226000
Hyundai,2014,Santa Fe,8,58458,2340000
Hyundai,2014,Grand I10,228,2855,496333
Hyundai,2014,Verna,53,16596,841811
Hyundai,2014,Santro,4,46270,326250
Hyundai,2014,Santro Xing,17,5068,321176
Hyundai,2015,Eon,50,5588,338970
Hyundai,2015,Xcent,14,27079,623071
Hyundai,2015,I20,20,26719,709750
Hyundai,2015,Accent,1,0,500000
Hyundai,2015,Grand I10,107,6229,481729
Hyundai,2015,I10,100,3687,449630
Hyundai,2015,Elite I20,75,12217,715893
Hyundai,2015,Grand I 10,20,22401,511500
Hyundai,2015,Elantra,6,61280,1388333
Hyundai,2015,Verna,32,23369,984000
Hyundai,2015,Santro,1,0,70999
Hyundai,2015,Santro Xing,3,9354,335000
