Manufacturer,Year,Model,count,S.D,Mean
Mahindra,2016,Thar,8,185308,764375
Mahindra,2016,Verito,7,84694,651428
Mahindra,2016,TUV,6,131230,792500
Mahindra,2016,Scorpio,7,138863,767857
Mahindra,2016,E 20,3,51031,491666
Mahindra,2016,Verito Vibe Cs,1,0,200000
Mahindra,2016,Quanto,2,89095,522000
Mahindra,2016,Xuv500,17,99058,1487176
Mahindra,2016,Xylo,6,162667,705833
Mahindra,2016,Bolero,1,0,385000
Mahindra,2010,Verito,4,29755,216250
Mahindra,2010,Scorpio,131,8294,596935
Mahindra,2010,Reva,1,0,225000
Mahindra,2010,Xylo,68,57971,487632
Mahindra,2010,Bolero,40,7781,449974
Mahindra,2011,Thar,7,49741,604285
Mahindra,2011,Verito,28,15692,327821
Mahindra,2011,Scorpio,276,3256,608829
Mahindra,2011,Verito Vibe Cs,1,0,615999
Mahindra,2011,Reva,4,23848,261250
Mahindra,2011,Xylo,51,18366,459617
Mahindra,2011,Bolero,32,10452,482024
Mahindra,2011,Xuv500,22,25246,799454
Mahindra,2012,Thar,7,34701,580000
Mahindra,2012,Verito,27,17566,391259
Mahindra,2012,TUV,1,0,1225000
Mahindra,2012,Scorpio,82,12456,686635
Mahindra,2012,Reva,1,0,190000
Mahindra,2012,Quanto,22,13706,442772
Mahindra,2012,Xuv500,189,10271,892212
Mahindra,2012,Bolero,54,9228,531472
Mahindra,2012,Xylo,63,14255,486841
Mahindra,2013,Thar,12,34806,740833
Mahindra,2013,TUV,2,0,1599999
Mahindra,2013,Verito,17,23552,421000
Mahindra,2013,Scorpio,93,10591,811178
Mahindra,2013,Verito Vibe Cs,4,35852,433750
Mahindra,2013,E 20,2,36062,395500
Mahindra,2013,Reva,1,0,495000
Mahindra,2013,Quanto,40,9831,472749
Mahindra,2013,Xylo,45,15458,506244
Mahindra,2013,Xuv500,79,18417,1061424
Mahindra,2013,Bolero,21,20956,583619
Mahindra,2014,Thar,8,16239,765625
Mahindra,2014,Verito,2,77781,645000
Mahindra,2014,Scorpio,36,36370,951249
Mahindra,2014,E 20,1,0,475000
Mahindra,2014,Quanto,3,97489,518333
Mahindra,2014,Bolero,28,17625,671785
Mahindra,2014,Xuv500,89,16866,1169685
Mahindra,2014,Xylo,13,59769,636923
Mahindra,2015,Thar,3,379824,648333
Mahindra,2015,TUV,5,55677,840000
Mahindra,2015,Verito,8,82144,451250
Mahindra,2015,Scorpio,44,29598,1176159
Mahindra,2015,E 20,2,70710,500000
Mahindra,2015,Verito Vibe Cs,1,0,455000
Mahindra,2015,Quanto,1,0,800000
Mahindra,2015,Xuv500,29,35479,1511034
Mahindra,2015,Xylo,6,88906,494000
Mahindra,2015,Bolero,7,40695,734285
