Manufacturer,Year,Model,count,S.D,Mean
Maruti Suzuki,2016,Zen Estilo,1,0,230000
Maruti Suzuki,2016,Celerio,10,43471,459200
Maruti Suzuki,2016,Swift Dzire,39,34943,628538
Maruti Suzuki,2016,Vitara Brezza,4,267870,870500
Maruti Suzuki,2016,A Star,1,0,160000
Maruti Suzuki,2016,Ertiga,2,350017,577500
Maruti Suzuki,2016,Eeco,14,22402,363142
Maruti Suzuki,2016,Wagon R,25,31530,338479
Maruti Suzuki,2016,Sx4,2,254558,500000
Maruti Suzuki,2016,Esteem,2,5374,66199
Maruti Suzuki,2016,Baleno,11,67296,701909
Maruti Suzuki,2016,Grand Vitara,3,20314,1101333
Maruti Suzuki,2016,Wagon R 1.0,5,5755,478000
Maruti Suzuki,2016,Alto 800,14,14916,346785
Maruti Suzuki,2016,800,6,37594,123333
Maruti Suzuki,2016,Alto,14,29070,297134
Maruti Suzuki,2016,Swift,23,42659,550413
Maruti Suzuki,2016,Wagon R Stingray,1,0,500000
Maruti Suzuki,2016,Ritz,14,43444,492071
Maruti Suzuki,2016,Omni,6,29645,245833
Maruti Suzuki,2016,Ciaz,11,51835,1001697
Maruti Suzuki,2016,Wagon R Duo,4,105237,337500
Maruti Suzuki,2010,Zen Estilo,41,6846,209646
Maruti Suzuki,2010,Swift Dzire,196,5452,363321
Maruti Suzuki,2010,A Star,37,6648,234324
Maruti Suzuki,2010,1000,3,19646,213000
Maruti Suzuki,2010,Eeco,127,2562,220330
Maruti Suzuki,2010,Wagon R,161,2811,244018
Maruti Suzuki,2010,Sx4,68,7483,331382
Maruti Suzuki,2010,Grand Vitara,1,0,580000
Maruti Suzuki,2010,Wagon R 1.0,21,9652,237000
Maruti Suzuki,2010,Alto 800,3,27613,180000
Maruti Suzuki,2010,800,2,63639,105000
Maruti Suzuki,2010,Alto,142,3526,192140
Maruti Suzuki,2010,Swift,240,4819,340472
Maruti Suzuki,2010,Wagon R Stingray,1,0,200000
Maruti Suzuki,2010,Ritz,117,5912,299258
Maruti Suzuki,2010,Omni,43,5544,157883
Maruti Suzuki,2010,Wagon R Duo,5,29046,206200
Maruti Suzuki,2011,Zen Estilo,40,6306,213437
Maruti Suzuki,2011,Swift Dzire,346,3348,369899
Maruti Suzuki,2011,Zen,1,0,215000
Maruti Suzuki,2011,A Star,42,6524,278357
Maruti Suzuki,2011,Gypsy,2,141421,400000
Maruti Suzuki,2011,1000,4,14129,204250
Maruti Suzuki,2011,Kizashi,5,87364,619000
Maruti Suzuki,2011,Eeco,83,4922,227759
Maruti Suzuki,2011,Wagon R,117,3945,264760
Maruti Suzuki,2011,Sx4,189,4520,397817
Maruti Suzuki,2011,Esteem,1,0,299999
Maruti Suzuki,2011,Grand Vitara,1,0,560000
Maruti Suzuki,2011,Wagon R 1.0,66,4931,280469
Maruti Suzuki,2011,Alto 800,2,14142,215000
Maruti Suzuki,2011,800,1,0,80000
Maruti Suzuki,2011,Alto,143,3119,214251
Maruti Suzuki,2011,Swift,174,6266,399372
Maruti Suzuki,2011,Ritz,134,6561,332820
Maruti Suzuki,2011,Omni,45,5164,175111
Maruti Suzuki,2011,Wagon R Duo,8,12929,326125
Maruti Suzuki,2012,Zen Estilo,5,52398,312000
Maruti Suzuki,2012,Swift Dzire,227,5016,466657
Maruti Suzuki,2012,Zen,1,0,235000
Maruti Suzuki,2012,A Star,16,15255,301437
Maruti Suzuki,2012,Gypsy,1,0,450000
Maruti Suzuki,2012,Ertiga,191,5107,590091
Maruti Suzuki,2012,1000,3,7240325,6176666
Maruti Suzuki,2012,Eeco,65,5717,255230
Maruti Suzuki,2012,Wagon R,87,5043,303512
Maruti Suzuki,2012,Sx4,34,16125,455234
Maruti Suzuki,2012,Baleno,1,0,375000
Maruti Suzuki,2012,Wagon R 1.0,74,6151,313916
