Manufacturer,Year,Model,count,S.D,Mean
Mitsubishi,2016,Pajero Sport,1,0,2500000
Mitsubishi,2010,Pajero,3,322432,1215000
Mitsubishi,2010,Outlander,6,30709,787185
Mitsubishi,2011,Pajero,7,35704,1217857
Mitsubishi,2011,Outlander,4,142156,937499
Mitsubishi,2012,Pajero Sport,2,251730,1473000
Mitsubishi,2012,Cedia,1,0,525000
Mitsubishi,2012,Pajero,2,212132,1300000
Mitsubishi,2012,Lancer,1,0,500000
Mitsubishi,2013,Pajero Sport,6,178357,1793333
Mitsubishi,2013,Pajero,1,0,1350000
Mitsubishi,2014,Pajero Sport,3,71443,2208333
Mitsubishi,2015,Pajero Sport,74,5329,2239189
Mitsubishi,2015,Pajero,1,0,2375000
