Manufacturer,Year,Model,count,S.D,Mean
Nissan,2016,Terrano,2,116672,942500
Nissan,2016,Datsun Redi Go,4,34875,410750
Nissan,2016,Micra,1,0,450000
Nissan,2016,Micra Active,1,0,550000
Nissan,2016,Sunny,2,63639,295000
Nissan,2010,Micra,10,17207,254600
Nissan,2010,Teana,1,0,545000
Nissan,2011,Micra,63,9315,332857
Nissan,2011,Micra Active,1,0,265000
Nissan,2011,X Trail,4,136422,1125000
Nissan,2011,Teana,2,53033,987500
Nissan,2011,Sunny,9,20305,418888
Nissan,2012,Micra,30,12685,358949
Nissan,2012,Evalia,1,0,375000
Nissan,2012,Sunny,66,12526,484318
Nissan,2013,Terrano,11,47536,907727
Nissan,2013,Micra,10,22197,407500
Nissan,2013,Micra Active,2,707,299500
Nissan,2013,Evalia,7,51946,527857
Nissan,2013,Sunny,29,19842,552862
Nissan,2014,Terrano,30,26991,974999
Nissan,2014,Micra,3,83141,495000
Nissan,2014,Sunny,28,19569,646250
Nissan,2015,Terrano,10,117632,1095399
Nissan,2015,Datsun Redi Go,3,24832,353333
Nissan,2015,Micra,8,63501,436250
Nissan,2015,Micra Active,1,0,375000
Nissan,2015,Evalia,1,0,810000
Nissan,2015,Sunny,6,94885,636666
