Manufacturer,Year,Model,count,S.D,Mean
Renault,2016,Lodgy,5,254487,741000
Renault,2016,Kwid,8,12549,396223
Renault,2016,Duster,9,113053,776111
Renault,2017,Duster,1,0,685000
Renault,2010,Koleos,1,0,999999
Renault,2011,Fluence,12,32295,585999
Renault,2011,Scala,1,0,650000
Renault,2011,Koleos,1,0,1300000
Renault,2012,Fluence,7,65339,682857
Renault,2012,Scala,7,38957,556428
Renault,2012,Pulse,14,7682,351357
Renault,2012,Koleos,5,166066,1300000
Renault,2012,Duster,71,11753,748266
Renault,2013,Fluence,2,318198,1175000
Renault,2013,Scala,11,23782,574454
Renault,2013,Pulse,3,20820,483000
Renault,2013,Koleos,1,0,1650000
Renault,2013,Duster,234,6577,738558
Renault,2014,Fluence,72,3161,803472
Renault,2014,Scala,4,72130,652499
Renault,2014,Koleos,1,0,1900000
Renault,2014,Duster,47,22002,867223
Renault,2015,Lodgy,9,66750,1018344
Renault,2015,Kwid,8,13655,383750
Renault,2015,Pulse,2,0,625000
Renault,2015,Duster,23,28169,969347
