Manufacturer,Year,Model,count,S.D,Mean
Skoda,2016,Octavia,3,4082,483333
Skoda,2016,Laura,8,52115,531250
Skoda,2016,Fabia,1,0,499000
Skoda,2016,Yeti,1,0,775000
Skoda,2016,Rapid,8,112938,847125
Skoda,2017,Fabia,1,0,250000
Skoda,2010,Superb,57,28282,774838
Skoda,2010,Octavia,1,0,425000
Skoda,2010,Laura,83,15181,600544
Skoda,2010,Fabia,59,13467,309664
Skoda,2010,Yeti,1,0,625000
Skoda,2011,Superb,19,38976,725736
Skoda,2011,Laura,41,38764,707216
Skoda,2011,Fabia,66,11870,321363
Skoda,2011,Yeti,20,42587,910700
Skoda,2011,Rapid,6,25714,410166
Skoda,2012,Superb,22,53666,1020777
Skoda,2012,Laura,33,32152,675181
Skoda,2012,Fabia,14,25329,337750
Skoda,2012,Yeti,10,69930,872400
Skoda,2012,Rapid,94,9054,530405
Skoda,2013,Superb,4,82339,1498750
Skoda,2013,Octavia,5,84038,1430000
Skoda,2013,Laura,3,144908,1047000
Skoda,2013,Yeti,1,0,925000
Skoda,2013,Rapid,44,21257,602522
Skoda,2014,Superb,3,132617,1535000
Skoda,2014,Octavia,5,131581,1250999
Skoda,2014,Rapid,39,25005,801666
Skoda,2015,Superb,1,0,1850000
Skoda,2015,Octavia,4,102316,1881250
Skoda,2015,Fabia,1,0,795000
Skoda,2015,Yeti,2,141421,1900000
Skoda,2015,Rapid,19,35940,900631
