Manufacturer,Year,Model,count,S.D,Mean
Volkswagen,2016,Vento,3,206165,956666
Volkswagen,2016,Polo,8,43664,655625
Volkswagen,2016,Jetta,2,318198,1675000
Volkswagen,2010,Vento,46,11742,435284
Volkswagen,2010,Polo,79,8387,314264
Volkswagen,2010,Jetta,19,55825,615946
Volkswagen,2010,Passat,3,36799,658333
Volkswagen,2010,Beetle,5,97628,1675000
Volkswagen,2010,Phaeton,1,0,2400000
Volkswagen,2010,Touareg,3,204124,1666666
Volkswagen,2011,Vento,245,6461,465561
Volkswagen,2011,Polo,147,5637,358779
Volkswagen,2011,Jetta,28,35685,732321
Volkswagen,2011,Passat,21,23829,1142142
Volkswagen,2011,Beetle,1,0,1450000
Volkswagen,2012,Vento,97,9875,533835
Volkswagen,2012,Polo,203,4933,405556
Volkswagen,2012,Jetta,16,42396,1025750
Volkswagen,2012,Passat,8,137879,1549375
Volkswagen,2012,Beetle,1,0,1500000
Volkswagen,2013,Vento,49,13181,663551
Volkswagen,2013,Polo,77,11717,527246
Volkswagen,2013,Jetta,7,93633,1369285
Volkswagen,2013,Cross Polo,3,38944,553333
Volkswagen,2014,Vento,20,23975,821499
Volkswagen,2014,Polo,36,16761,603888
Volkswagen,2014,Jetta,4,242101,1461250
Volkswagen,2015,Vento,21,34106,973023
Volkswagen,2015,Polo,42,18143,672119
Volkswagen,2015,Jetta,1,0,2300000
