 
BMW 5 Series,Bengaluru,BMW,5 Series,2011,Diesel,175000,2000000
Bmw 3 Series 320d Highline Sedan (make Year 2011) (diesel),Bengaluru,BMW,3 Series,2011,Diesel,28000,2250000
BMW Z4 petrol 12000 Kms 2010 year,Bengaluru,BMW,Z4,2010,Petrol,12000,4600000
Bmw 3 Series 320d (make Year 2011) (diesel),Bengaluru,BMW,3 Series,2011,Diesel,33000,1880000
Bmw 3 Series 320d Highline Sedan (make Year 2012) (diesel),Bengaluru,BMW,3 Series,2012,Diesel,60000,2150000
"2011,BMW, 3 Series, diesel automatic,single owner, company maintained",Bengaluru,BMW,3 Series,2011,Diesel,130000,1500000
2010 BMW 5 Series diesel 39000 Kms,Bengaluru,BMW,5 Series,2010,Diesel,39000,2000000
Bmw X1 (make Year 2013) (diesel),Bengaluru,BMW,X1,2013,Diesel,53000,1950000
Bmw X1 Sdrive20d Sport Line (make Year 2013) (diesel),Bengaluru,BMW,X1,2013,Diesel,51000,2200000
Bmw X3 X Line,Bengaluru,BMW,X3,2013,Diesel,70000,3000000
I want to sell my bmw 520d,Bengaluru,BMW,5 Series,2010,Diesel,60000,2100000
BMW X1 S Drive20d 2014 Diesel,Bengaluru,BMW,3 Series,2014,Diesel,32000,2200000
Bmw X1 Sdrive20d (make Year 2013) (diesel),Bengaluru,BMW,X1,2013,Diesel,60557,1900000
Bmw X3 Xdrive 30d M Sport (make Year 2015) (diesel),Bengaluru,BMW,X3,2015,Diesel,15000,5000000
Bmw 320d Corporate Edition,Bengaluru,BMW,3 Series,2010,Diesel,35000,1500000
BMW 5 Series 530d diesel 2010 fully loaded contact 98 86 04 00 50,Bengaluru,BMW,5 Series,2010,Diesel,29000,2250000
2011 BMW 5 Series diesel 60000 Kms,Bengaluru,BMW,5 Series,2011,Diesel,60000,2300000
Bmw 3 Series 320d Highline Sedan (make Year 2010) (diesel),Bengaluru,BMW,3 Series,2010,Diesel,37000,2100000
Bmw 320d F30 (New shape),Bengaluru,BMW,3 Series,2013,Diesel,21000,2490000
BMW X1 - X Line 2014 available for 25 lakhs,Bengaluru,BMW,X1,2014,Diesel,25000,2500000
Bmw 5 Series 520d Luxury Line (make Year 2014) (diesel),Bengaluru,BMW,5 Series,2014,Diesel,18000,4400000
Bmw X1 Sdrive20d (make Year 2012) (diesel),Bengaluru,BMW,X1,2012,Diesel,90000,1750000
sparingly used BMW 118d 2015 white colour,Bengaluru,BMW,1 Series,2015,Diesel,18000,2500000
Bmw X1 Sdrive20d (make Year 2011) (diesel),Chennai,BMW,X1,2011,Diesel,51000,1750000
Bmw 3 Series 320d Luxury Line (make Year 2012) (diesel),Chennai,BMW,3 Series,2012,Diesel,20000,2390000
Bmw 5 Series (make Year 2015) (diesel),Chennai,BMW,5 Series,2015,Diesel,15268,4300000
Bmw 5 Series (make Year 2015) (diesel),Chennai,BMW,5 Series,2015,Diesel,15230,4500000
Bmw X3 (make Year 2012) (diesel),Chennai,BMW,X3,2012,Diesel,31000,2400000
Bmw 3 Series 320d Luxury Line (make Year 2013) (diesel),Chennai,BMW,3 Series,2013,Diesel,48000,2400000
Bmw 5 Series (make Year 2010) (diesel),Chennai,BMW,5 Series,2010,Diesel,33538,2600000
