 
Chevrolet Beat Lt Petrol (make Year 2013) (petrol),Bengaluru,Chevrolet,Beat,2013,Petrol,26000,365000
Chevrolet Beat Ps Diesel (make Year 2012) (diesel),Bengaluru,Chevrolet,Beat,2012,Diesel,48000,325000
Chevrolet Others diesel 3600 Kms 2015 year,Bengaluru,Chevrolet,Cruze,2015,Diesel,3600,1800000
Chevrolet Cruze Ltz (make Year 2012) (diesel),Bengaluru,Chevrolet,Cruze,2012,Diesel,32000,1225000
Chevrolet Beat Lt Petrol (make Year 2011) (petrol),Bengaluru,Chevrolet,Beat,2011,Petrol,28300,350000
Chevrolet Beat Lt Diesel (make Year 2011) (diesel),Bengaluru,Chevrolet,Beat,2011,Diesel,57000,325000
Chevrolet Spark Ls 1.0 Lpg (make Year 2011) (petrol),Bengaluru,Chevrolet,Spark,2011,Petrol,52000,205000
2014 Chevrolet Enjoy diesel 100000 Kms,Bengaluru,Chevrolet,Enjoy,2014,Diesel,100000,470000
Chevrolet Beat Ls Petrol (make Year 2012) (petrol),Bengaluru,Chevrolet,Beat,2012,Petrol,25000,350000
Chevrolet Beat Ls Diesel (make Year 2013) (diesel),Bengaluru,Chevrolet,Beat,2013,Diesel,64000,365000
Chevrolet Cruze Ltz (make Year 2014) (diesel),Bengaluru,Chevrolet,Cruze,2014,Diesel,33000,1150000
Chevrolet Cruze Ltz (make Year 2010) (diesel),Bengaluru,Chevrolet,Cruze,2010,Diesel,37000,850000
Chevrolet Tavera B1 10-seater - Bs Iii (make Year 2011) (die,Bengaluru,Chevrolet,Tavera,2011,Diesel,110000,400000
Chevrolet Beat Lt Diesel (make Year 2011) (diesel),Bengaluru,Chevrolet,Beat,2011,Diesel,56000,340000
Chevrolet Spark Ls 1.0 (make Year 2010) (petrol),Bengaluru,Chevrolet,Spark,2010,Petrol,12000,265000
Chevrolet Beat diesel 61000 Kms 2011 year,Bengaluru,Chevrolet,Beat,2011,Diesel,61000,360000
Chevrolet Beat Lt Diesel (make Year 2011) (diesel),Bengaluru,Chevrolet,Beat,2011,Diesel,57000,325000
Chevrolet Beat Lt Opt Diesel (make Year 2011) (diesel),Bengaluru,Chevrolet,Beat,2011,Diesel,49400,370000
Black Beauty Chevrolet Cruze LTZ TopEnd with SunRoof,Bengaluru,Chevrolet,Cruze,2010,Diesel,39250,875000
2014 Chevrolet Enjoy diesel 12300 Kms,Bengaluru,Chevrolet,Enjoy,2014,Diesel,12300,685000
Chevrolet beat with magweel,Bengaluru,Chevrolet,Beat,2014,Petrol,14000,390000
Chevrolet Beat Ps Diesel (make Year 2012) (diesel),Bengaluru,Chevrolet,Beat,2012,Diesel,49000,325000
Chevrolet Tavera diesel 120000 Kms 2011 year,Bengaluru,Chevrolet,Tavera,2011,Diesel,120000,620000
2011 Chevrolet Beat diesel 77450 Kms,Bengaluru,Chevrolet,Beat,2011,Diesel,77450,325000
Chevrolet Beat diesel 42500 Kms 2012 year,Bengaluru,Chevrolet,Beat,2012,Diesel,42500,350000
Chevrolet Beat Ls Petrol (make Year 2011) (petrol),Bengaluru,Chevrolet,Beat,2011,Petrol,37000,340000
Chevrolet Spark Ls 1.0 (make Year 2011) (petrol),Bengaluru,Chevrolet,Spark,2011,Petrol,60000,250000
