 
2015 Fiat Linea diesel 10000 Kms,Bengaluru,Fiat,Linea,2015,Diesel,10000,1000000
2012 Fiat Linea petrol 28900 Kms,Bengaluru,Fiat,Linea,2012,Petrol,28900,650000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
Fiat Linea Emotion 1.4 (make Year 2010) (diesel),Bengaluru,Fiat,Linea,2010,Diesel,82000,440000
2012 Fiat Linea diesel 74000 Kms,Bengaluru,Fiat,Linea,2012,Diesel,74000,550000
Fiat Linea petrol 23100 Kms 2012 year,Bengaluru,Fiat,Linea,2012,Petrol,23100,600000
2011 Fiat Linea diesel 63000 Kms,Bengaluru,Fiat,Linea,2011,Diesel,63000,480000
Fiat Linea petrol 82000 Kms 2010 year,Bengaluru,Fiat,Linea,2010,Petrol,82000,300000
Fiat Punto Evo Emotion Multijet 1.3 (make Year 2014) (diesel,Bengaluru,Fiat,Punto Evo,2014,Diesel,36400,600000
Fiat Linea petrol 80000 Kms 2012 year,Bengaluru,Fiat,Linea,2012,Petrol,80000,400000
Fiat Punto Evo diesel 68878 Kms 2011 year,Bengaluru,Fiat,Punto Evo,2011,Diesel,68878,375000
good condition,Bengaluru,Fiat,Punto Evo,2015,Diesel,33000,510000
Fiat linea T jet,Bengaluru,Fiat,Linea,2011,Petrol,39000,410000
Fiat Linea Diesel (Top end) 2010,Bengaluru,Fiat,Linea,2010,Diesel,81500,465000
Fiat Linea Emotion - Lowest Price - One day Only,Bengaluru,Fiat,Linea,2010,Petrol,120000,287000
2011 Fiat Linea petrol 50000 Kms,Bengaluru,Fiat,Linea,2011,Petrol,50000,450000
Fiat Linea Emotion Pk 1.4 (make Year 2010) (diesel),Bengaluru,Fiat,Linea,2010,Diesel,75000,395000
2011 Fiat Linea diesel 148000 Kms,Bengaluru,Fiat,Linea,2011,Diesel,148000,370000
Fiat Punto EVO 90hp Mulitjet Diesel 1.3,Bengaluru,Fiat,Punto Evo,2014,Diesel,22000,660000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
fiat linea t jet plus limited edition master piese,Bengaluru,Fiat,Linea,2011,Petrol,66000,390000
2011 Fiat Linea diesel 59660 Kms,Chennai,Fiat,Linea,2011,Diesel,59660,439000
Fiat Linea Emotion 1.3 (make Year 2011) (diesel),Chennai,Fiat,Linea,2011,Diesel,89000,480000
2012 Fiat Linea diesel 56423 Kms,Chennai,Fiat,Linea,2012,Diesel,56423,459500
Fiat linea good condition single owner,Chennai,Fiat,Linea,2010,Petrol,72000,250000
Fiat linea emotion,Chennai,Fiat,Linea,2012,Diesel,54000,560000
Fiat Punto Evo diesel 221000 Kms 2011 year,Chennai,Fiat,Punto Evo,2011,Diesel,221000,230000
"Fiat Punto EVO - Dynamic (Diesel) 27,000km | EXCELLENT CONDITION",Chennai,Fiat,Punto Evo,2015,Diesel,27000,560000
Fiat Linea (make Year 2010) (diesel),Chennai,Fiat,Linea,2010,Diesel,78000,300000
Fiat Punto Evo,Chennai,Fiat,Punto Evo,2014,Diesel,29200,520000
Fiat linea dynamic multijet diesel car,Chennai,Fiat,Linea,2011,Diesel,69000,410000
Fiat Linea T-Jet Plus,Chennai,Fiat,Linea,2011,Petrol,26000,478000
Fiat punto white colour.,Chennai,Fiat,Punto Evo,2012,Diesel,72000,410000
Fiat Punto dynamic Diesel Car 2014,Chennai,Fiat,Punto Evo,2014,Diesel,36000,440000
Brand new Fiat Punto Evo,Chennai,Fiat,Punto Evo,2015,Diesel,5600,680000
"fiat punto, extraordinary condition maintained by software engineer",Hyderabad,Fiat,Punto Evo,2010,Petrol,53000,230000
Fiat Punto Active 2012,Hyderabad,Fiat,Punto Evo,2012,Diesel,72000,340000
Fiat Punto 1.3 Multijet Topend Model 2010 Diesel,Hyderabad,Fiat,Punto Evo,2010,Diesel,90800,300000
Fiat Linea (make Year 2012) (diesel),Hyderabad,Fiat,Linea,2012,Diesel,52471,570000
