 
"Excellent Condition, single owner Ford Figo Diesel ZXI for Sale",Bengaluru,Ford,Figo,2012,Diesel,73000,350000
Ford Endeavour 3.0l 4x2 At (make Year 2011) (diesel),Bengaluru,Ford,Endeavour,2011,Diesel,59000,1250000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2013) (die,Bengaluru,Ford,Figo,2013,Diesel,56000,425000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2014) (pet,Bengaluru,Ford,Figo,2014,Petrol,9000,459000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2012) (diesel),Bengaluru,Ford,Figo,2012,Diesel,48000,415000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2011) (petrol),Bengaluru,Ford,Figo,2011,Petrol,21000,365000
Ford Figo Duratec Petrol Titanium 1.2 (make Year 2010) (petr,Bengaluru,Ford,Figo,2010,Petrol,70000,288000
Ford Figo Duratec Petrol Exi 1.2 (make Year 2010) (petrol),Bengaluru,Ford,Figo,2010,Petrol,54000,275000
Ford Ecosport Ecosport Titanium 1.0 Ecoboost (make Year 2014,Bengaluru,Ford,Ecosport,2014,Diesel,72000,895000
2010 Ford Figo petrol 78000 Kms,Bengaluru,Ford,Figo,2010,Petrol,78000,290000
Ford Ecosport Titanium 1.5 Tdci (opt) (make Year 2013) (dies,Bengaluru,Ford,Ecosport,2016,Diesel,49000,730000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2010) (die,Bengaluru,Ford,Figo,2010,Diesel,79087,410000
Ford Figo black titanium diesel 1.4 2012 model,Bengaluru,Ford,Figo,2012,Diesel,30000,450000
2011 Ford Figo diesel 33685 Kms,Bengaluru,Ford,Figo,2011,Diesel,33685,375000
Ford Figo Duratorq Diesel Zxi 1.4 (make Year 2011) (diesel),Bengaluru,Ford,Figo,2011,Diesel,58000,385000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2011) (die,Bengaluru,Ford,Figo,2011,Diesel,53000,425000
Ford Figo Duratorq Diesel Zxi 1.4 (make Year 2012) (diesel),Bengaluru,Ford,Figo,2012,Diesel,38000,425000
Ford Ecosport Titanium 1.0 Ecoboost (opt) (make Year 2013) (,Bengaluru,Ford,Ecosport,2013,Petrol,58100,750000
Ford Figo (make Year 2011) (diesel),Bengaluru,Ford,Figo,2011,Diesel,68000,400000
Ford Figo Celebration Edition Petrol (make Year 2010) (petro,Bengaluru,Ford,Figo,2010,Petrol,26000,325000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2012) (die,Bengaluru,Ford,Figo,2012,Diesel,52400,430000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2010) (petrol),Bengaluru,Ford,Figo,2010,Petrol,33502,275000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2012) (die,Bengaluru,Ford,Figo,2012,Diesel,56573,445000
2015 half rate PRICE,Bengaluru,Ford,Figo,2015,Diesel,40800,420000
Ford Figo (make Year 2012) (diesel),Bengaluru,Ford,Figo,2012,Diesel,64000,390000
Ford Ecosport Titanium 1.0 Ecoboost (make Year 2014) (petrol,Bengaluru,Ford,Ecosport,2014,Petrol,17600,795000
Ford Ecosport (make Year 2013) (diesel),Bengaluru,Ford,Ecosport,2013,Diesel,60000,800000
Ford Figo (make Year 2010) (petrol),Bengaluru,Ford,Figo,2010,Petrol,52000,350000
2014 Ford Ecosport diesel 48200 Kms,Bengaluru,Ford,Ecosport,2014,Diesel,48200,800000
Ford Figo diesel 43000 Kms 2013 year,Bengaluru,Ford,Figo,2013,Diesel,43000,265000
"ford figo titanium petrol,2014 model,1st owner,9000 kms,ABS,AIRBAGS",Bengaluru,Ford,Figo,2014,Petrol,9000,465000
Ford Ecosport Ambiente 1.5 Tdci (make Year 2013) (diesel),Bengaluru,Ford,Ecosport,2013,Diesel,51370,745000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2010) (petrol),Bengaluru,Ford,Figo,2010,Petrol,44740,350000
Ford Ecosport Titanium 1.5 Tdci (opt) (make Year 2014) (dies,Bengaluru,Ford,Ecosport,2014,Diesel,27000,945000
Ford Figo Duratec Petrol Titanium 1.2 (make Year 2011) (petr,Bengaluru,Ford,Figo,2011,Petrol,57228,350000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2011) (die,Bengaluru,Ford,Figo,2011,Diesel,57000,395000
