 
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,52000,379000
Honda City Sv Diesel (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,35700,950000
Honda City petrol 23000 Kms 2014 year,Bengaluru,Honda,City,2014,Petrol,23000,1050000
"Honda City VMT,2013 model,single owner,brown colour,51000 km done.",Bengaluru,Honda,City,2013,Petrol,51000,610000
Honda Amaze 1.5 S I-dtec (make Year 2014) (diesel),Bengaluru,Honda,Amaze,2014,Diesel,12000,675000
Honda Jazz Vx Mt (make Year 2015) (diesel),Bengaluru,Honda,Jazz,2015,Diesel,14500,950000
Honda Amaze 1.2 Vx I-vtec (make Year 2013) (diesel),Bengaluru,Honda,Amaze,2013,Diesel,37086,670000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,22000,450000
Honda City Sv Diesel (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,22507,950000
Honda Brio S Mt (make Year 2014) (petrol),Bengaluru,Honda,Brio,2014,Petrol,8000,510000
2013 Honda City petrol 78000 Kms,Bengaluru,Honda,City,2013,Petrol,78000,640000
2010 Honda City petrol 85000 Kms,Bengaluru,Honda,City,2010,Petrol,85000,610000
Honda City 1.5 V Mt (make Year 2015) (petrol),Bengaluru,Honda,City,2015,Petrol,3779,975000
Honda Mobilio Rs 2014 Model,Bengaluru,Honda,Mobilio,2014,Diesel,29500,1025000
Honda City City 1.5 V Mt (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,45800,1145000
Honda Amaze 1.2 Vx I-vtec (make Year 2015) (petrol),Bengaluru,Honda,Amaze,2015,Petrol,7200,815000
Honda City Vx (make Year 2015) (petrol),Bengaluru,Honda,City,2015,Petrol,7800,1050000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,38000,425000
Honda City City Vx (make Year 2015) (petrol),Bengaluru,Honda,City,2015,Petrol,3000,925000
Honda Brio Ex Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,44000,375000
Honda City 2014 iDtec Excellent condition Car,Bengaluru,Honda,City,2014,Diesel,55675,815000
Honda City 1.5 S Mt (make Year 2010) (petrol),Bengaluru,Honda,City,2010,Petrol,51000,544000
Honda Amaze (make Year 2013) (diesel),Bengaluru,Honda,Amaze,2013,Diesel,55000,550000
Honda City S (make Year 2013) (petrol),Bengaluru,Honda,City,2013,Petrol,70000,750000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,52000,379000
Honda City 1.5 S Mt (make Year 2011) (petrol),Bengaluru,Honda,City,2011,Petrol,61000,545000
Honda Amaze 1.2 S I-vtec (make Year 2015) (petrol),Bengaluru,Honda,Amaze,2015,Petrol,25000,535000
Honda City 1.5 S At (make Year 2012) (petrol),Bengaluru,Honda,City,2012,Petrol,52000,725000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,38000,422000
Honda City 1.5 S Mt (make Year 2011) (petrol),Bengaluru,Honda,City,2011,Petrol,50000,670000
Honda Amaze 1.5 S I-dtec (make Year 2013) (diesel),Bengaluru,Honda,Amaze,2013,Diesel,74000,530000
Honda City V (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,46000,910000
Honda Brio S Mt (make Year 2011) (petrol),Bengaluru,Honda,Brio,2011,Petrol,45000,375000
Honda City 1.5 E Mt (make Year 2010) (petrol),Bengaluru,Honda,City,2010,Petrol,64100,470000
Honda Brio SMT (2013) for Sale,Bengaluru,Honda,Brio,2013,Petrol,30000,450000
Honda Brio S(o)mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,37300,420000
Honda Jazz V Mt (make Year 2015) (petrol),Bengaluru,Honda,Jazz,2015,Petrol,14250,755000
