 
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,62000,305000
Hyundai Eon 1.0 Kappa Magna + (make Year 2013) (petrol),Bengaluru,Hyundai,Eon,2013,Petrol,32000,305000
Hyundai I10 Magna 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,55000,315000
Hyundai Grand I10 Sportz At 1.2 Kappa Vtvt (make Year 2015),Bengaluru,Hyundai,Grand I10,2015,Petrol,11600,660000
Hyundai Eon Magna + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,33400,335000
Hyundai I10 Sportz 1.2 At Kappa2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,63000,365000
Hyundai Eon Magna + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,32000,315000
Hyundai I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,415000,415000
Hyundai I10 Asta 1.2 Kappa2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,73000,375000
Hyundai Verna Fluidic 1.6 Vtvt Sx (make Year 2013) (diesel),Bengaluru,Hyundai,Verna,2013,Diesel,50000,825000
For Sale - Hyundai Verna Fluidic 2012,Bengaluru,Hyundai,Verna,2012,Diesel,90000,650000
Hyundai I10 Magna 1.1 Irde2 (make Year 2014) (petrol),Bengaluru,Hyundai,I10,2014,Petrol,21000,460000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,63000,305000
Hyundai I10 Sportz 1.2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,13654,395000
Hyundai I10 Magna (make Year 2012) (petrol),Bengaluru,Hyundai,I10,2012,Petrol,67621,390000
Hyundai Eon Era + (make Year 2012) (petrol),Bengaluru,Hyundai,Eon,2012,Petrol,68000,265000
Hyundai I10 I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,49000,400000
2011 Hyundai Verna diesel 80000 Kms,Bengaluru,Hyundai,Verna,2011,Diesel,80000,625000
Hyundai Verna Vgt Crdi Sx (make Year 2010) (diesel),Bengaluru,Hyundai,Verna,2010,Diesel,77000,495000
Hyundai Verna Crdi Vgt 1.5 (make Year 2010) (diesel),Bengaluru,Hyundai,Verna,2010,Diesel,74000,415000
Hyundai Santa Fe (make Year 2014) (diesel),Bengaluru,Hyundai,Santa Fe,2014,Diesel,25000,2250000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,36000,350000
Hyundai Grand I10 Sportz 1.2 Kappa Vtvt (make Year 2014) (pe,Bengaluru,Hyundai,Grand I10,2014,Petrol,17167,545000
Verna Fluidic 1.6 2013 White color,Bengaluru,Hyundai,Verna,2013,Diesel,35140,850000
Hyundai I10 Sportz 1.2 Kappa2 (o) (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,67332,395000
Hyundai Eon Era + (make Year 2015) (petrol),Bengaluru,Hyundai,Eon,2015,Petrol,4500,350000
Hyundai Verna Fluidic 1.6 Crdi Sx Opt (make Year 2013) (dies,Bengaluru,Hyundai,Verna,2013,Diesel,52396,855000
"Hyundai Eon, 2013, White, single owner , 50k run, excellent condition",Bengaluru,Hyundai,Eon,2013,Petrol,50000,310000
Hyundai Verna Crdi Vgt Sx 1.5 (make Year 2010) (diesel),Bengaluru,Hyundai,Verna,2010,Diesel,77975,485000
Hyundai Xcent Sx 1.1 Crdi (o) (make Year 2014) (diesel),Bengaluru,Hyundai,Xcent,2014,Diesel,19310,690000
Hyundai Verna diesel 82000 Kms 2011 year,Bengaluru,Hyundai,Verna,2011,Diesel,82000,490000
Magna i10 2015 Model for sale,Bengaluru,Hyundai,I10,2015,Petrol,10100,425000
Hyundai Elite I20 Asta 1.4 Crdi (o) (make Year 2014) (diesel,Bengaluru,Hyundai,Elite I20,2014,Diesel,9750,820000
Hyundai Eon D-lite + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,30000,335000
Hyundai Elite I20 Asta 1.4 Crdi (o) (make Year 2014) (diesel,Bengaluru,Hyundai,Elite I20,2014,Diesel,16650,820000
Hyundai I10 (make Year 2014) (petrol),Bengaluru,Hyundai,I10,2014,Petrol,27000,400000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,51000,350000
Hyundai Eon Era + (make Year 2012) (petrol),Bengaluru,Hyundai,Eon,2012,Petrol,57474,285000
Hyundai Eon Era + (make Year 2015) (petrol),Bengaluru,Hyundai,Eon,2015,Petrol,13227,345000
Hyundai Grand I10 Magna 1.2 Kappa Vtvt (make Year 2015) (pet,Bengaluru,Hyundai,Grand I10,2015,Petrol,20000,550000
Hyundai I10 Magna 1.2 At (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,23000,425000
Hyundai I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,63000,440000
Hyundai Eon Era + (make Year 2012) (petrol),Bengaluru,Hyundai,Eon,2012,Petrol,35000,285000
Hyundai I10 Era (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,8000,360000
Hyundai Eon (make Year 2011) (petrol),Bengaluru,Hyundai,Eon,2011,Petrol,50000,325000
Hyundai I10 Asta 1.2 At Kappa2 With Sunroof (make Year 2011),Bengaluru,Hyundai,I10,2011,Petrol,50000,500000
Hyundai Grand I10 Sportz 1.2 Kappa Vtvt (make Year 2014) (pe,Bengaluru,Hyundai,Grand I10,2014,Petrol,17000,525000
Hyundai I10 Sportz 1.2 Kappa2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,50000,380000
Hyundai I10 Sportz 1.2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,50000,380000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,51000,322000
Hyundai I10 Magna 1.2 Kappa2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,45000,325000
Hyundai I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,63250,410000
2016 Hyundai Eon petrol 4000 Kms,Bengaluru,Hyundai,Eon,2016,Petrol,4000,415000
Hyundai Eon Era (make Year 2012) (petrol),Bengaluru,Hyundai,Eon,2012,Petrol,36000,325000
Hyundai I10 Sportz 1.2 Kappa2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,38350,385000
Hyundai Verna Fluidic 1.6 Vtvt Sx Opt (make Year 2012) (petr,Bengaluru,Hyundai,Verna,2012,Petrol,43900,725000
Hyundai I10 Sportz 1.2 Kappa2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,36500,360000
Hyundai I10 Magna 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,53000,340000
Hyundai Eon Magna + (make Year 2015) (petrol),Bengaluru,Hyundai,Eon,2015,Petrol,5000,400000
Hyundai I10 Sportz 1.2 Kappa2 (make Year 2013) (petrol),Bengaluru,Hyundai,I10,2013,Petrol,11400,440000
Hyundai Verna (make Year 2012) (diesel),Bengaluru,Hyundai,Verna,2012,Diesel,65000,800000
Hyundai I10 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,67000,350000
Hyundai Eon Era + (make Year 2015) (petrol),Bengaluru,Hyundai,Eon,2015,Petrol,5000,410000
Hyundai Verna Vgt Crdi Sx (make Year 2012) (diesel),Bengaluru,Hyundai,Verna,2012,Diesel,70000,775000
Hyundai I10 Sportz 1.2 (make Year 2012) (petrol),Bengaluru,Hyundai,I10,2012,Petrol,61203,400000
Hyundai Verna Crdi Vgt Sx A/t 1.5 (make Year 2012) (diesel),Bengaluru,Hyundai,Verna,2012,Diesel,22000,875000
I10 Sports grey color kappa2 engine 2013 model,Bengaluru,Hyundai,I10,2013,Petrol,14000,390000
Hyundai I10 Magna (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,49000,335000
Hyundai Fluidic Verna 1.4crx for sale,Bengaluru,Hyundai,Verna,2013,Diesel,44000,730000
