 
Maruti suzuki omni van,Bengaluru,Maruti Suzuki,Omni,2010,Petrol,24000,210000
2010 Maruti Suzuki Swift diesel 52000 Kms,Bengaluru,Maruti Suzuki,Swift,2010,Diesel,52000,550000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,56832,535000
Maruti Suzuki Ertiga Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2012,Diesel,49000,720000
Maruti Suzuki Swift Vxi petrol 2013 year,Bengaluru,Maruti Suzuki,Swift,2013,Petrol,50000,520000
Maruti Suzuki Celerio Vxi At (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Celerio,2014,Petrol,19500,455000
Maruti Suzuki Swift Vdi Bs-iv (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Swift,2013,Diesel,70000,525000
Maruti Suzuki Swift Dzire diesel 39600 Kms 2015 year,Bengaluru,Maruti Suzuki,Swift Dzire,2015,Diesel,39600,580000
Maruti Suzuki Omni 5 Str Bs-iv (make Year 2010) (petrol),Bengaluru,Maruti Suzuki,Omni,2010,Petrol,23000,200000
Maruti Suzuki Ertiga Vdi (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2013,Diesel,70000,730000
"(used) (480,000)",Bengaluru,Maruti Suzuki,Swift,2012,Petrol,29400,480000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,52000,495000
2011 Maruti Suzuki Swift diesel 70000 Kms,Bengaluru,Maruti Suzuki,Swift,2011,Diesel,70000,410000
Maruti Suzuki Celerio Zxi (make Year 2015) (petrol),Bengaluru,Maruti Suzuki,Celerio,2015,Petrol,13136,505000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,53000,490000
2015 Maruti Suzuki Ciaz diesel 53000 Kms,Bengaluru,Maruti Suzuki,Ciaz,2015,Diesel,53000,900000
Maruti Suzuki Swift Zdi (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Swift,2013,Diesel,49000,590000
Maruti Suzuki Celerio Vxi (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Celerio,2014,Petrol,22000,440000
Maruti Suzuki Swift Dzire Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift Dzire,2012,Diesel,69000,529000
Maruti Suzuki Swift Vdi (make Year 2010) (diesel),Bengaluru,Maruti Suzuki,Swift,2010,Diesel,86014,450000
Maruti Suzuki Wagon R 1.0 Vxi (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Wagon R 1.0,2014,Petrol,30928,425000
Maruti Suzuki Swift Ldi (make Year 2010) (diesel),Bengaluru,Maruti Suzuki,Swift,2010,Diesel,60000,350000
Maruti Suzuki Swift Vdi (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,63377,495000
Maruti Suzuki Swift Vdi (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,62568,515000
Maruti Suzuki Swift Swift Vdi (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,49000,510000
Good condution well maintened,Bengaluru,Maruti Suzuki,Swift Dzire,2011,Petrol,49000,340000
Maruti Suzuki Ertiga diesel 64000 Kms 2014 year,Bengaluru,Maruti Suzuki,Ertiga,2014,Diesel,64000,740000
Maruti Suzuki Ertiga Ertiga Vdi (make Year 2014) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2014,Diesel,30000,875000
Maruti Suzuki Swift Vdi (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Swift,2013,Diesel,62000,550000
Maruti Suzuki Swift Vdi Bs-iv (make Year 2011) (diesel),Bengaluru,Maruti Suzuki,Swift,2011,Diesel,71000,469999
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,22101,535000
Maruti Suzuki Swift Dzire Vxi (make Year 2013) (petrol),Bengaluru,Maruti Suzuki,Swift Dzire,2013,Petrol,39962,540000
Maruti Suzuki Swift Zxi 1.2 Bs-iv (make Year 2013) (petrol),Bengaluru,Maruti Suzuki,Swift,2013,Petrol,30795,585000
