 
Nissan Micra Xl (make Year 2014) (petrol),Bengaluru,Nissan,Micra,2014,Petrol,3000,475000
Nissan Micra Xl Diesel (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,34920,485000
Nissan Terrano Xl D Plus (make Year 2014) (diesel),Bengaluru,Nissan,Terrano,2014,Diesel,24400,850000
Nissan Micra Xl (o) Diesel (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,34964,455000
Nissan Terrano Xv D Thp 110 Ps (make Year 2014) (diesel),Bengaluru,Nissan,Terrano,2014,Diesel,36000,1250000
Nissan Sunny diesel 25000 Kms 2016 year,Bengaluru,Nissan,Sunny,2016,Diesel,25000,250000
Nissan Sunny XL - 16547 KM driven(PETROL),Bengaluru,Nissan,Sunny,2012,Petrol,16547,650000
Nissan Terrano Xv D Thp Premium 110 Ps (make Year 2013) (pet,Bengaluru,Nissan,Terrano,2013,Petrol,35231,1100000
Nissan Micra Xv Diesel (make Year 2014) (diesel),Bengaluru,Nissan,Micra,2016,Diesel,14000,450000
Nissan Sunny Xe (make Year 2013) (petrol),Bengaluru,Nissan,Sunny,2013,Petrol,60600,465000
Nissan Micra Xl (o) (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,57800,435000
Nissan Sunny diesel 51000 Kms 2013 year,Bengaluru,Nissan,Sunny,2013,Diesel,51000,625000
Nissan Micra Xl (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,34000,410000
Nissan Sunny Petrol. Reliable Sedan. For Just Rs5.5l,Bengaluru,Nissan,Sunny,2013,Petrol,24000,550000
Sunny Nissan good condition,Bengaluru,Nissan,Sunny,2013,Diesel,118000,550000
nissan sunny xl 2012 yellow board for 450000 negotiable,Bengaluru,Nissan,Sunny,2012,Diesel,160000,450000
Nissan Terrano Xl D Thp 110 Ps (make Year 2014) (diesel),Bengaluru,Nissan,Terrano,2014,Diesel,35000,850000
Nissan Micra Xv Diesel (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,60000,440000
Nissan Micra Xv Diesel (make Year 2011) (diesel),Bengaluru,Nissan,Micra,2011,Diesel,60000,425000
Nissan Terrano Xe (d) (make Year 2016) (diesel),Bengaluru,Nissan,Terrano,2016,Diesel,56000,860000
Nissan Micra 2011 Model,Bengaluru,Nissan,Micra,2011,Diesel,80000,450000
Nissan Micra diesel 42000 Kms 2015 year,Bengaluru,Nissan,Micra,2015,Diesel,42000,130000
Nissan Micra Yellow Board,Bengaluru,Nissan,Micra,2015,Diesel,3900,570000
2015 Nissan Micra petrol 16500 Kms,Bengaluru,Nissan,Micra,2015,Petrol,16500,450000
