 
Skoda Rapid 1.5 Tdi Cr Ambition (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,53000,530000
Skoda Rapid,Bengaluru,Skoda,Rapid,2013,Diesel,64750,680000
Skoda Yeti Elegance 4 X 2 (make Year 2012) (diesel),Bengaluru,Skoda,Yeti,2012,Diesel,105000,750000
Skoda Rapid 1.6 Mpi Ambition Plus (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,40316,645000
Skoda Rapid 1.5 Tdi Cr Ambition (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,53000,535000
Skoda Rapid 1.5 Tdi Cr Ambition Plus (make Year 2012) (diese,Bengaluru,Skoda,Rapid,2012,Diesel,65535,695000
Skoda Yeti Elegance 4 X (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,135228,1055000
Skoda Rapid Rapid 1.5 Tdi Cr Elegance (make Year 2012) (dies,Bengaluru,Skoda,Rapid,2012,Diesel,66000,650000
Skoda Rapid Rapid 1.5 Tdi Cr Ambition (make Year 2012) (dies,Bengaluru,Skoda,Rapid,2012,Diesel,51000,625000
Skoda Rapid Rapid 1.5 Tdi Cr Active (make Year 2012) (diesel,Bengaluru,Skoda,Rapid,2012,Diesel,51000,610000
Skoda Yeti Elegance 2.0 Tdi Cr 4x4 (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,135228,1055000
Skoda Rapid 1.5 Tdi Cr Ambition (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,51000,675000
Skoda Yeti (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,62161,1350000
Skoda Rapid 1.5 TDI Elegance Plus,Bengaluru,Skoda,Rapid,2016,Diesel,17500,850000
Skoda Yeti Elegance 4 X (make Year 2012) (diesel),Bengaluru,Skoda,Yeti,2012,Diesel,81000,1050000
Skoda Rapid 1.6 Mpi Elegance (make Year 2013) (diesel),Bengaluru,Skoda,Rapid,2013,Diesel,25300,695000
Skoda Rapid 1.6 Mpi Ambition Mt (make Year 2015) (petrol),Bengaluru,Skoda,Rapid,2015,Petrol,17300,765000
2014 Skoda Rapid petrol 2000 Kms,Bengaluru,Skoda,Rapid,2014,Petrol,2000,800000
Skoda Rapid 1.6 Mpi Elegance (make Year 2013) (diesel),Bengaluru,Skoda,Rapid,2013,Diesel,8600,785000
2010 Skoda Superb diesel 60000 Kms,Bengaluru,Skoda,Superb,2010,Diesel,60000,800000
Skoda Rapid STYLE PLUS MODEL > Just 7000 KMS with *Reg. Number 7008,Bengaluru,Skoda,Rapid,2016,Diesel,7000,1170000
Skoda Rapid diesel 17800 Kms 2015 year,Bengaluru,Skoda,Rapid,2015,Diesel,17800,975000
Skoda Yeti Active 2.0 Tdi Cr 4x2 (make Year 2012) (diesel),Bengaluru,Skoda,Yeti,2012,Diesel,135000,750000
2013 Skoda Rapid diesel 61000 Kms,Bengaluru,Skoda,Rapid,2013,Diesel,61000,750000
Skoda Rapid 1.6 TDI Active - Immediate Sale,Bengaluru,Skoda,Rapid,2014,Diesel,30000,650000
Skoda Rapid 1.6 Mpi Ambition Mt (make Year 2013) (petrol),Bengaluru,Skoda,Rapid,2013,Petrol,30000,575000
Skoda Yeti Elegance 2.0 Tdi Cr 4x4 (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,75000,975000
Skoda yeti 4/4 wheel drive,Bengaluru,Skoda,Yeti,2011,Diesel,100000,900000
2012 Skoda Rapid diesel 72236 Kms,Bengaluru,Skoda,Rapid,2012,Diesel,72236,520000
Skoda Rapid 1.6 Mpi Ambition Mt (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,66000,575000
Skoda Yeti,Bengaluru,Skoda,Yeti,2012,Diesel,47000,1250000
Skoda Rapid diesel 3800 Kms 2016 June Model,Bengaluru,Skoda,Rapid,2016,Diesel,3800,1300000
Skoda Rapid 1.5 Tdi Cr Elegance Plus (make Year 2015) (diese,Bengaluru,Skoda,Rapid,2015,Diesel,19200,1000000
Skoda Rapid Elegance 1.6 Tdi Cr Mt (make Year 2015) (diesel),Bengaluru,Skoda,Rapid,2015,Diesel,8000,1050000
Purchased Skoda yeti.Enjoyed Rapid driving,Bengaluru,Skoda,Rapid,2014,Diesel,44400,910000
Skoda Rapid diesel 49000 Kms 2012 year,Bengaluru,Skoda,Rapid,2012,Diesel,49000,650000
Skoda Rapid Elegance 1.6 TDI CR MT top of the line model,Bengaluru,Skoda,Rapid,2015,Diesel,18500,1000000
Skoda Rapid Diesel Elegance,Bengaluru,Skoda,Rapid,2013,Diesel,60000,775000
Scoda Rapid 1.6 TDI Elegance MT 2013 July Model,Bengaluru,Skoda,Rapid,2013,Diesel,39000,875000
Skoda Rapid diesel 72236 Kms 2012 year,Bengaluru,Skoda,Rapid,2012,Diesel,72136,530000
"Skoda Rapid 1.6 MPI Automatic, Almost New, Bought just 10 months back.",Bengaluru,Skoda,Rapid,2015,Petrol,11500,865000
Skoda rapid top end model,Bengaluru,Skoda,Rapid,2014,Diesel,72000,860000
Skoda Rapid Ambition 1.6 Tdi Cr Mt Plus (make Year 2012) (di,Bengaluru,Skoda,Rapid,2012,Diesel,77115,629000
Skoda Yeti Ambition 2.0 Tdi Cr 4x4 (make Year 2011) (diesel),Bengaluru,Skoda,Yeti,2011,Diesel,62620,1099000
2016 Skoda Rapid diesel 8200 Kms,Bengaluru,Skoda,Rapid,2016,Diesel,8200,862000
Skoda yeti luxury compct suv,Bengaluru,Skoda,Yeti,2015,Diesel,22299,1800000
2015 Skoda Rapid diesel 48800 Kms,Bengaluru,Skoda,Rapid,2015,Diesel,48800,742000
Skoda Superb Diesel 2013 Nov top End DSG With sports mode,Bengaluru,Skoda,Superb,2013,Diesel,46000,1700000
Skoda Yeti Ambition 2.0 Tdi Cr 4x2 (make Year 2012) (diesel),Bengaluru,Skoda,Yeti,2012,Diesel,78000,900000
Showroom maintained skoda superb,Bengaluru,Skoda,Superb,2010,Diesel,79000,1125000
Skoda Yeti 4*4 Elegance 2015 Sept,Bengaluru,Skoda,Yeti,2015,Diesel,9000,2000000
Thunder bird for exchange,Bengaluru,Skoda,Superb,2010,Petrol,33250,90000
