 
Tata Nano petrol 23544 Kms 2012 year,Bengaluru,Tata,Nano,2012,Petrol,23544,45000
Tata Indica V2 diesel 120000 Kms 2012 year,Bengaluru,Tata,Indica V2,2012,Diesel,120000,180000
Tata Nano petrol 19257 Kms 2011 year,Bengaluru,Tata,Nano,2011,Petrol,19257,71000
Tata Zest Xma Diesel (make Year 2015) (diesel),Bengaluru,Tata,Zest,2015,Diesel,23300,710000
Tata Safari 4x2 Ex Dicor 2.2 Vtt (make Year 2011) (diesel),Bengaluru,Tata,Safari,2011,Diesel,70000,485000
Tata Nano Twist Xt (make Year 2014) (petrol),Bengaluru,Tata,Nano,2014,Petrol,9836,235000
Tata Nano Twist Xt (make Year 2014) (petrol),Bengaluru,Tata,Nano,2014,Petrol,9836,225000
Tata Nano Nano Base (make Year 2012) (petrol),Bengaluru,Tata,Nano,2012,Petrol,24000,95000
TATA Indica V2,Bengaluru,Tata,Indica V2,2012,Diesel,98000,190000
Tata Nano Nano Lx (make Year 2011) (petrol),Bengaluru,Tata,Nano,2011,Petrol,21000,110000
Tata Indigo Ecs diesel 64000 Kms 2011 year,Bengaluru,Tata,Indigo Ecs,2011,Diesel,64000,300000
Tata indigo ecs,Bengaluru,Tata,Indigo Ecs,2011,Diesel,64000,300000
Tata Xenon Xt diesel 20000 Kms 2015 year,Bengaluru,Tata,Xenon Xt,2015,Diesel,20000,725000
2013 Tata Indica V2 diesel 110000 Kms,Bengaluru,Tata,Indica V2,2013,Diesel,110000,240000
2012 Tata Indica V2 diesel,Bengaluru,Tata,Indica V2,2012,Diesel,122173,166000
Tata Nano Lx (make Year 2012) (petrol),Bengaluru,Tata,Nano,2012,Petrol,36000,140000
tata indica yellow board car for sale,Bengaluru,Tata,Indica V2,2010,Diesel,190000,120000
Tata Indica V2 Ls (make Year 2012) (diesel),Bengaluru,Tata,Indica V2,2012,Diesel,95000,195000
Tata Nano Lx (make Year 2010) (petrol),Bengaluru,Tata,Nano,2016,Petrol,93146,60000
Tata Indica V2 Ls (make Year 2012) (diesel),Bengaluru,Tata,Indica V2,2012,Diesel,90000,185000
"Selling my Tata Indica V2 DLX, yellow board",Bengaluru,Tata,Indica V2,2011,Diesel,170000,150000
Tata indica v2 LS silver colour good conditions,Bengaluru,Tata,Indica V2,2013,Diesel,98000,270000
Tata Indica V2 Le (make Year 2010) (diesel),Bengaluru,Tata,Indica V2,2010,Diesel,89000,65000
Driver problem,Bengaluru,Tata,Indica V2,2015,Diesel,48000,390000
Tata Indica V2 Ls (make Year 2012) (diesel),Bengaluru,Tata,Indica V2,2012,Diesel,98000,142000
Tata Nano Lx (make Year 2010) (petrol),Bengaluru,Tata,Nano,2010,Petrol,31000,110000
Tata Indica V2 diesel 64000 Kms 2014 year,Bengaluru,Tata,Indica V2,2014,Diesel,64000,333000
Tata Nano Lx (make Year 2011) (petrol),Bengaluru,Tata,Nano,2011,Petrol,28100,110000
Tata Indica V2 diesel 8500 Kms 2016 year top end model Lx,Bengaluru,Tata,Indica V2,2016,Diesel,8500,450000
2014 Tata Indica V2 diesel 130000 Kms,Bengaluru,Tata,Indica V2,2014,Diesel,130000,300000
2012 Tata Nano petrol 24578 Kms,Bengaluru,Tata,Nano,2012,Petrol,24578,50000
Indica v2 ls 2013 model car for sale.,Bengaluru,Tata,Indica V2,2013,Diesel,94500,270000
Tata Indica V2 diesel 21000 Kms 2016 year,Bengaluru,Tata,Indica V2,2016,Diesel,21000,190000
2014 Tata Indica V2 diesel 98000 Kms,Bengaluru,Tata,Indica V2,2014,Diesel,98000,260000
Tata Nano Cx (make Year 2011) (petrol),Bengaluru,Tata,Nano,2011,Petrol,20000,120000
Tata Nano Twist Xt (make Year 2014) (petrol),Bengaluru,Tata,Nano,2014,Petrol,13771,210000
Tata Safari Storme diesel 24500 Kms 2014 year,Bengaluru,Tata,Safari Storme,2014,Diesel,24500,1050000
Tata Nano Cx (make Year 2011) (petrol),Bengaluru,Tata,Nano,2011,Petrol,24000,125000
Tata Nano Cx (make Year 2012) (petrol),Bengaluru,Tata,Nano,2012,Petrol,55821,105000
Tata Nano Lx (make Year 2010) (petrol),Bengaluru,Tata,Nano,2010,Petrol,30000,110000
"2010 Tata Safari 2.2 VTT Dicor EX, Pearl White",Bengaluru,Tata,Safari,2010,Diesel,88000,475000
2015 Tata Indica V2 lx diesel 51000 Kms,Bengaluru,Tata,Indica V2,2015,Diesel,51000,395000
Tata Nano Lx (make Year 2011) (petrol),Bengaluru,Tata,Nano,2011,Petrol,25000,130000
Tata Indica V2 diesel 120000 Kms 2012 year,Bengaluru,Tata,Indica V2,2012,Diesel,120000,225000
Tata Nano 2012 model,Bengaluru,Tata,Nano,2012,Petrol,13000,125000
TATA Nano 2012 for 78000,Bengaluru,Tata,Nano,2012,Petrol,49000,78000
TATA Nano 2012 model just for 78000/-,Bengaluru,Tata,Nano,2012,Petrol,49000,78000
