 
Toyota Fortuner 3.0 4x4 Mt (make Year 2012) (diesel),Bengaluru,Toyota,Fortuner,2012,Diesel,94500,2150000
Toyota Fortuner 3.0 4x4 Mt (make Year 2011) (diesel),Bengaluru,Toyota,Fortuner,2011,Diesel,127000,1775000
Corolla Altis VL Auto Transmission,Bengaluru,Toyota,Corolla Altis,2014,Petrol,44195,1550000
Toyota Fortuner (make Year 2013) (diesel),Bengaluru,Toyota,Fortuner,2013,Diesel,118000,2044000
2011 Toyota Fortuner diesel 58400 Kms,Bengaluru,Toyota,Fortuner,2011,Diesel,58400,1650000
Toyota Fortuner 4x2 At (make Year 2012) (diesel),Bengaluru,Toyota,Fortuner,2012,Diesel,71000,1850000
Toyota Corolla Altis J Diesel (make Year 2014) (diesel),Bengaluru,Toyota,Corolla Altis,2014,Diesel,33200,1150000
Toyota Fortuner diesel 30000 Kms 2013 year Automatic,Bengaluru,Toyota,Fortuner,2013,Diesel,30000,2400000
Toyota Etios Liva Gd (make Year 2012) (petrol),Bengaluru,Toyota,Etios Liva,2012,Petrol,58024,520000
2012 Toyota Etios Liva diesel 114900 Kms,Bengaluru,Toyota,Etios Liva,2012,Diesel,114900,414000
Toyota Corolla Altis 1.8 J (make Year 2012) (petrol),Bengaluru,Toyota,Corolla Altis,2012,Petrol,41200,760000
Toyota Fortuner 4WD 2011 model for Sale,Bengaluru,Toyota,Fortuner,2011,Diesel,94000,1650000
2012 Toyota Etios Liva diesel 22000 Kms,Bengaluru,Toyota,Etios Liva,2012,Diesel,22000,380000
Toyota Etios Liva Gd (make Year 2015) (diesel),Bengaluru,Toyota,Etios Liva,2015,Diesel,20000,540000
Toyota Etios Liva Gd (make Year 2015) (diesel),Bengaluru,Toyota,Etios Liva,2015,Diesel,50000,550000
Toyota Fortuner 3.0 4x4 Mt (make Year 2011) (diesel),Bengaluru,Toyota,Fortuner,2011,Diesel,92000,1650000
"Tayota Fortuner 4WD,2012 model,white colour,single owner.",Bengaluru,Toyota,Fortuner,2012,Diesel,115000,1700000
Toyota Etios Liva diesel 45000 Kms 2012 year,Bengaluru,Toyota,Etios Liva,2012,Diesel,45000,550000
Toyota Corolla Altis,Bengaluru,Toyota,Corolla Altis,2010,Diesel,100800,750000
Toyota Corolla Altis G Diesel (make Year 2010) (diesel),Bengaluru,Toyota,Corolla Altis,2010,Diesel,80000,700000
Toyota Fortuner 3.0 4x4 Mt (make Year 2010) (diesel),Bengaluru,Toyota,Fortuner,2010,Diesel,117000,1375000
