 
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,26000,485000
Volkswagen Vento Diesel Style (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,105377,260000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2012) (diese,Bengaluru,Volkswagen,Polo,2012,Diesel,39000,535000
Volkswagen Polo diesel TDI,Bengaluru,Volkswagen,Polo,2012,Diesel,69000,447000
Volkswagen Vento Highline Diesel (make Year 2013) (diesel),Bengaluru,Volkswagen,Vento,2013,Diesel,51892,760000
Volkswagen Polo Highline1.2l (p) (make Year 2015) (petrol),Bengaluru,Volkswagen,Polo,2015,Petrol,2600,670000
Volkswagen Polo Trendline 1.2l (d) (make Year 2012) (diesel),Bengaluru,Volkswagen,Polo,2012,Diesel,58000,465000
Volkswagen Vento Comfortline Petrol (make Year 2010) (petrol,Bengaluru,Volkswagen,Vento,2010,Petrol,46898,540000
Volkswagen Vento Highline Diesel (make Year 2012) (diesel),Bengaluru,Volkswagen,Vento,2012,Diesel,33000,730000
"volkswagn polo very good condition new seat covers, floor mats reverse",Bengaluru,Volkswagen,Polo,2011,Diesel,32000,425000
Volkswagen Polo Highline1.2l (d) (make Year 2012) (diesel),Bengaluru,Volkswagen,Polo,2012,Diesel,65901,545000
VW Vento 1.6l TDI Highline,Bengaluru,Volkswagen,Vento,2013,Diesel,25,775000
Volkswagen Polo Polo Highline1.2l D (make Year 2011) (diesel,Bengaluru,Volkswagen,Polo,2011,Diesel,68000,465000
Volkswagen Polo Polo Highline1.2l (p) (make Year 2015) (petr,Bengaluru,Volkswagen,Polo,2015,Petrol,7000,675000
Volkswagen Polo Polo Highline1.2l (p) (make Year 2014) (petr,Bengaluru,Volkswagen,Polo,2014,Petrol,20000,665000
Volkswagen Vento Highline Diesel At (make Year 2015) (diesel,Bengaluru,Volkswagen,Vento,2015,Diesel,21104,1005000
Volkswagen Polo Highline1.2l D (make Year 2012) (diesel),Bengaluru,Volkswagen,Polo,2012,Diesel,20000,580000
Volkswagen Polo Highline1.2l D (make Year 2013) (diesel),Bengaluru,Volkswagen,Polo,2013,Diesel,450000,650000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2011) (diese,Bengaluru,Volkswagen,Polo,2011,Diesel,45000,460000
Volkswagen Polo Trendline 1.2l (p) (make Year 2016) (petrol),Bengaluru,Volkswagen,Polo,2016,Petrol,25000,535000
Volkswagen Vento Highline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,64000,590000
Volkswagen Vento Highline Petrol (make Year 2012) (petrol),Bengaluru,Volkswagen,Vento,2012,Petrol,34000,675000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,14000,520000
Volkswagen Vento TSI DSG Single Owner,Bengaluru,Volkswagen,Vento,2013,Petrol,35748,735000
Volkswagen Vento Highline Petrol (make Year 2012) (petrol),Bengaluru,Volkswagen,Vento,2012,Petrol,32325,620000
Volkswagen Beetle petrol 850 Kms 2010 year,Bengaluru,Volkswagen,Beetle,2010,Petrol,850,1850000
Volkswagen Vento (make Year 2013) (diesel),Bengaluru,Volkswagen,Vento,2013,Diesel,84982,675000
VW Jetta diesel white in color,Bengaluru,Volkswagen,Jetta,2012,Diesel,60000,1100000
2011 Volkswagen Vento petrol 45000 Kms,Bengaluru,Volkswagen,Vento,2011,Petrol,45000,425000
Volkswagen Polo Comfortline 1.5l (d) (make Year 2011) (diese,Bengaluru,Volkswagen,Polo,2011,Diesel,65000,430000
Volkswagen Polo Highline 1.6l (p) (make Year 2013) (petrol),Bengaluru,Volkswagen,Polo,2013,Petrol,14000,600000
Volkswagen Beetle 2.0 At (make Year 2010) (petrol),Bengaluru,Volkswagen,Beetle,2010,Petrol,22000,1650000
Volkswagen Beetle 2.0 At (make Year 2010) (petrol),Bengaluru,Volkswagen,Beetle,2010,Petrol,1000,1850000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,32000,500000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2011) (diese,Bengaluru,Volkswagen,Polo,2011,Diesel,65000,430000
Volkswagen Vento Highline Diesel (make Year 2012) (diesel),Bengaluru,Volkswagen,Vento,2012,Diesel,65000,600000
Volkswagen Polo petrol 29900 Kms 2015 year,Bengaluru,Volkswagen,Polo,2015,Petrol,29300,880000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2010) (diese,Bengaluru,Volkswagen,Polo,2010,Diesel,57000,430000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,12000,525000
Volkswagen Vento Highline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,58000,590000
Volkswagen Jetta Comfortline Tdi (make Year 2011) (diesel),Bengaluru,Volkswagen,Jetta,2011,Diesel,36000,865000
Volkswagen Jetta Highline Tdi (make Year 2011) (diesel),Bengaluru,Volkswagen,Jetta,2011,Diesel,45100,825000
Volkswagen Vento diesel 95000 Kms 2010 year,Bengaluru,Volkswagen,Vento,2010,Diesel,95000,475000
vw vento TDI HIGELINE 2010,Bengaluru,Volkswagen,Vento,2010,Diesel,94000,475000
Volkswagen Vento Highline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,79813,450000
Volkswagen Polo petrol 14000 Kms 2015 year,Bengaluru,Volkswagen,Polo,2015,Petrol,14000,660000
Volkswagen Polo diesel 19500 Kms 2015 year,Bengaluru,Volkswagen,Polo,2015,Diesel,19500,769000
Volkswagen Polo Comfortline 1.5l (d) (make Year 2011) (diese,Bengaluru,Volkswagen,Polo,2011,Diesel,69000,500000
Volkswagen Polo diesel 55000 Kms 2012 year,Bengaluru,Volkswagen,Polo,2012,Diesel,55000,485000
Volkswagen polo highline,Bengaluru,Volkswagen,Polo,2012,Diesel,20000,500000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,26970,525000
2011 Volkswagen Vento Treadline,Bengaluru,Volkswagen,Vento,2011,Petrol,35000,450000
Volkswagen Vento Trendline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,59000,650000
Volkswagen Vento Highline Petrol At (make Year 2011) (petrol,Bengaluru,Volkswagen,Vento,2011,Petrol,16913,675000
Volkswagen Vento diesel 75000 Kms 2011 year,Bengaluru,Volkswagen,Vento,2011,Diesel,75000,485000
Vento HighLine 2010 Model RED Color,Bengaluru,Volkswagen,Vento,2010,Diesel,66500,515000
Volkswagen Polo Highline1.5l (d) (make Year 2013) (diesel),Bengaluru,Volkswagen,Polo,2013,Diesel,36000,640000
Volkswagen Polo 1.2l Cr Highline,Bengaluru,Volkswagen,Polo,2013,Diesel,39000,470000
VENTO Highline -Diesel foe SALE,Bengaluru,Volkswagen,Vento,2012,Diesel,57000,595000
Volkswagen Beetle 2.0 At (make Year 2010) (petrol),Bengaluru,Volkswagen,Beetle,2010,Petrol,23000,1650000
Volkswagen Jetta Highline Tdi At (make Year 2016) (diesel),Bengaluru,Volkswagen,Jetta,2016,Diesel,5000,1900000
High line Volkswagen Vento diesel 70000 Kms 2013 year,Bengaluru,Volkswagen,Vento,2013,Diesel,70000,750000
Volkswagen Polo1.5 TDI 2015 highline,Bengaluru,Volkswagen,Polo,2015,Diesel,19000,755000
Volkswagen Polo Trendline 1.2l (p) (make Year 2016) (petrol),Bengaluru,Volkswagen,Polo,2016,Petrol,27000,575000
Volkswagen Polo petrol 65000 Kms 2012 year,Bengaluru,Volkswagen,Polo,2012,Petrol,65000,450000
Volkswagen Polo Highline1.2l (d) (make Year 2010) (diesel),Bengaluru,Volkswagen,Polo,2010,Diesel,50000,425000
Volkswagen Vento Highline Petrol (make Year 2011) (petrol),Bengaluru,Volkswagen,Vento,2011,Petrol,40000,550000
Vw Polo diesel 2011 Comforline excellent condition,Bengaluru,Volkswagen,Polo,2011,Diesel,65000,435000
volkswagen polo highline 2014 1.2L diesel with extended warranty,Bengaluru,Volkswagen,Polo,2014,Diesel,30000,660000
Volkswagen Vento Highline comfort line diesel 1.6CR TDI(MT) BSlV,Bengaluru,Volkswagen,Vento,2011,Diesel,61000,580000
Volkswagen Polo 1.2L - 2010 Model,Bengaluru,Volkswagen,Polo,2010,Petrol,52000,350000
5 year old Petrol vento single owner,Bengaluru,Volkswagen,Vento,2011,Petrol,95000,430000
Volkswagen Polo petrol 21700 Kms 2013 year,Bengaluru,Volkswagen,Polo,2013,Petrol,21700,515000
Volkswagen Polo diesel 73000 Kms 2012 year,Bengaluru,Volkswagen,Polo,2012,Diesel,73000,425000
Volkswagen Polo Highline1.2l (p) (make Year 2010) (petrol),Bengaluru,Volkswagen,Polo,2010,Petrol,45000,445000
Volkswagen Polo petrol 15971 Kms 2015 year,Bengaluru,Volkswagen,Polo,2015,Petrol,15971,550000
Volkswagen Polo Gt Tdi (make Year 2013) (diesel),Bengaluru,Volkswagen,Polo,2013,Diesel,33000,830000
Volkswagen Polo (make Year 2015) (petrol),Bengaluru,Volkswagen,Polo,2015,Petrol,8760,675000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,13000,565000
Volkswagen Vento Trendline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,49000,575000
Volkswagen Vento Highline Petrol (make Year 2011) (petrol),Bengaluru,Volkswagen,Vento,2011,Petrol,42000,625000
Volkswagen Polo Highline1.2l D (make Year 2013) (diesel),Bengaluru,Volkswagen,Polo,2013,Diesel,33000,625000
Vento 2011belgaum reg,Bengaluru,Volkswagen,Vento,2011,Diesel,77000,575000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2011) (diese,Bengaluru,Volkswagen,Polo,2011,Diesel,92200,395000
Volkswagen Polo petrol 28000 Kms 2013 year,Bengaluru,Volkswagen,Polo,2013,Petrol,28000,550000
Volkswagen Polo Highline1.5l (d) (make Year 2015) (diesel),Bengaluru,Volkswagen,Polo,2015,Diesel,19000,850000
Volkswagen Polo Gt Tsi (make Year 2015) (petrol),Bengaluru,Volkswagen,Polo,2015,Petrol,30000,900000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2010) (diese,Bengaluru,Volkswagen,Polo,2010,Diesel,50000,475000
Volkswagen Vento Comfortline Diesel (make Year 2011) (diesel,Bengaluru,Volkswagen,Vento,2011,Diesel,56800,590000
Volkswagen Vento Trendline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,71000,480000
Volkswagen Polo Highline 1.6l (p) (make Year 2014) (petrol),Bengaluru,Volkswagen,Polo,2014,Petrol,12494,670000
2010 Volkswagen Vento diesel 39000 Kms,Bengaluru,Volkswagen,Vento,2010,Diesel,39000,400000
Volkswagen Vento Highline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,69000,580000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2011) (petro,Bengaluru,Volkswagen,Polo,2011,Petrol,60000,425000
Volkswagen Vento (make Year 2011) (petrol),Bengaluru,Volkswagen,Vento,2011,Petrol,40000,585000
Volkswagen Polo diesel 32000 Kms 2011 year,Bengaluru,Volkswagen,Polo,2011,Diesel,75000,425000
Volkswagen Polo (make Year 2011) (diesel),Bengaluru,Volkswagen,Polo,2011,Diesel,45000,485000
Volkswagen Vento Trendline Diesel (make Year 2012) (diesel),Bengaluru,Volkswagen,Vento,2012,Diesel,58000,625000
Volkswagen Vento Trendline Diesel (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,40000,525000
Volkswagen Polo Comfortline 1.5l (d) (make Year 2015) (diese,Bengaluru,Volkswagen,Polo,2015,Diesel,4000,700000
Volkswagen Jetta Highline Tdi (make Year 2011) (diesel),Bengaluru,Volkswagen,Jetta,2011,Diesel,48000,1150000
Volkswagen Polo Highline1.2l (d) (make Year 2013) (diesel),Bengaluru,Volkswagen,Polo,2013,Diesel,40000,610000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2014) (petro,Bengaluru,Volkswagen,Polo,2014,Petrol,35000,570000
Volkswagen Polo Highline1.2l (p) (make Year 2012) (petrol),Bengaluru,Volkswagen,Polo,2012,Petrol,13700,550000
Volkswagen Vento in excellent condition for sale,Bengaluru,Volkswagen,Vento,2012,Diesel,38500,675000
Volkswagen Polo Comfortline 1.5l (d) (make Year 2013) (diese,Bengaluru,Volkswagen,Polo,2013,Diesel,38000,570000
Volkswagen Polo Trendline 1.2l (d) (make Year 2012) (diesel),Bengaluru,Volkswagen,Polo,2012,Diesel,58000,465000
Volkswagen Vento diesel 72000 Kms 2011 year,Bengaluru,Volkswagen,Vento,2011,Diesel,72000,520000
Volkswagen Polo Comfortline 1.5l (d) (make Year 2013) (diese,Bengaluru,Volkswagen,Polo,2013,Diesel,35000,575000
