Maruti suzuki omni van,Bengaluru,Maruti Suzuki,Omni,2010,Petrol,24000,210000
Skoda Rapid 1.5 Tdi Cr Ambition (make Year 2012) (diesel),Bengaluru,Skoda,Rapid,2012,Diesel,53000,530000
Chevrolet Beat Lt Petrol (make Year 2013) (petrol),Bengaluru,Chevrolet,Beat,2013,Petrol,26000,365000
2010 Maruti Suzuki Swift diesel 52000 Kms,Bengaluru,Maruti Suzuki,Swift,2010,Diesel,52000,550000
Hyundai I10 Sportz 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,62000,305000
Honda Brio S Mt (make Year 2012) (petrol),Bengaluru,Honda,Brio,2012,Petrol,52000,379000
Hyundai Eon 1.0 Kappa Magna + (make Year 2013) (petrol),Bengaluru,Hyundai,Eon,2013,Petrol,32000,305000
Chevrolet Beat Ps Diesel (make Year 2012) (diesel),Bengaluru,Chevrolet,Beat,2012,Diesel,48000,325000
Volkswagen Polo Comfortline 1.2l (p) (make Year 2012) (petro,Bengaluru,Volkswagen,Polo,2012,Petrol,26000,485000
Nissan Micra Xl (make Year 2014) (petrol),Bengaluru,Nissan,Micra,2014,Petrol,3000,475000
Hyundai I10 Magna 1.2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,55000,315000
Volkswagen Vento Diesel Style (make Year 2011) (diesel),Bengaluru,Volkswagen,Vento,2011,Diesel,105377,260000
"Excellent Condition, single owner Ford Figo Diesel ZXI for Sale",Bengaluru,Ford,Figo,2012,Diesel,73000,350000
Volkswagen Polo Comfortline 1.2l (d) (make Year 2012) (diese,Bengaluru,Volkswagen,Polo,2012,Diesel,39000,535000
Maruti Suzuki Swift Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Swift,2012,Diesel,56832,535000
Maruti Suzuki Ertiga Vdi (make Year 2012) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2012,Diesel,49000,720000
Renault Duster car 2015 driven for just 8000Km for Sale,Bengaluru,Renault,Duster,2015,Diesel,8000,1000000
Ford Endeavour 3.0l 4x2 At (make Year 2011) (diesel),Bengaluru,Ford,Endeavour,2011,Diesel,59000,1250000
Honda City Sv Diesel (make Year 2014) (diesel),Bengaluru,Honda,City,2014,Diesel,35700,950000
Maruti Suzuki Swift Vxi petrol 2013 year,Bengaluru,Maruti Suzuki,Swift,2013,Petrol,50000,520000
Mahindra Xuv500 W10 (make Year 2016) (diesel),Bengaluru,Mahindra,Xuv500,2016,Diesel,3900,1950000
Honda City petrol 23000 Kms 2014 year,Bengaluru,Honda,City,2014,Petrol,23000,1050000
Hyundai Grand I10 Sportz At 1.2 Kappa Vtvt (make Year 2015),Bengaluru,Hyundai,Grand I10,2015,Petrol,11600,660000
Toyota Fortuner 3.0 4x4 Mt (make Year 2012) (diesel),Bengaluru,Toyota,Fortuner,2012,Diesel,94500,2150000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2013) (die,Bengaluru,Ford,Figo,2013,Diesel,56000,425000
Tata Nano petrol 23544 Kms 2012 year,Bengaluru,Tata,Nano,2012,Petrol,23544,45000
Maruti Suzuki Celerio Vxi At (make Year 2014) (petrol),Bengaluru,Maruti Suzuki,Celerio,2014,Petrol,19500,455000
Maruti Suzuki Swift Vdi Bs-iv (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Swift,2013,Diesel,70000,525000
Maruti Suzuki Swift Dzire diesel 39600 Kms 2015 year,Bengaluru,Maruti Suzuki,Swift Dzire,2015,Diesel,39600,580000
Hyundai Eon Magna + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,33400,335000
Hyundai I10 Sportz 1.2 At Kappa2 (make Year 2010) (petrol),Bengaluru,Hyundai,I10,2010,Petrol,63000,365000
Hyundai Eon Magna + (make Year 2014) (petrol),Bengaluru,Hyundai,Eon,2014,Petrol,32000,315000
"Honda City VMT,2013 model,single owner,brown colour,51000 km done.",Bengaluru,Honda,City,2013,Petrol,51000,610000
Skoda Rapid,Bengaluru,Skoda,Rapid,2013,Diesel,64750,680000
Hyundai I10 Sportz 1.2 At (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,415000,415000
Ford Figo Duratorq Diesel Titanium 1.4 (make Year 2014) (pet,Bengaluru,Ford,Figo,2014,Petrol,9000,459000
Hyundai I10 Asta 1.2 Kappa2 (make Year 2011) (petrol),Bengaluru,Hyundai,I10,2011,Petrol,73000,375000
Maruti Suzuki Omni 5 Str Bs-iv (make Year 2010) (petrol),Bengaluru,Maruti Suzuki,Omni,2010,Petrol,23000,200000
Skoda Yeti Elegance 4 X 2 (make Year 2012) (diesel),Bengaluru,Skoda,Yeti,2012,Diesel,105000,750000
Good condition up to date documents,Bengaluru,Mahindra,Xylo,2011,Diesel,135000,350000
Mahindra Scorpio S10 (make Year 2015) (diesel),Bengaluru,Mahindra,Scorpio,2015,Diesel,3500,1385000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2012) (diesel),Bengaluru,Ford,Figo,2012,Diesel,48000,415000
Ford Figo Duratec Petrol Zxi 1.2 (make Year 2011) (petrol),Bengaluru,Ford,Figo,2011,Petrol,21000,365000
Maruti Suzuki Ertiga Vdi (make Year 2013) (diesel),Bengaluru,Maruti Suzuki,Ertiga,2013,Diesel,70000,730000
Honda Amaze 1.5 S I-dtec (make Year 2014) (diesel),Bengaluru,Honda,Amaze,2014,Diesel,12000,675000
Tata Indica V2 diesel 120000 Kms 2012 year,Bengaluru,Tata,Indica V2,2012,Diesel,120000,180000
Hyundai Verna Fluidic 1.6 Vtvt Sx (make Year 2013) (diesel),Bengaluru,Hyundai,Verna,2013,Diesel,50000,825000
Tata Nano petrol 19257 Kms 2011 year,Bengaluru,Tata,Nano,2011,Petrol,19257,71000
Tata Zest Xma Diesel (make Year 2015) (diesel),Bengaluru,Tata,Zest,2015,Diesel,23300,710000
