Manufacturer,Model,Price,Year,KMS
Skoda,Octavia,425000,2010,100000
Skoda,Octavia,1400001,2013,22022
Skoda,Octavia,1550000,2013,45000
Skoda,Octavia,1300000,2013,59000
Skoda,Octavia,1499995,2014,25184
Skoda,Octavia,1070000,2014,38000
Skoda,Octavia,1070000,2014,61000
Skoda,Octavia,1040000,2014,64000
Skoda,Octavia,1900000,2015,21600
Skoda,Octavia,2000000,2015,27000
Skoda,Rapid,450000,2011,53000
Skoda,Rapid,435000,2011,55000
Skoda,Rapid,435000,2011,61290
Skoda,Rapid,465000,2011,65000
Skoda,Rapid,499990,2012,117008
Skoda,Rapid,500000,2012,16000
Skoda,Rapid,585000,2012,26000
Skoda,Rapid,525000,2012,27000
Skoda,Rapid,450000,2012,28700
Skoda,Rapid,499000,2012,29000
Skoda,Rapid,460000,2012,31000
Skoda,Rapid,460000,2012,34000
Skoda,Rapid,525000,2012,35000
Skoda,Rapid,575000,2012,35800
Skoda,Rapid,580000,2012,36000
Skoda,Rapid,475000,2012,40000
Skoda,Rapid,510000,2012,40000
Skoda,Rapid,555000,2012,40000
Skoda,Rapid,485000,2012,41390
Skoda,Rapid,465000,2012,48000
Skoda,Rapid,595000,2012,48000
Skoda,Rapid,490000,2012,50000
Skoda,Rapid,495000,2012,50000
Skoda,Rapid,480000,2012,51000
Skoda,Rapid,610000,2012,51000
Skoda,Rapid,535000,2012,53000
Skoda,Rapid,480000,2012,54000
Skoda,Rapid,445000,2012,55000
Skoda,Rapid,450000,2012,55000
Skoda,Rapid,480000,2012,56000
Skoda,Rapid,500000,2012,56000
Skoda,Rapid,615000,2012,56000
Skoda,Rapid,480000,2012,59000
Skoda,Rapid,550000,2012,60000
Skoda,Rapid,490000,2012,62000
Skoda,Rapid,580000,2012,62000
Skoda,Rapid,525000,2012,64000
Skoda,Rapid,580000,2012,64580
Skoda,Rapid,535000,2012,65000
Skoda,Rapid,595000,2012,65000
Skoda,Rapid,551111,2012,65131
Skoda,Rapid,575000,2012,66000
Skoda,Rapid,525000,2012,67000
Skoda,Rapid,530000,2012,72136
Skoda,Rapid,520000,2012,72236
Skoda,Rapid,475000,2012,75000
Skoda,Rapid,575000,2012,77000
Skoda,Rapid,450000,2012,78000
Skoda,Rapid,575000,2012,78000
Skoda,Rapid,600000,2012,85000
Skoda,Rapid,600000,2012,86000
Skoda,Rapid,500000,2012,93000
Skoda,Rapid,510000,2012,93000
Skoda,Rapid,480000,2012,94000
Skoda,Rapid,525000,2012,97000
Skoda,Rapid,575000,2012,97000
Skoda,Rapid,485000,2012,99000
Skoda,Rapid,575000,2013,17000
Skoda,Rapid,695000,2013,25300
Skoda,Rapid,645000,2013,28000
Skoda,Rapid,500000,2013,30000
Skoda,Rapid,575000,2013,30000
Skoda,Rapid,720000,2013,31000
Skoda,Rapid,625000,2013,33000
Skoda,Rapid,650000,2013,33000
Skoda,Rapid,600000,2013,33500
Skoda,Rapid,650000,2013,33500
Skoda,Rapid,590000,2013,35000
Skoda,Rapid,526000,2013,42000
Skoda,Rapid,525000,2013,45000
Skoda,Rapid,700000,2013,47000
Skoda,Rapid,675000,2013,47090
Skoda,Rapid,475000,2013,51000
Skoda,Rapid,500000,2013,51000
Skoda,Rapid,550000,2013,52000
Skoda,Rapid,490000,2013,52120
Skoda,Rapid,595000,2013,55000
Skoda,Rapid,720000,2013,55000
Skoda,Rapid,590000,2013,59000
Skoda,Rapid,680000,2013,64750
Skoda,Rapid,675000,2013,65000
Skoda,Rapid,710000,2013,67000
Skoda,Rapid,650000,2013,68000
Skoda,Rapid,695000,2013,91000
Skoda,Rapid,625000,2013,97300
Skoda,Rapid,800000,2014,2000
Skoda,Rapid,720000,2014,23000
Skoda,Rapid,640000,2014,25000
Skoda,Rapid,850000,2014,25000
Skoda,Rapid,870000,2014,28000
Skoda,Rapid,650000,2014,30000
Skoda,Rapid,800001,2014,31100
Skoda,Rapid,685000,2014,34000
Skoda,Rapid,625000,2014,36000
Skoda,Rapid,675000,2014,39000
Skoda,Rapid,700000,2014,40000
Skoda,Rapid,645000,2014,43000
Skoda,Rapid,910000,2014,44400
Skoda,Rapid,850000,2014,45000
Skoda,Rapid,780000,2014,66000
Skoda,Rapid,860000,2014,72000
Skoda,Rapid,675000,2014,7400
Skoda,Rapid,900000,2014,95000
Skoda,Rapid,865000,2015,11500
Skoda,Rapid,950000,2015,11606
Skoda,Rapid,1050000,2015,15000
Skoda,Rapid,750000,2015,15000
Skoda,Rapid,1000000,2015,15800
Skoda,Rapid,765000,2015,17300
Skoda,Rapid,975000,2015,17800
Skoda,Rapid,1000000,2015,18500
Skoda,Rapid,1000000,2015,19200
Skoda,Rapid,775000,2015,22000
Skoda,Rapid,1000000,2015,3858
Skoda,Rapid,1045000,2015,40000
Skoda,Rapid,900000,2015,5000
Skoda,Rapid,1050000,2015,8000
Skoda,Rapid,850000,2015,8700
Skoda,Rapid,850000,2016,17500
Skoda,Rapid,970000,2016,25000
Skoda,Rapid,1170000,2016,7000
Skoda,Rapid,862000,2016,8200
Skoda,Superb,950000,2010,108000
Skoda,Superb,850000,2010,14000
Skoda,Superb,700000,2010,25000
Skoda,Superb,750000,2010,29000
Skoda,Superb,795000,2010,34500
Skoda,Superb,765000,2010,37000
Skoda,Superb,650000,2010,38000
Skoda,Superb,739000,2010,39500
Skoda,Superb,675000,2010,40000
Skoda,Superb,700000,2010,40000
Skoda,Superb,690000,2010,41000
Skoda,Superb,950000,2010,41200
Skoda,Superb,850000,2010,46000
Skoda,Superb,600000,2010,47800
Skoda,Superb,650000,2010,48762
Skoda,Superb,675000,2010,51000
Skoda,Superb,695000,2010,53115
Skoda,Superb,735000,2010,54000
Skoda,Superb,825000,2010,54000
Skoda,Superb,635000,2010,57800
Skoda,Superb,750000,2010,58000
Skoda,Superb,665000,2010,60000
Skoda,Superb,700000,2010,60000
Skoda,Superb,800000,2010,60000
Skoda,Superb,899000,2010,60000
Skoda,Superb,935000,2010,60000
Skoda,Superb,625000,2010,61000
Skoda,Superb,600000,2010,62000
Skoda,Superb,825000,2010,62000
Skoda,Superb,899000,2010,62000
Skoda,Superb,575000,2010,67000
Skoda,Superb,595000,2010,67000
Skoda,Superb,599000,2010,70000
Skoda,Superb,700000,2010,70000
Skoda,Superb,825000,2010,70944
Skoda,Superb,699000,2010,72000
Skoda,Superb,700000,2010,72000
Skoda,Superb,600000,2010,77000
Skoda,Superb,685000,2010,78000
Skoda,Superb,690000,2010,87000
Skoda,Superb,875000,2010,93015
Skoda,Superb,970000,2010,96000
Skoda,Superb,666000,2011,33453
Skoda,Superb,680000,2011,47000
Skoda,Superb,699000,2011,51000
Skoda,Superb,649000,2011,52000
Skoda,Superb,650000,2011,54000
Skoda,Superb,680000,2011,56000
Skoda,Superb,875000,2011,56000
Skoda,Superb,710000,2011,58000
Skoda,Superb,585000,2011,60000
Skoda,Superb,650000,2011,63000
Skoda,Superb,850000,2011,68000
Skoda,Superb,675000,2011,69870
Skoda,Superb,650000,2011,70000
Skoda,Superb,695000,2011,80800
Skoda,Superb,925000,2012,27736
Skoda,Superb,999999,2012,28000
Skoda,Superb,845000,2012,29000
Skoda,Superb,1000000,2012,29200
Skoda,Superb,850999,2012,30000
Skoda,Superb,936000,2012,30000
Skoda,Superb,1050000,2012,38102
Skoda,Superb,1200000,2012,45200
Skoda,Superb,1150000,2012,55000
Skoda,Superb,1050000,2012,56437
Skoda,Superb,1175000,2012,60000
Skoda,Superb,1000000,2012,65000
Skoda,Superb,1000000,2012,71500
Skoda,Superb,999999,2012,72000
Skoda,Superb,1050000,2012,75000
Skoda,Superb,1400000,2013,40000
Skoda,Superb,1395000,2013,47000
Skoda,Superb,1500000,2013,48631
Skoda,Superb,1350001,2014,38000
Skoda,Superb,1530000,2014,9900
Skoda,Superb,1850000,2015,7000
Skoda,Yeti,625000,2010,76000
Skoda,Yeti,900000,2011,100000
Skoda,Yeti,775000,2011,101000
Skoda,Yeti,850000,2011,111500
Skoda,Yeti,1055000,2011,135228
Skoda,Yeti,775000,2011,138000
Skoda,Yeti,785000,2011,65000
Skoda,Yeti,720000,2011,70000
Skoda,Yeti,725000,2011,70000
Skoda,Yeti,750000,2011,70000
Skoda,Yeti,1050000,2011,72000
Skoda,Yeti,975000,2011,75000
Skoda,Yeti,750000,2011,90000
Skoda,Yeti,725000,2011,99000
Skoda,Yeti,750000,2012,105000
Skoda,Yeti,750000,2012,135000
Skoda,Yeti,750000,2012,45000
Skoda,Yeti,775000,2012,60000
Skoda,Yeti,750000,2012,76000
Skoda,Yeti,900000,2012,78000
