Manufacturer,Model,Price,Year,KMS
Tata,Aria,450000,2010,120000
Tata,Aria,600000,2011,120000
Tata,Aria,500000,2011,45000
Tata,Aria,475000,2011,58000
Tata,Aria,575000,2011,65000
Tata,Aria,550000,2011,70000
Tata,Aria,575000,2012,131000
Tata,Aria,670000,2012,150000
Tata,Aria,700000,2012,157000
Tata,Aria,650000,2012,40000
Tata,Aria,570000,2012,55000
Tata,Aria,600000,2013,60000
Tata,Aria,450000,2013,69000
Tata,Aria,500000,2014,60000
Tata,Aria,685000,2015,34500
Tata,Indica Ev2,165000,2010,100000
Tata,Indica Ev2,120000,2010,127513
Tata,Indica Ev2,168000,2011,119000
Tata,Indica Ev2,230000,2011,120000
Tata,Indica Ev2,245000,2011,120000
Tata,Indica Ev2,215000,2011,18000
Tata,Indica Ev2,220000,2011,18000
Tata,Indica Ev2,250000,2011,18950
Tata,Indica Ev2,190000,2011,190000
Tata,Indica Ev2,220000,2011,50000
Tata,Indica Ev2,245000,2011,55000
Tata,Indica Ev2,210000,2011,58000
Tata,Indica Ev2,240000,2011,60000
Tata,Indica Ev2,220000,2011,65000
Tata,Indica Ev2,160000,2011,80000
Tata,Indica Ev2,175000,2011,80000
Tata,Indica Ev2,240000,2011,86000
Tata,Indica Ev2,200000,2011,87567
Tata,Indica Ev2,240000,2011,90000
Tata,Indica Ev2,190000,2012,100000
Tata,Indica Ev2,175000,2012,112000
Tata,Indica Ev2,172000,2012,117000
Tata,Indica Ev2,225000,2012,119000
Tata,Indica Ev2,225000,2012,130000
Tata,Indica Ev2,230000,2012,140000
Tata,Indica Ev2,180000,2012,145000
Tata,Indica Ev2,170000,2012,155000
Tata,Indica Ev2,190000,2012,170000
Tata,Indica Ev2,151000,2012,22000
Tata,Indica Ev2,179999,2012,34000
Tata,Indica Ev2,150000,2012,54000
Tata,Indica Ev2,158000,2012,54000
Tata,Indica Ev2,220000,2012,64000
Tata,Indica Ev2,210000,2012,90000
Tata,Indica Ev2,230000,2012,95000
Tata,Indica Ev2,320000,2013,107000
