Manufacturer,Model,Price,Year,KMS
Fiat,Linea,287000,2010,120000
Fiat,Linea,200000,2010,35000
Fiat,Linea,210000,2010,36000
Fiat,Linea,245000,2010,48000
Fiat,Linea,220000,2010,50000
Fiat,Linea,215000,2010,51000
Fiat,Linea,360000,2010,51000
Fiat,Linea,305000,2010,61000
Fiat,Linea,290000,2010,67238
Fiat,Linea,250000,2010,72000
Fiat,Linea,300000,2010,78000
Fiat,Linea,300000,2010,82000
Fiat,Linea,270000,2011,110722
Fiat,Linea,325000,2011,125000
Fiat,Linea,370000,2011,148000
Fiat,Linea,290000,2011,30000
Fiat,Linea,410000,2011,39000
Fiat,Linea,345000,2011,52000
Fiat,Linea,365000,2011,52339
Fiat,Linea,325000,2011,54000
Fiat,Linea,290000,2011,55000
Fiat,Linea,250000,2011,60000
Fiat,Linea,300000,2011,60000
Fiat,Linea,270000,2011,65000
Fiat,Linea,390000,2011,66000
Fiat,Linea,410000,2011,69000
Fiat,Linea,420000,2011,73775
Fiat,Linea,425000,2011,93000
Fiat,Linea,570000,2012,52471
Fiat,Linea,560000,2012,54000
Fiat,Linea,459500,2012,56423
Fiat,Linea,420000,2012,60000
Fiat,Linea,420000,2012,61000
Fiat,Linea,415000,2012,62000
Fiat,Linea,400000,2012,67000
Fiat,Linea,550000,2012,74000
Fiat,Linea,400000,2012,80000
Fiat,Linea,454000,2012,90000
Fiat,Linea,475000,2013,34478
Fiat,Linea,475000,2013,35000
Fiat,Linea,490000,2013,39800
Fiat,Linea,420000,2014,48000
Fiat,Punto Evo,199001,2010,28213
Fiat,Punto Evo,230000,2010,53000
Fiat,Punto Evo,170000,2010,57000
Fiat,Punto Evo,215000,2010,68000
Fiat,Punto Evo,230000,2011,221000
Fiat,Punto Evo,375000,2011,68878
Fiat,Punto Evo,340000,2012,72000
Fiat,Punto Evo,410000,2012,72000
Fiat,Punto Evo,515000,2014,14560
Fiat,Punto Evo,520000,2014,29200
Fiat,Punto Evo,600000,2014,36400
Fiat,Punto Evo,560000,2015,27000
Fiat,Punto Evo,510000,2015,33000
