Manufacturer,Model,Price,Year,KMS
Hyundai,Elantra,1075000,2012,33410
Hyundai,Elantra,1110000,2012,38000
Hyundai,Elantra,875000,2012,46000
Hyundai,Elantra,845000,2012,47000
Hyundai,Elantra,890000,2012,48925
Hyundai,Elantra,990000,2012,55000
Hyundai,Elantra,825000,2012,62000
Hyundai,Elantra,1050000,2012,70000
Hyundai,Elantra,1100000,2012,78600
Hyundai,Elantra,850000,2012,88000
Hyundai,Elantra,850000,2013,110000
Hyundai,Elantra,1095000,2013,13000
Hyundai,Elantra,1175000,2013,21000
Hyundai,Elantra,995000,2013,25100
Hyundai,Elantra,1100000,2013,26000
Hyundai,Elantra,1075000,2013,31000
Hyundai,Elantra,1075000,2013,33000
Hyundai,Elantra,1070000,2013,37002
Hyundai,Elantra,1250000,2013,39000
Hyundai,Elantra,1250000,2013,42000
Hyundai,Elantra,1000000,2013,44000
Hyundai,Elantra,1150000,2013,45000
Hyundai,Elantra,875000,2013,45000
Hyundai,Elantra,951000,2013,47800
Hyundai,Elantra,1300000,2014,13033
Hyundai,Elantra,1400000,2014,16300
Hyundai,Elantra,1100000,2014,22519
Hyundai,Elantra,1425000,2014,29416
Hyundai,Elantra,1300000,2015,30000
Hyundai,Elantra,1350000,2015,6630
Hyundai,Elantra,1390000,2015,9601
Hyundai,Elantra,1500000,2016,6500
Hyundai,Elite I20,230000,2010,44000
Hyundai,Elite I20,300000,2010,45000
Hyundai,Elite I20,365000,2011,31000
Hyundai,Elite I20,500000,2011,60
Hyundai,Elite I20,310000,2012,17800
Hyundai,Elite I20,350000,2012,35000
Hyundai,Elite I20,425000,2012,56000
Hyundai,Elite I20,300000,2012,60000
Hyundai,Elite I20,750000,2013,18000
Hyundai,Elite I20,595000,2014,10000
Hyundai,Elite I20,610000,2014,10000
Hyundai,Elite I20,575000,2014,12500
Hyundai,Elite I20,725000,2014,14000
Hyundai,Elite I20,651000,2014,15000
Hyundai,Elite I20,570000,2014,19000
Hyundai,Elite I20,580000,2014,19000
Hyundai,Elite I20,710000,2014,19000
Hyundai,Elite I20,730000,2014,19000
Hyundai,Elite I20,600000,2014,22500
Hyundai,Elite I20,750000,2014,23000
Hyundai,Elite I20,735000,2014,25000
Hyundai,Elite I20,589000,2014,26502
Hyundai,Elite I20,625000,2014,27000
Hyundai,Elite I20,700000,2014,27000
Hyundai,Elite I20,750000,2014,27000
Hyundai,Elite I20,620000,2014,28000
