Manufacturer,Model,Price,Year,KMS
Maruti Suzuki,Alto 800,155000,2010,27000
Maruti Suzuki,Alto 800,160000,2010,56000
Maruti Suzuki,Alto 800,225000,2011,12781
Maruti Suzuki,Alto 800,205000,2011,52000
Maruti Suzuki,Alto 800,240000,2012,10000
Maruti Suzuki,Alto 800,255000,2012,17769
Maruti Suzuki,Alto 800,220000,2012,20100
Maruti Suzuki,Alto 800,217000,2012,21000
Maruti Suzuki,Alto 800,215000,2012,21400
Maruti Suzuki,Alto 800,210000,2012,26000
Maruti Suzuki,Alto 800,260000,2012,35000
Maruti Suzuki,Alto 800,210000,2012,42000
Maruti Suzuki,Alto 800,245000,2012,43654
Maruti Suzuki,Alto 800,215000,2012,65000
Maruti Suzuki,Alto 800,199000,2012,69000
Maruti Suzuki,Alto 800,240000,2013,12000
Maruti Suzuki,Alto 800,260000,2013,12500
Maruti Suzuki,Alto 800,235000,2013,13000
Maruti Suzuki,Alto 800,255000,2013,13000
Maruti Suzuki,Alto 800,225000,2013,17000
Maruti Suzuki,Alto 800,250000,2013,19000
Maruti Suzuki,Alto 800,225000,2013,20000
Maruti Suzuki,Alto 800,250000,2013,20000
Maruti Suzuki,Alto 800,260000,2013,22000
Maruti Suzuki,Alto 800,260000,2013,23000
Maruti Suzuki,Alto 800,261000,2013,23000
Maruti Suzuki,Alto 800,265000,2013,23500
Maruti Suzuki,Alto 800,255000,2013,24560
Maruti Suzuki,Alto 800,220000,2013,25000
Maruti Suzuki,Alto 800,244000,2013,25000
Maruti Suzuki,Alto 800,250000,2013,25000
Maruti Suzuki,Alto 800,230000,2013,25500
Maruti Suzuki,Alto 800,260000,2013,27000
Maruti Suzuki,Alto 800,245000,2013,2800
Maruti Suzuki,Alto 800,240000,2013,28000
Maruti Suzuki,Alto 800,255000,2013,28000
Maruti Suzuki,Alto 800,270000,2013,28000
Maruti Suzuki,Alto 800,260000,2013,30000
Maruti Suzuki,Alto 800,225000,2013,31000
Maruti Suzuki,Alto 800,250000,2013,31000
Maruti Suzuki,Alto 800,275000,2013,31000
Maruti Suzuki,Alto 800,220000,2013,32000
