Manufacturer,Model,Price,Year,KMS
Mercedes-Benz,A Class,2250000,2013,10000
Mercedes-Benz,A Class,2125000,2013,17458
Mercedes-Benz,A Class,1900000,2013,22000
Mercedes-Benz,A Class,2050000,2013,26896
Mercedes-Benz,A Class,2100000,2013,42000
Mercedes-Benz,A Class,1700000,2013,9660
Mercedes-Benz,A Class,2150000,2014,14900
Mercedes-Benz,A Class,2100000,2014,150000
Mercedes-Benz,A Class,2051000,2014,3300
Mercedes-Benz,A Class,2100000,2014,33000
Mercedes-Benz,A Class,2199999,2014,3510
Mercedes-Benz,A Class,2400000,2015,7350
Mercedes-Benz,A Class,2000000,2015,9800
Mercedes-Benz,A Class,2295000,2016,8000
Mercedes-Benz,A Class,2600000,2016,8500
Mercedes-Benz,B Class,1551000,2012,28000
Mercedes-Benz,B Class,1400000,2012,34000
Mercedes-Benz,B Class,1900000,2013,27400
Mercedes-Benz,B Class,1750000,2013,37000
Mercedes-Benz,B Class,1725000,2013,38773
Mercedes-Benz,B Class,2150000,2013,40187
Mercedes-Benz,C Class,1585000,2010,28000
Mercedes-Benz,C Class,1390000,2010,30000
Mercedes-Benz,C Class,1299999,2010,34323
Mercedes-Benz,C Class,1375000,2010,35000
Mercedes-Benz,C Class,1195000,2010,35632
Mercedes-Benz,C Class,1575000,2010,44500
Mercedes-Benz,C Class,1300000,2010,45000
Mercedes-Benz,C Class,1290000,2010,47284
Mercedes-Benz,C Class,1500000,2010,48000
Mercedes-Benz,C Class,1195000,2010,49000
Mercedes-Benz,C Class,1250000,2010,50000
Mercedes-Benz,C Class,1199000,2010,55000
Mercedes-Benz,C Class,1180860,2010,65000
Mercedes-Benz,C Class,1200000,2010,65000
Mercedes-Benz,C Class,1450000,2010,65000
Mercedes-Benz,C Class,1250000,2010,65170
Mercedes-Benz,C Class,1500000,2010,68000
Mercedes-Benz,C Class,1300000,2010,75000
Mercedes-Benz,C Class,1325000,2010,99480
Mercedes-Benz,C Class,1600000,2011,32001
Mercedes-Benz,C Class,1550000,2011,35000
Mercedes-Benz,C Class,1800000,2011,36000
Mercedes-Benz,C Class,1475000,2011,42551
Mercedes-Benz,C Class,1600000,2011,43000
Mercedes-Benz,C Class,1600000,2011,50000
Mercedes-Benz,C Class,1699999,2011,50000
Mercedes-Benz,C Class,1560000,2011,52000
Mercedes-Benz,C Class,1750000,2011,59000
Mercedes-Benz,C Class,1550000,2011,60000
Mercedes-Benz,C Class,1425111,2011,60120
Mercedes-Benz,C Class,1700000,2011,61000
Mercedes-Benz,C Class,1550000,2011,61321
Mercedes-Benz,C Class,1530000,2011,62000
Mercedes-Benz,C Class,1550000,2011,62000
Mercedes-Benz,C Class,1475000,2011,69000
Mercedes-Benz,C Class,1599000,2011,70000
Mercedes-Benz,C Class,1565000,2011,75000
Mercedes-Benz,C Class,1850000,2011,90054
Mercedes-Benz,C Class,1825000,2012,25000
Mercedes-Benz,C Class,2050000,2012,25001
Mercedes-Benz,C Class,1900000,2012,26000
Mercedes-Benz,C Class,2200000,2012,30000
Mercedes-Benz,C Class,1840000,2012,31000
Mercedes-Benz,C Class,2200000,2012,33000
Mercedes-Benz,C Class,1750000,2012,34000
Mercedes-Benz,C Class,1725000,2012,35000
Mercedes-Benz,C Class,1750000,2012,35000
Mercedes-Benz,C Class,1650000,2012,40000
Mercedes-Benz,C Class,1875000,2012,47000
Mercedes-Benz,C Class,1841000,2012,48000
Mercedes-Benz,C Class,2100000,2012,51000
Mercedes-Benz,C Class,1999999,2012,55000
Mercedes-Benz,C Class,1821000,2012,57000
Mercedes-Benz,C Class,1750000,2012,62000
Mercedes-Benz,C Class,1950000,2012,68000
Mercedes-Benz,C Class,2099999,2012,68000
Mercedes-Benz,C Class,1875000,2012,80000
Mercedes-Benz,C Class,2500000,2013,17000
Mercedes-Benz,C Class,2100000,2013,19000
Mercedes-Benz,C Class,2250000,2013,22000
Mercedes-Benz,C Class,2210000,2013,22500
Mercedes-Benz,C Class,2700000,2013,24500
Mercedes-Benz,C Class,2450000,2013,25000
Mercedes-Benz,C Class,2200000,2013,26000
Mercedes-Benz,C Class,2275000,2013,26000
Mercedes-Benz,C Class,2199000,2013,27000
Mercedes-Benz,C Class,2300000,2013,27000
Mercedes-Benz,C Class,2350000,2013,27000
Mercedes-Benz,C Class,2200000,2013,28125
Mercedes-Benz,C Class,2400000,2013,37000
Mercedes-Benz,C Class,2475000,2013,40000
Mercedes-Benz,C Class,2150000,2013,45000
Mercedes-Benz,C Class,2125000,2013,46000
Mercedes-Benz,C Class,2150000,2013,46000
Mercedes-Benz,C Class,2200000,2013,46000
Mercedes-Benz,C Class,2100000,2013,47000
Mercedes-Benz,C Class,2400000,2013,47000
Mercedes-Benz,C Class,2400000,2013,49000
Mercedes-Benz,C Class,2400000,2013,58000
Mercedes-Benz,C Class,2500000,2013,9000
Mercedes-Benz,C Class,2975000,2014,15000
Mercedes-Benz,C Class,3100000,2014,17000
Mercedes-Benz,C Class,2495000,2014,18000
Mercedes-Benz,C Class,2875000,2014,32000
Mercedes-Benz,C Class,2800000,2014,34000
Mercedes-Benz,C Class,2550000,2014,35000
Mercedes-Benz,C Class,2700000,2014,35000
Mercedes-Benz,C Class,2700000,2014,38000
Mercedes-Benz,C Class,2645000,2014,4500
Mercedes-Benz,C Class,2700000,2014,9000
Mercedes-Benz,C Class,3900000,2015,11600
Mercedes-Benz,C Class,3800000,2015,12500
