Manufacturer,Model,Price,Year,KMS
Mitsubishi,Pajero Sport,1295000,2012,35000
Mitsubishi,Pajero Sport,1651000,2012,40000
Mitsubishi,Pajero Sport,1500000,2013,44000
Mitsubishi,Pajero Sport,1475000,2013,62000
Mitsubishi,Pajero Sport,1400000,2013,69000
Mitsubishi,Pajero Sport,1850000,2013,96000
Mitsubishi,Pajero Sport,2225000,2014,31000
Mitsubishi,Pajero Sport,2300000,2014,51000
Mitsubishi,Pajero Sport,2050000,2015,10000
Mitsubishi,Pajero Sport,2050000,2015,9000
Mitsubishi,Pajero Sport,2500000,2016,1500
