Manufacturer,Model,Price,Year,KMS
Nissan,Micra Active,265000,2011,45000
Nissan,Micra Active,300000,2013,15000
Nissan,Micra Active,299000,2013,50000
Nissan,Micra Active,375000,2015,14000
Nissan,Micra Active,550000,2016,1300
Nissan,Micra,211000,2010,35000
Nissan,Micra,215000,2010,37800
Nissan,Micra,215000,2010,40000
Nissan,Micra,215000,2010,48000
Nissan,Micra,265000,2010,48000
Nissan,Micra,235000,2010,51000
Nissan,Micra,295000,2010,61000
Nissan,Micra,220000,2010,66135
Nissan,Micra,300000,2011,118000
Nissan,Micra,360000,2011,21000
Nissan,Micra,365000,2011,25000
Nissan,Micra,325000,2011,29700
Nissan,Micra,310000,2011,34000
Nissan,Micra,330000,2011,37000
Nissan,Micra,300000,2011,37370
Nissan,Micra,330000,2011,42514
Nissan,Micra,275000,2011,44000
Nissan,Micra,295000,2011,44000
Nissan,Micra,390000,2011,46000
Nissan,Micra,265000,2011,48000
Nissan,Micra,285000,2011,48000
Nissan,Micra,345000,2011,48000
Nissan,Micra,299000,2011,50000
Nissan,Micra,350000,2011,50000
Nissan,Micra,285000,2011,52000
Nissan,Micra,335000,2011,52000
Nissan,Micra,275000,2011,53000
Nissan,Micra,266000,2011,53500
Nissan,Micra,270000,2011,56488
Nissan,Micra,375000,2011,57000
Nissan,Micra,345000,2011,57500
Nissan,Micra,270000,2011,57869
Nissan,Micra,350000,2011,58001
Nissan,Micra,350000,2011,58600
Nissan,Micra,290000,2011,59000
Nissan,Micra,380000,2011,60000
Nissan,Micra,400000,2011,65000
Nissan,Micra,385000,2011,66000
Nissan,Micra,325000,2011,72000
Nissan,Micra,330000,2011,72000
Nissan,Micra,390000,2011,73500
Nissan,Micra,330000,2011,76000
Nissan,Micra,340000,2011,81000
Nissan,Micra,350000,2011,93000
Nissan,Micra,330000,2012,120000
Nissan,Micra,375000,2012,30000
Nissan,Micra,365000,2012,31000
Nissan,Micra,360000,2012,34000
Nissan,Micra,410000,2012,36000
Nissan,Micra,295000,2012,38000
Nissan,Micra,290000,2012,57126
Nissan,Micra,325000,2012,61000
Nissan,Micra,315000,2012,63000
Nissan,Micra,325000,2012,65000
Nissan,Micra,360000,2012,65000
Nissan,Micra,299000,2012,68000
Nissan,Micra,365000,2012,68000
Nissan,Micra,300000,2012,91000
Nissan,Micra,350000,2013,14578
