Manufacturer,Model,Price,Year,KMS
Renault,Duster,750000,2012,100000
Renault,Duster,675000,2012,112000
Renault,Duster,700000,2012,140000
Renault,Duster,650000,2012,24000
Renault,Duster,665000,2012,24000
Renault,Duster,825000,2012,32000
Renault,Duster,825000,2012,33000
Renault,Duster,830000,2012,36550
Renault,Duster,800000,2012,37000
Renault,Duster,725000,2012,38600
Renault,Duster,750000,2012,39000
Renault,Duster,700000,2012,40000
Renault,Duster,730000,2012,40000
Renault,Duster,775000,2012,43000
Renault,Duster,800000,2012,43000
Renault,Duster,759900,2012,44000
Renault,Duster,680000,2012,45000
Renault,Duster,700000,2012,47000
Renault,Duster,650000,2012,50000
Renault,Duster,700000,2012,50000
Renault,Duster,650000,2012,51000
Renault,Duster,720000,2012,52000
Renault,Duster,750000,2012,55400
Renault,Duster,800000,2012,56000
Renault,Duster,650000,2012,57000
Renault,Duster,695000,2012,59000
Renault,Duster,675000,2012,60000
Renault,Duster,699000,2012,60000
Renault,Duster,775000,2012,60000
Renault,Duster,700000,2012,62000
Renault,Duster,795000,2012,63000
Renault,Duster,650000,2012,64000
Renault,Duster,725000,2012,65000
Renault,Duster,750000,2012,65443
Renault,Duster,700000,2012,66000
Renault,Duster,775000,2012,68000
Renault,Duster,790000,2012,69000
Renault,Duster,780000,2012,71000
Renault,Duster,670000,2012,71800
Renault,Duster,760000,2012,71800
Renault,Duster,690000,2012,72000
Renault,Duster,710000,2012,72000
Renault,Duster,750000,2012,74000
Renault,Duster,800000,2012,74000
Renault,Duster,750000,2012,75000
Renault,Duster,725000,2012,80000
Renault,Duster,725000,2012,82000
Renault,Duster,775000,2012,82000
Renault,Duster,750000,2012,85000
Renault,Duster,650000,2012,90000
Renault,Duster,780000,2012,90000
Renault,Duster,820000,2012,90000
Renault,Duster,660000,2012,97000
Renault,Duster,780000,2012,98000
Renault,Duster,750000,2013,101000
Renault,Duster,650000,2013,106600
Renault,Duster,780000,2013,146000
Renault,Duster,845000,2013,16000
Renault,Duster,750000,2013,18000
Renault,Duster,699999,2013,19000
Renault,Duster,775000,2013,21000
Renault,Duster,750000,2013,22000
Renault,Duster,775000,2013,22000
