Manufacturer,Model,Price,Year,KMS
Toyota,Camry,851000,2010,70000
Toyota,Camry,851000,2010,71000
Toyota,Camry,650000,2010,83000
Toyota,Camry,925000,2011,67000
Toyota,Camry,1600000,2012,18500
Toyota,Corolla Altis,600000,2010,100000
Toyota,Corolla Altis,600000,2010,132392
Toyota,Corolla Altis,600000,2010,135000
Toyota,Corolla Altis,525000,2010,24000
Toyota,Corolla Altis,620000,2010,26000
Toyota,Corolla Altis,675000,2010,27000
Toyota,Corolla Altis,600000,2010,38000
Toyota,Corolla Altis,500000,2010,42000
Toyota,Corolla Altis,650000,2010,42000
Toyota,Corolla Altis,535000,2010,46000
Toyota,Corolla Altis,625000,2010,49000
Toyota,Corolla Altis,500000,2010,50000
Toyota,Corolla Altis,550000,2010,50000
Toyota,Corolla Altis,545000,2010,55000
Toyota,Corolla Altis,611000,2010,55000
Toyota,Corolla Altis,475000,2010,57200
Toyota,Corolla Altis,475000,2010,58000
Toyota,Corolla Altis,650000,2010,58000
Toyota,Corolla Altis,640000,2010,59000
Toyota,Corolla Altis,500000,2010,60000
Toyota,Corolla Altis,550000,2010,60000
Toyota,Corolla Altis,670000,2010,60000
Toyota,Corolla Altis,679999,2010,60000
Toyota,Corolla Altis,680000,2010,60000
Toyota,Corolla Altis,699995,2010,66671
Toyota,Corolla Altis,525000,2010,67000
Toyota,Corolla Altis,515000,2010,68000
Toyota,Corolla Altis,650000,2010,68000
Toyota,Corolla Altis,500000,2010,70000
Toyota,Corolla Altis,600000,2010,71000
Toyota,Corolla Altis,635000,2010,73000
Toyota,Corolla Altis,600000,2010,73800
Toyota,Corolla Altis,485000,2010,75000
Toyota,Corolla Altis,625000,2010,75000
Toyota,Corolla Altis,690000,2010,76000
Toyota,Corolla Altis,500000,2010,77002
Toyota,Corolla Altis,700000,2010,80000
Toyota,Corolla Altis,495000,2010,82691
Toyota,Corolla Altis,574999,2010,84000
Toyota,Corolla Altis,525000,2010,87000
Toyota,Corolla Altis,610000,2011,40000
Toyota,Corolla Altis,499000,2011,41000
Toyota,Corolla Altis,675000,2011,42000
Toyota,Corolla Altis,600000,2011,43000
Toyota,Corolla Altis,590000,2011,49959
Toyota,Corolla Altis,499000,2011,55865
Toyota,Corolla Altis,550999,2011,59000
Toyota,Corolla Altis,595000,2011,59000
Toyota,Corolla Altis,580000,2011,60000
Toyota,Corolla Altis,600000,2011,62000
Toyota,Corolla Altis,780000,2011,71124
Toyota,Corolla Altis,660000,2011,72000
Toyota,Corolla Altis,650000,2011,73800
Toyota,Corolla Altis,700000,2011,81000
Toyota,Corolla Altis,560000,2011,82000
Toyota,Corolla Altis,680000,2011,82000
Toyota,Corolla Altis,690000,2011,85000
Toyota,Corolla Altis,645000,2011,88000
Toyota,Corolla Altis,700000,2011,89000
Toyota,Corolla Altis,813000,2012,28000
Toyota,Corolla Altis,760000,2012,41200
