Manufacturer,Model,Price,Year,KMS
Audi,Q3,2800000,2014,39000
Audi,A4,2400000,2013,51154
Audi,Q3,2750000,2014,73000
Audi,Q3,2600000,2014,38000
Audi,A4,2100000,2012,49000
Audi,A4,2150000,2012,12000
Audi,A6,2200000,2011,45000
Audi,A6,2250000,2010,38000
Audi,A4,2100000,2012,67000
Audi,Q5,3200000,2012,46000
Audi,A4,3600000,2015,17000
Audi,A3,2800000,2015,962
Audi,A4,2100000,2012,19000
Audi,Q3,2650000,2014,59000
Audi,A6,2400000,2010,100000
Audi,Q3,2600000,2015,21000
Audi,Q3,2600000,2013,55000
Audi,A4,2050000,2012,55000
Audi,Q5,3300000,2014,60000
Audi,A4,1425000,2010,100000
Audi,A6,4000000,2014,15000
Audi,Q7,2500000,2010,100000
Audi,Q5,3000000,2014,65000
Audi,Q7,2700000,2010,100000
Audi,A6,2700000,2012,70000
Audi,Q3,3200000,2015,34000
Audi,Q3,2500000,2015,20000
Audi,A4,1600000,2011,75000
Audi,Q5,4500000,2015,20000
Audi,Q3,2600000,2015,21000
Audi,R8,9000000,2012,9000
Audi,Q7,4080000,2014,1020
Audi,A4,2500000,2014,38000
Audi,Q3,2900000,2013,49681
Audi,Q3,2700000,2013,49000
Audi,A4,2400000,2013,23000
Audi,A4,1550000,2010,76000
Audi,A3,2450000,2014,42000
Audi,A4,1390000,2010,49000
Audi,Q5,2349000,2011,32000
Audi,Q7,4400000,2014,30000
Audi,Q5,2800001,2013,33000
Audi,Q5,3451000,2013,79000
Audi,Q3,2500000,2012,42000
Audi,A6,1999999,2011,14132
Audi,A6,2750000,2013,26000
Audi,Q7,3199999,2010,73303
Audi,A4,1449000,2010,35000
Audi,Q5,2350000,2011,117000
Audi,Q5,2500000,2011,45000
Audi,Q5,2375000,2011,116000
Audi,A6,2750000,2013,54000
Audi,A4,2550000,2014,47010
Audi,A4,3665000,2015,12000
Audi,Q7,4500000,2013,41000
Audi,Q7,3500000,2011,42744
Audi,A4,1550000,2011,80000
Audi,Q3,2800000,2014,38312
Audi,Q7,4500000,2013,38000
Audi,Q5,3200000,2012,38000
Audi,Q5,2500000,2012,80000
Audi,Q5,2575000,2012,72001
Audi,A4,1350000,2010,42000
Audi,A6,2949999,2012,38000
Audi,A6,2900000,2013,51000
Audi,A6,2950000,2012,25000
Audi,A4,1325000,2010,78000
Audi,Q7,6200000,2014,26000
Audi,Q5,3400000,2013,71000
Audi,Q3,2875000,2014,29230
Audi,Q7,3900000,2012,58000
Audi,Q7,4490000,2013,36000
Audi,A6,2800000,2013,27000
Audi,Q5,3450000,2014,28000
Audi,A6,2748000,2012,38000
Audi,Q5,2550000,2011,38000
Audi,Q7,4000000,2012,48000
Audi,A6,1900000,2011,35000
Audi,Q3,2850000,2014,38834
Audi,A4,2650000,2014,50300
Audi,Q5,2390000,2011,47000
Audi,A4,1550000,2011,64000
Audi,Tt,3890000,2013,15000
Audi,Q5,2990000,2012,36000
Audi,A4,3690000,2015,11500
Audi,Q7,4590000,2013,46000
Audi,Q3,2400000,2012,37000
Audi,A4,2650000,2014,49000
Audi,A4,1675000,2011,57300
Audi,A6,3699000,2014,20824
Audi,A6,2800000,2013,46000
Audi,R8,7500000,2012,17000
Audi,Q3,2750000,2013,32000
Audi,Q5,2450000,2012,100000
Audi,Q5,2100000,2010,45407
Audi,A6,3575000,2014,25717
Audi,Q3,2750000,2013,26000
Audi,Q7,3500000,2011,92000
Audi,A6,3699000,2014,21000
Audi,A8 L,5200000,2011,41000
Audi,Q7,4300000,2014,39000
Audi,Q3,2700000,2014,43000
Audi,A4,2300000,2013,20000
Audi,Q3,2400000,2012,46000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,1550000,2011,80000
Audi,A4,2300000,2013,30000
Audi,Q7,4400000,2013,55000
Audi,Q5,3700000,2014,45000
Audi,A4,2525000,2014,20000
Audi,Q3,2650000,2015,35000
Audi,A3,2389999,2015,10000
Audi,A6,1600000,2010,74000
Audi,Q5,3950000,2015,7501
Audi,A4,2450000,2013,16000
Audi,A6,3800000,2015,18000
Audi,Q3,2000000,2012,55000
Audi,A4,2450000,2013,15000
Audi,A4,2600000,2014,14000
Audi,A4,2600000,2014,17000
Audi,A6,3000000,2013,12000
Audi,Q3,2100000,2013,28000
Audi,A4,1600000,2011,40000
Audi,A4,1450000,2010,46000
Audi,A6,1700000,2011,78000
Audi,Q7,3900000,2012,48000
Audi,Q3,2600000,2014,22000
Audi,Q5,2500000,2012,65000
Audi,A6,1390000,2010,77000
Audi,A4,2000000,2012,40000
Audi,A6,1400000,2010,72000
Audi,A4,2550000,2014,20000
Audi,A4,2425000,2014,36000
Audi,A6,3400000,2014,26000
Audi,A6,2800000,2012,26000
Audi,A4,2799000,2016,8000
Audi,A4,3100000,2015,10000
Audi,A4,1945000,2012,50000
Audi,A4,2250000,2013,32000
Audi,Q7,3550000,2011,48000
Audi,Q5,4100000,2015,5000
Audi,A4,3000000,2016,2000
Audi,Q5,3600000,2014,45000
Audi,A6,3100000,2013,34000
Audi,Q5,2475000,2011,50000
Audi,Q5,2150000,2011,60000
Audi,A6,1725000,2011,71000
Audi,Q5,2450000,2011,25000
Audi,A6,2899999,2013,54999
Audi,A6,2600000,2012,23000
Audi,Q7,5450000,2015,21000
Audi,A6,1425000,2010,70000
Audi,A4,1551000,2011,55000
Audi,A3,2421000,2015,13000
Audi,A4,1995000,2012,38000
Audi,Q7,3925000,2011,25000
Audi,Q7,4400000,2012,26000
Audi,Q5,4250000,2015,15000
Audi,A3,5000000,2016,40000
Audi,Q5,2150000,2010,23000
Audi,A4,1600000,2010,59341
Audi,A6,2700000,2012,25000
Audi,A4,2950000,2016,8872
Audi,Q5,1899999,2010,45000
Audi,A6,2000000,2010,75000
Audi,Q7,3585000,2012,28000
Audi,Q7,3500000,2011,68000
Audi,Q5,2600000,2011,42000
Audi,A8 L,6500000,2013,19000
Audi,A4,3100000,2015,9000
Audi,A4,2999999,2015,9000
Audi,A6,3100000,2013,40000
Audi,A6,2350000,2011,38000
Audi,A4,1575000,2011,60000
Audi,Q3,2400000,2012,32000
Audi,A4,2350000,2013,16000
Audi,Q5,3700000,2014,30000
Audi,A6,2850000,2012,12500
Audi,Q7,3299000,2011,57000
Audi,A3,2400000,2015,5300
Audi,A6,2900000,2012,7000
Audi,Q5,2350000,2011,75000
Audi,A4,1550000,2011,48000
Audi,A6,2850000,2012,23000
