Manufacturer,Model,Price,Year,KMS
BMW,3 Series,1500000,2011,130000
BMW,5 Series,2000000,2010,39000
BMW,X1,1950000,2013,53000
BMW,X1,2200000,2013,51000
BMW,X3,3000000,2013,70000
BMW,5 Series,2100000,2010,60000
BMW,X1,1900000,2013,60557
BMW,X3,5000000,2015,15000
BMW,5 Series,2250000,2010,29000
BMW,5 Series,2300000,2011,60000
BMW,X1,2500000,2014,25000
BMW,5 Series,4400000,2014,18000
BMW,X1,1750000,2012,90000
BMW,1 Series,2500000,2015,18000
BMW,5 Series,4300000,2015,15268
BMW,5 Series,4500000,2015,15230
BMW,X3,2400000,2012,31000
BMW,3 Series,3400000,2015,13500
BMW,5 Series,2370000,2010,70000
BMW,5 Series,3200000,2013,32000
BMW,X3,2600000,2012,85868
BMW,1 Series,2432000,2013,24000
BMW,X5,6000000,2015,20000
BMW,X3,3000000,2013,25000
BMW,5 Series,5200000,2016,8000
BMW,X5,5000000,2014,20000
BMW,3 Series,2800000,2013,55000
BMW,5 Series,4325000,2014,17500
BMW,X1,2350000,2014,45000
BMW,X1,1500000,2012,70000
BMW,X3,4600000,2015,18000
BMW,3 Series,3800000,2015,16000
BMW,5 Series,4200000,2015,18000
BMW,6 Series,5900000,2012,7500
BMW,X5,3800000,2012,70000
BMW,X1,1499999,2012,85000
BMW,5 Series,2500000,2011,62000
BMW,3 Series,2700000,2013,41000
BMW,3 Series,3500000,2015,11000
BMW,1 Series,2050000,2013,13000
BMW,3 Series,1250000,2010,125000
BMW,3 Series,3800000,2015,10900
BMW,3 Series,3800000,2015,10900
BMW,5 Series,2100000,2010,66000
BMW,X3,3600000,2013,30000
BMW,X3,2900000,2012,60000
BMW,3 Series,2600000,2013,28500
BMW,X3,2750000,2012,60000
BMW,X1,1600000,2012,60000
BMW,5 Series,2100000,2010,64000
BMW,1 Series,1890000,2013,15
BMW,3 Series,2700000,2013,57000
BMW,X1,1550000,2016,25000
BMW,3 Series,1475000,2011,66000
