Manufacturer,Model,Price,Year,KMS
Fiat,Linea,550000,2012,74000
Fiat,Linea,300000,2010,82000
Fiat,Punto Evo,600000,2014,36400
Fiat,Linea,400000,2012,80000
Fiat,Punto Evo,375000,2011,68878
Fiat,Punto Evo,510000,2015,33000
Fiat,Linea,287000,2010,120000
Fiat,Punto Evo,660000,2014,22000
Fiat,Linea,459500,2012,56423
Fiat,Linea,250000,2010,72000
Fiat,Linea,560000,2012,54000
Fiat,Punto Evo,230000,2011,221000
Fiat,Punto Evo,560000,2015,27000
Fiat,Linea,300000,2010,78000
Fiat,Punto Evo,520000,2014,29200
Fiat,Punto Evo,410000,2012,72000
Fiat,Punto Evo,440000,2014,36000
Fiat,Punto Evo,680000,2015,5600
Fiat,Punto Evo,230000,2010,53000
Fiat,Punto Evo,340000,2012,72000
Fiat,Punto Evo,199001,2010,28213
Fiat,Linea,245000,2010,48000
Fiat,Linea,290000,2010,67238
Fiat,Linea,365000,2011,52339
Fiat,Linea,415000,2012,62000
Fiat,Linea,325000,2011,125000
Fiat,Linea,420000,2012,60000
Fiat,Linea,345000,2011,52000
Fiat,Linea,420000,2012,61000
Fiat,Linea,325000,2011,54000
Fiat,Linea,220000,2010,50000
Fiat,Punto Evo,515000,2014,14560
Fiat,Linea,454000,2012,90000
Fiat,Linea,375000,2013,79503
Fiat,Linea,475000,2013,34478
Fiat,Linea,490000,2013,39800
Fiat,Linea,375000,2013,80391
Fiat,Punto Evo,170000,2010,57000
Fiat,Linea,420000,2014,48000
Fiat,Linea,305000,2010,61000
Fiat,Linea,525000,2013,20000
Fiat,Linea,400000,2012,67000
Fiat,Punto Evo,185000,2012,75600
Fiat,Linea,475000,2013,35000
Fiat,Punto Evo,215000,2010,68000
Fiat,Punto Evo,160000,2010,55000
