Manufacturer,Model,Price,Year,KMS
Ford,Figo,459000,2014,9000
Ford,Figo,288000,2010,70000
Ford,Figo,275000,2010,54000
Ford,Figo,290000,2010,78000
Ford,Ecosport,730000,2016,49000
Ford,Figo,275000,2010,33502
Ford,Figo,420000,2015,40800
Ford,Ecosport,795000,2014,17600
Ford,Ecosport,800000,2014,48200
Ford,Figo,300000,2011,115000
Ford,Figo,350000,2012,90000
Ford,Figo,390000,2013,43200
Ford,Figo,380000,2013,55000
Ford,Figo,425000,2014,20000
Ford,Figo,310000,2011,60000
Ford,Figo,340000,2012,130000
Ford,Figo,300000,2011,47500
Ford,Ecosport,725000,2013,32000
Ford,Figo,300000,2011,110000
Ford,Figo,500000,2015,7000
Ford,Ecosport,825000,2015,7700
Ford,Figo,405000,2013,57000
Ford,Ecosport,800000,2014,37000
Ford,Figo,380000,2013,100000
Ford,Figo,365000,2015,12000
Ford,Figo,290000,2011,100000
Ford,Figo,450000,2014,45000
Ford,Figo,450000,2015,5500
Ford,Figo,450000,2014,12500
Ford,Ecosport,1010000,2016,11500
Ford,Ecosport,730000,2013,21000
Ford,Figo,450000,2014,12485
Ford,Ecosport,1062500,2016,5700
Ford,Figo,350000,2012,60000
Ford,Figo,350000,2012,50000
Ford,Endeavour,1065000,2011,48000
Ford,Figo,400000,2013,42000
Ford,Ecosport,855000,2015,22000
Ford,Figo,309000,2011,78000
Ford,Figo,275000,2010,29000
Ford,Ecosport,725000,2013,45100
Ford,Figo,269000,2010,61200
Ford,Figo,290000,2011,77279
Ford,Figo,400000,2013,46000
Ford,Figo,275000,2010,84500
Ford,Ecosport,800000,2014,54000
Ford,Figo,425000,2014,87000
Ford,Ecosport,730000,2013,52000
Ford,Figo,345000,2012,100000
Ford,Figo,290000,2010,77757
Ford,Ecosport,730000,2013,40000
Ford,Figo,435000,2014,38000
Ford,Ecosport,700000,2013,68000
Ford,Figo,350000,2012,82000
Ford,Figo,275000,2010,65000
Ford,Figo,435000,2014,37000
Ford,Figo,435000,2014,38000
Ford,Figo,280000,2010,88000
Ford,Figo,345000,2012,100000
Ford,Figo,290000,2010,76000
Ford,Ecosport,800000,2014,45000
Ford,Figo,300000,2011,85000
Ford,Figo,350000,2012,67000
Ford,Endeavour,1100000,2011,90000
Ford,Endeavour,1600000,2014,21000
Ford,Figo,310000,2011,80000
Ford,Figo,435000,2014,45000
Ford,Figo,435000,2014,45000
Ford,Figo,350000,2012,85050
Ford,Figo,305000,2011,58000
Ford,Figo,295000,2011,62000
Ford,Figo,420000,2014,39000
Ford,Figo,325000,2012,53000
Ford,Endeavour,895000,2010,92000
Ford,Figo,350000,2012,43500
Ford,Figo,310000,2011,89000
Ford,Figo,290000,2011,85000
Ford,Figo,315000,2011,62
Ford,Ecosport,1050000,2016,3500
Ford,Figo,380000,2013,30000
Ford,Figo,275000,2010,75000
Ford,Figo,275000,2010,97000
Ford,Figo,287000,2010,54000
Ford,Figo,365000,2013,39123
Ford,Figo,456000,2015,63000
Ford,Figo,300000,2011,62000
Ford,Ecosport,875000,2015,11000
Ford,Figo,345000,2012,33500
Ford,Figo,275000,2010,49875
Ford,Ecosport,725000,2013,25000
Ford,Figo,350000,2012,50200
Ford,Figo,450000,2014,15700
Ford,Figo,280000,2010,75000
Ford,Endeavour,875000,2010,67000
Ford,Figo,350000,2012,33000
Ford,Figo,445000,2014,40600
Ford,Figo,350000,2012,43000
Ford,Figo,280000,2010,80000
Ford,Figo,295000,2011,84250
Ford,Figo,390000,2013,16700
Ford,Figo,270000,2010,67028
Ford,Figo,280000,2010,74000
Ford,Figo,275000,2010,63000
Ford,Figo,320000,2012,58270
Ford,Figo,370000,2013,43000
Ford,Ecosport,699999,2013,13000
Ford,Figo,395000,2013,29000
Ford,Figo,290000,2010,80000
Ford,Figo,280000,2010,54000
Ford,Figo,290000,2010,42250
Ford,Figo,350000,2012,51000
Ford,Ecosport,800000,2016,34300
Ford,Ecosport,699999,2013,48000
Ford,Figo,290000,2010,83000
Ford,Figo,345000,2012,76000
Ford,Endeavour,900000,2010,84555
Ford,Figo,395000,2013,45000
Ford,Endeavour,835000,2010,84500
Ford,Figo,350000,2012,56000
Ford,Figo,290000,2010,86000
Ford,Figo,390000,2013,640000
Ford,Endeavour,900000,2010,84256
Ford,Figo,310000,2011,105000
Ford,Figo,275000,2010,82568
Ford,Ecosport,870000,2015,12250
Ford,Ecosport,700000,2013,76306
Ford,Figo,350000,2012,10776
Ford,Figo,350000,2012,60000
Ford,Figo,440000,2014,12000
Ford,Figo,350000,2012,60000
Ford,Ecosport,849000,2015,29210
Ford,Figo,275000,2010,8600
Ford,Figo,450000,2014,5000
Ford,Figo,370000,2013,20574
Ford,Ecosport,849000,2015,29000
Ford,Figo,325000,2012,56667
Ford,Figo,345000,2012,59000
Ford,Figo,220000,2016,67000
Ford,Figo,350000,2012,32000
Ford,Ecosport,699000,2013,32000
Ford,Figo,325000,2012,56667
Ford,Figo,370000,2013,20574
Ford,Ecosport,715000,2013,68000
Ford,Figo,395000,2013,29000
Ford,Endeavour,850000,2010,72500
Ford,Ecosport,810000,2014,10600
Ford,Endeavour,850000,2010,94000
Ford,Ecosport,695000,2013,34666
Ford,Ecosport,800000,2014,26000
Ford,Endeavour,1125000,2012,80000
Ford,Endeavour,875000,2010,105000
Ford,Endeavour,1230000,2013,650000
Ford,Figo,269000,2010,46400
Ford,Endeavour,1075000,2011,49000
Ford,Endeavour,1175000,2012,67000
Ford,Ecosport,845000,2015,17000
Ford,Ecosport,693000,2013,53000
Ford,Ecosport,800000,2014,1200
Ford,Figo,345000,2012,67140
Ford,Ecosport,785000,2014,23000
Ford,Ecosport,875000,2015,10000
Ford,Endeavour,911000,2011,79000
Ford,Figo,350000,2016,34000
Ford,Endeavour,980000,2012,77092
Ford,Figo,315000,2012,70000
Ford,Ecosport,785000,2014,49000
Ford,Figo,335000,2012,37000
Ford,Endeavour,825000,2010,73000
Ford,Figo,295000,2011,37171
Ford,Endeavour,1200000,2012,82000
Ford,Endeavour,875000,2010,86000
Ford,Endeavour,850000,2010,50000
Ford,Figo,270000,2010,32599
Ford,Ecosport,715000,2013,68000
Ford,Figo,270000,2010,16500
Ford,Endeavour,1075000,2011,50000
Ford,Endeavour,806666,2010,86668
Ford,Ecosport,810000,2014,46000
Ford,Figo,300000,2011,67000
Ford,Ecosport,860000,2015,11000
Ford,Figo,300000,2016,69000
Ford,Figo,315000,2012,45500
Ford,Figo,305000,2011,41500
Ford,Ecosport,730000,2013,320000
Ford,Ecosport,1050000,2016,5650
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,1230000,2013,650000
Ford,Endeavour,925000,2010,51000
Ford,Endeavour,1100000,2012,73000
Ford,Figo,255000,2016,52000
Ford,Ecosport,850000,2015,15000
Ford,Endeavour,950000,2011,65000
Ford,Ecosport,800000,2014,21000
Ford,Ecosport,800000,2012,38000
Ford,Endeavour,925000,2010,54000
Ford,Ecosport,815000,2014,31000
Ford,Ecosport,875000,2015,12000
Ford,Figo,465000,2015,16552
Ford,Ecosport,725000,2013,35500
Ford,Figo,390000,2013,45000
Ford,Endeavour,1070000,2016,95000
Ford,Ecosport,890000,2015,19500
Ford,Figo,320000,2012,50000
Ford,Endeavour,1125000,2012,72000
Ford,Endeavour,1025000,2012,49367
Ford,Ecosport,825000,2015,13500
Ford,Ecosport,730000,2013,22200
Ford,Figo,340000,2012,39000
Ford,Ecosport,875000,2015,12500
Ford,Figo,325000,2012,41000
Ford,Ecosport,800000,2014,28000
Ford,Ecosport,725000,2013,70266
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Figo,390000,2013,61000
Ford,Ecosport,800000,2014,52000
Ford,Figo,380000,2013,49000
Ford,Endeavour,895000,2010,70000
Ford,Ecosport,725000,2013,22000
Ford,Figo,285000,2010,66600
Ford,Figo,365000,2013,65000
Ford,Endeavour,1090000,2012,65000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
Ford,Endeavour,1070000,2016,95000
