Manufacturer,Model,Price,Year,KMS
Honda,City,640000,2013,78000
Honda,City,975000,2015,3779
Honda,City,925000,2015,3000
Honda,Brio,375000,2012,44000
Honda,Amaze,550000,2013,55000
Honda,Brio,379000,2012,52000
Honda,City,545000,2011,61000
Honda,Amaze,530000,2013,74000
Honda,City,910000,2014,46000
Honda,Brio,375000,2011,45000
Honda,City,470000,2010,64100
Honda,Jazz,755000,2015,14250
Honda,Brio,525000,2015,2700
Honda,City,850000,2014,59700
Honda,City,470000,2010,33000
Honda,Jazz,730000,2016,10954
Honda,City,975000,2015,32250
Honda,Jazz,430000,2012,105745
Honda,City,900000,2015,15000
Honda,Amaze,550000,2013,10000
Honda,Brio,375000,2012,32000
Honda,Brio,440000,2014,40000
Honda,Amaze,700000,2016,22052
Honda,Brio,450000,2014,22000
Honda,Mobilio,760000,2014,48381
Honda,Amaze,640000,2015,7600
Honda,Amaze,750000,2016,5000
Honda,Mobilio,800000,2014,20000
Honda,Jazz,650000,2016,3600
Honda,Amaze,550000,2013,1700
Honda,Amaze,630000,2015,14800
Honda,Brio,425000,2013,11000
Honda,Brio,415000,2013,12000
Honda,City,875000,2014,35000
Honda,City,875000,2014,35000
Honda,City,900000,2014,36000
Honda,City,900000,2014,42000
Honda,Amaze,525000,2013,50000
Honda,Amaze,515000,2013,45600
Honda,Mobilio,750000,2014,43000
Honda,City,685000,2013,26000
Honda,City,595000,2012,47000
Honda,Amaze,550000,2013,74000
Honda,City,480000,2010,90000
Honda,City,985000,2015,5000
Honda,City,895000,2014,55000
Honda,Amaze,550000,2014,33000
Honda,Amaze,550000,2014,24
Honda,Brio,410000,2013,6000
Honda,City,545000,2011,57000
Honda,Accord,845000,2011,80000
Honda,Jazz,725000,2015,7000
Honda,Brio,410000,2013,33089
Honda,Jazz,475000,2012,39000
Honda,Brio,410000,2013,33089
Honda,Amaze,550000,2013,23000
Honda,Jazz,725000,2015,7000
Honda,Jazz,375000,2011,130000
Honda,Brio,385000,2013,37500
Honda,Brio,425000,2013,5000
Honda,City,595000,2012,47000
Honda,City,545000,2011,50100
Honda,City,900000,2015,9500
Honda,Accord,845000,2011,80000
Honda,Amaze,525000,2013,67000
Honda,Brio,455000,2015,15500
Honda,Amaze,565000,2014,55000
Honda,Brio,490000,2015,5000
Honda,City,545000,2011,57000
Honda,City,900000,2015,9500
Honda,Amaze,550000,2013,23000
Honda,City,850000,2014,26000
Honda,City,540000,2016,36000
Honda,City,525000,2011,100000
Honda,Brio,500000,2015,5000
Honda,City,650000,2013,15000
Honda,Brio,390000,2012,33000
Honda,Amaze,580000,2014,47000
Honda,Amaze,550000,2014,18000
Honda,Amaze,675000,2016,2500
Honda,City,685000,2013,29000
Honda,City,600000,2012,81000
Honda,Mobilio,750000,2015,7400
Honda,City,1000000,2015,1600
Honda,Mobilio,785000,2015,15000
Honda,City,560000,2016,43000
Honda,Mobilio,775000,2015,14578
Honda,City,540000,2011,35000
Honda,Mobilio,850000,2015,9450
Honda,Amaze,550000,2013,45000
Honda,Amaze,550000,2014,14000
Honda,Amaze,570000,2015,4500
Honda,City,900000,2014,38000
Honda,Brio,400000,2013,20000
Honda,City,515000,2011,52000
Honda,Amaze,650000,2015,2000
Honda,Brio,410000,2013,33089
Honda,Brio,410000,2013,33089
Honda,Brio,410000,2013,33089
Honda,Brio,410000,2013,33089
Honda,City,665000,2013,28000
Honda,City,580000,2012,93700
Honda,City,680000,2013,32000
Honda,City,895000,2014,59000
Honda,City,580000,2012,93600
Honda,City,899999,2015,17000
Honda,City,530000,2011,32200
Honda,Brio,380000,2012,40
Honda,City,470000,2010,52800
Honda,Amaze,540000,2013,43000
Honda,Jazz,375000,2010,80400
Honda,Amaze,540000,2013,43000
Honda,Amaze,540000,2013,43000
Honda,City,1220000,2016,4000
Honda,City,855000,2014,70000
Honda,Amaze,650000,2015,10500
Honda,Brio,425000,2014,11500
Honda,City,850000,2014,31496
Honda,Accord,1625000,2013,32000
Honda,Mobilio,740000,2014,41092
Honda,City,695000,2013,47500
Honda,City,525000,2011,49600
Honda,City,540000,2011,81000
Honda,City,525000,2011,49600
Honda,Mobilio,900000,2015,21000
Honda,City,865000,2014,75823
Honda,Mobilio,775000,2015,67000
Honda,Jazz,950000,2016,9000
Honda,City,880000,2014,49000
Honda,Brio,369000,2012,14300
Honda,City,860000,2014,69000
Honda,Mobilio,800000,2014,26000
Honda,City,142000,2017,31250
Honda,Brio,380000,2013,41000
Honda,Mobilio,650000,2016,2000
Honda,Jazz,371000,2013,42000
Honda,City,850000,2014,21000
Honda,City,565000,2012,20000
Honda,Amaze,621000,2016,1000
Honda,Jazz,350000,2010,42000
Honda,Amaze,535000,2014,36000
Honda,Brio,320000,2011,27000
Honda,City,850000,2014,38000
Honda,Brio,400999,2013,37000
Honda,Amaze,620000,2016,2000
Honda,Amaze,620000,2016,2000
Honda,City,875000,2014,13000
Honda,City,525001,2011,35000
Honda,Jazz,650000,2016,7300
Honda,Accord,775999,2011,29000
Honda,City,600999,2012,40000
Honda,City,600999,2012,40000
Honda,City,475000,2010,54000
Honda,Accord,945000,2012,72000
Honda,Amaze,550000,2013,54000
Honda,Brio,451000,2014,12000
Honda,Amaze,550000,2013,23000
Honda,Jazz,400000,2012,40000
Honda,Amaze,550000,2013,34000
Honda,City,675000,2013,55000
Honda,City,460000,2010,72075
Honda,Mobilio,755000,2014,52000
Honda,City,525000,2011,42000
