Manufacturer,Model,Price,Year,KMS
Hyundai,Eon,265000,2012,68000
Hyundai,Santa Fe,2250000,2014,25000
Hyundai,Eon,350000,2015,4500
Hyundai,I10,400000,2014,27000
Hyundai,Eon,345000,2015,13227
Hyundai,Eon,415000,2016,4000
Hyundai,Verna,730000,2013,44000
Hyundai,Grand I10,525000,2016,27000
Hyundai,I10,315000,2016,71369
Hyundai,Verna,385000,2010,68000
Hyundai,Xcent,700000,2015,14500
Hyundai,I10,340000,2012,19500
Hyundai,Elantra,1350000,2015,6630
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Grand I10,465000,2013,7000
Hyundai,Santa Fe,2400000,2014,82000
Hyundai,Eon,265000,2012,40500
Hyundai,Verna,605000,2012,30000
Hyundai,I10,445000,2015,8000
Hyundai,Xcent,550000,2014,25672
Hyundai,Xcent,535000,2014,45371
Hyundai,I10,410008,2014,19000
Hyundai,Xcent,550000,2014,18696
Hyundai,Xcent,625000,2014,36852
Hyundai,I10,260000,2016,52000
Hyundai,Verna,930000,2015,18561
Hyundai,Eon,340000,2015,31000
Hyundai,I10,296000,2011,73000
Hyundai,Eon,285000,2014,21000
Hyundai,Eon,285000,2014,21000
Hyundai,Elite I20,425000,2012,56000
Hyundai,Xcent,700000,2015,30500
Hyundai,Verna,710000,2013,19000
Hyundai,Eon,285000,2016,33860
Hyundai,Verna,970000,2015,9118
Hyundai,Verna,950000,2015,22000
Hyundai,Santa Fe,1649999,2012,27900
Hyundai,I10,370000,2014,37000
Hyundai,Grand I10,500000,2015,20000
Hyundai,Elite I20,170000,2011,70000
Hyundai,Verna,550000,2011,56000
Hyundai,I10,370000,2013,20500
Hyundai,Verna,700000,2013,33000
Hyundai,Santa Fe,1650000,2012,45000
Hyundai,Verna,750000,2013,37000
Hyundai,Verna,800000,2014,13000
Hyundai,Eon,220000,2011,49700
Hyundai,Grand I10,480000,2015,22000
Hyundai,Santa Fe,2325000,2014,24000
Hyundai,I10,339000,2012,44000
Hyundai,Elantra,1100000,2012,78600
Hyundai,Verna,725000,2013,50100
Hyundai,Xcent,585000,2016,18000
Hyundai,Elantra,1400000,2014,16300
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Santa Fe,1350000,2011,157000
Hyundai,Elite I20,735000,2015,22000
Hyundai,Eon,275000,2014,6000
Hyundai,Verna,825000,2016,35000
Hyundai,I10,380000,2014,25000
