Manufacturer,Model,Price,Year,KMS
Mahindra,Thar,780000,2014,26500
Mahindra,Xuv500,1050000,2013,49000
Mahindra,Xylo,550000,2010,95000
Mahindra,Scorpio,590000,2010,81000
Mahindra,Thar,1035000,2015,3000
Mahindra,Scorpio,595000,2010,88000
Mahindra,Scorpio,595000,2010,88000
Mahindra,Xuv500,1100000,2013,65000
Mahindra,Xylo,550000,2010,69000
Mahindra,Verito,250000,2010,200000
Mahindra,Verito,365000,2011,47000
Mahindra,Xuv500,900000,2012,170000
Mahindra,Scorpio,665000,2012,65050
Mahindra,Xylo,330000,2010,85000
Mahindra,Scorpio,620000,2010,62000
Mahindra,Scorpio,979000,2014,34209
Mahindra,Bolero,550000,2012,85000
Mahindra,Xuv500,1350000,2016,6600
Mahindra,Xuv500,1465000,2015,8800
Mahindra,Xylo,570000,2014,77000
Mahindra,Xuv500,850000,2011,85000
Mahindra,Xuv500,1110000,2013,17000
Mahindra,Bolero,620000,2013,79000
Mahindra,Bolero,680000,2014,27000
Mahindra,Xylo,540000,2010,69361
Mahindra,Scorpio,650000,2012,100000
Mahindra,Verito Vibe Cs,390000,2013,15000
Mahindra,Thar,765000,2014,30000
Mahindra,Xylo,490000,2010,93000
Mahindra,Xylo,500000,2010,80000
Mahindra,Xylo,460000,2010,114000
Mahindra,Verito,450000,2015,30000
Mahindra,Xylo,515000,2010,72000
Mahindra,Thar,575000,2012,34000
Mahindra,Xuv500,850000,2011,120000
Mahindra,Thar,35000,2015,2
Mahindra,Verito,360000,2013,127000
Mahindra,Xylo,450000,2011,96000
Mahindra,Xylo,490000,2011,61000
Mahindra,Thar,800000,2013,33000
Mahindra,Xuv500,875000,2011,87000
Mahindra,Scorpio,1025000,2014,40000
Mahindra,Bolero,525000,2012,70000
Mahindra,Xylo,405000,2010,72900
Mahindra,Verito,490000,2013,60000
Mahindra,Verito,140000,2010,370000
Mahindra,Xylo,475000,2010,77500
Mahindra,Verito,410000,2015,58000
Mahindra,Xylo,540000,2010,67000
Mahindra,Xuv500,875000,2011,72000
Mahindra,Verito,575000,2015,48000
Mahindra,Verito Vibe Cs,455000,2015,28000
Mahindra,Scorpio,680000,2012,70000
Mahindra,Scorpio,620000,2010,100000
Mahindra,Xylo,485000,2010,99999
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
Mahindra,Xylo,550000,2010,69000
