Manufacturer,Model,Price,Year,KMS
Toyota,Corolla Altis,1550000,2014,44195
Toyota,Fortuner,2044000,2013,118000
Toyota,Fortuner,1850000,2012,71000
Toyota,Corolla Altis,1150000,2014,33200
Toyota,Etios Liva,414000,2012,114900
Toyota,Corolla Altis,760000,2012,41200
Toyota,Etios Liva,540000,2015,20000
Toyota,Etios Liva,550000,2015,50000
Toyota,Corolla Altis,1100000,2014,100000
Toyota,Fortuner,2149000,2013,78000
Toyota,Corolla Altis,650000,2016,50000
Toyota,Camry,1600000,2012,18500
Toyota,Etios Liva,429000,2012,114600
Toyota,Fortuner,2150000,2013,77000
Toyota,Fortuner,1850000,2012,74000
Toyota,Camry,1600000,2012,18500
Toyota,Fortuner,1850000,2012,69000
Toyota,Etios Liva,595000,2014,38000
Toyota,Land Cruiser Prado,4800000,2011,73000
Toyota,Etios Liva,640000,2016,4590
Toyota,Land Cruiser Prado,3600000,2010,147000
Toyota,Corolla Altis,1100000,2014,30000
Toyota,Etios Liva,570000,2015,50000
Toyota,Etios Liva,510000,2014,49850
Toyota,Etios Liva,625000,2015,10560
Toyota,Fortuner,1275000,2010,86400
Toyota,Fortuner,1800000,2012,68000
Toyota,Etios Liva,580000,2015,51000
Toyota,Corolla Altis,1450000,2015,7100
Toyota,Etios Liva,555000,2016,10
Toyota,Fortuner,1300000,2010,82000
Toyota,Fortuner,2400000,2014,40000
Toyota,Etios Liva,445000,2012,42000
Toyota,Fortuner,2150000,2013,115000
Toyota,Corolla Altis,550000,2010,60000
Toyota,Etios Liva,800000,2016,2500
Toyota,Etios Liva,410000,2012,90000
Toyota,Fortuner,2500000,2015,41000
Toyota,Fortuner,1390000,2011,80000
Toyota,Etios Liva,575000,2014,18000
Toyota,Fortuner,2700000,2015,17300
Toyota,Fortuner,1390000,2011,80000
Toyota,Fortuner,3000000,2016,36000
Toyota,Fortuner,1800000,2016,153033
Toyota,Corolla Altis,600000,2010,100000
Toyota,Etios Liva,400000,2012,50500
Toyota,Etios Liva,400000,2014,8000
Toyota,Etios Liva,400000,2012,9200
Toyota,Fortuner,2300001,2014,45000
Toyota,Corolla Altis,1500000,2015,2000
Toyota,Etios Liva,425000,2012,64000
Toyota,Fortuner,1400000,2011,165000
Toyota,Etios Liva,410000,2012,35000
Toyota,Etios Liva,590000,2014,18000
Toyota,Corolla Altis,800000,2012,61000
Toyota,Fortuner,1850000,2012,99000
Toyota,Corolla Altis,600000,2010,135000
Toyota,Etios Liva,475000,2014,20000
Toyota,Etios Liva,420000,2012,93000
Toyota,Etios Liva,425000,2012,23000
Toyota,Fortuner,1390000,2011,80000
Toyota,Fortuner,1390000,2011,80000
Toyota,Fortuner,1390000,2011,80000
Toyota,Fortuner,1390000,2011,80000
Toyota,Corolla Altis,625000,2010,75000
Toyota,Fortuner,1275000,2010,145000
Toyota,Fortuner,1470000,2011,109000
Toyota,Fortuner,2850000,2015,45000
Toyota,Fortuner,2099999,2013,120000
Toyota,Corolla Altis,635000,2010,73000
Toyota,Fortuner,1750000,2012,72000
Toyota,Etios Liva,410000,2012,71000
Toyota,Fortuner,2000000,2013,72000
Toyota,Fortuner,2650000,2016,3000
Toyota,Corolla Altis,820000,2012,76000
Toyota,Fortuner,1475000,2011,120000
Toyota,Etios Liva,550000,2014,32000
Toyota,Fortuner,2100000,2013,150000
Toyota,Fortuner,2750000,2015,30000
Toyota,Etios Liva,610000,2014,36000
Toyota,Etios Liva,410000,2012,57000
Toyota,Fortuner,1500000,2011,110000
Toyota,Fortuner,2600000,2015,77100
Toyota,Etios Liva,724000,2016,10000
Toyota,Etios Liva,500000,2013,28500
Toyota,Etios Liva,410000,2012,57000
Toyota,Corolla Altis,800000,2012,72000
Toyota,Etios Liva,450000,2013,34000
Toyota,Fortuner,1400000,2011,75000
Toyota,Fortuner,1375000,2011,65000
Toyota,Etios Liva,325000,2011,39000
Toyota,Etios Liva,450000,2013,43692
Toyota,Etios Liva,450000,2013,43692
Toyota,Fortuner,1450000,2011,55000
Toyota,Fortuner,1425000,2011,115700
Toyota,Etios Liva,400000,2012,58000
Toyota,Fortuner,1325000,2010,100000
Toyota,Corolla Altis,600000,2010,73800
Toyota,Fortuner,1390000,2011,107000
Toyota,Etios Liva,345000,2011,33325
Toyota,Fortuner,1450000,2011,112000
Toyota,Corolla Altis,680000,2011,82000
Toyota,Fortuner,1775000,2012,75000
Toyota,Fortuner,2375000,2014,29000
Toyota,Corolla Altis,550000,2010,50000
Toyota,Etios Liva,390000,2014,41412
Toyota,Fortuner,1750000,2012,39000
Toyota,Etios Liva,311000,2011,45000
Toyota,Fortuner,1425000,2011,122687
Toyota,Corolla Altis,545000,2010,55000
Toyota,Fortuner,2150000,2013,53000
Toyota,Etios Liva,405000,2012,57000
Toyota,Corolla Altis,625000,2010,49000
Toyota,Fortuner,1275000,2010,62486
Toyota,Fortuner,2350000,2014,57000
Toyota,Corolla Altis,535000,2010,46000
Toyota,Camry,650000,2010,83000
Toyota,Fortuner,2750000,2016,19000
Toyota,Fortuner,2450000,2015,38000
Toyota,Fortuner,1400000,2011,115000
Toyota,Fortuner,2395000,2014,29500
Toyota,Corolla Altis,600000,2010,38000
Toyota,Land Cruiser Prado,5500000,2012,49000
Toyota,Etios Liva,350000,2011,50050
Toyota,Fortuner,2600000,2015,40000
Toyota,Fortuner,2050000,2013,60000
Toyota,Corolla Altis,810000,2013,58000
Toyota,Corolla Altis,825000,2013,45000
Toyota,Fortuner,1300000,2010,119000
Toyota,Fortuner,1725000,2012,92000
