Manufacturer,Model,Price,Year,KMS
Volkswagen,Polo,670000,2015,2600
Volkswagen,Polo,675000,2015,7000
Volkswagen,Vento,1005000,2015,21104
Volkswagen,Polo,535000,2016,25000
Volkswagen,Beetle,1850000,2010,850
Volkswagen,Vento,675000,2013,84982
Volkswagen,Jetta,1100000,2012,60000
Volkswagen,Beetle,1650000,2010,22000
Volkswagen,Beetle,1850000,2010,1000
Volkswagen,Jetta,825000,2011,45100
Volkswagen,Vento,450000,2011,79813
Volkswagen,Polo,660000,2015,14000
Volkswagen,Vento,450000,2011,35000
Volkswagen,Beetle,1650000,2010,23000
Volkswagen,Jetta,1900000,2016,5000
Volkswagen,Polo,575000,2016,27000
Volkswagen,Polo,515000,2013,21700
Volkswagen,Polo,675000,2015,8760
Volkswagen,Polo,550000,2013,28000
Volkswagen,Vento,480000,2011,71000
Volkswagen,Polo,700000,2015,4000
Volkswagen,Polo,570000,2014,35000
Volkswagen,Beetle,1500000,2012,18000
Volkswagen,Vento,510000,2012,61000
Volkswagen,Jetta,780000,2010,123350
Volkswagen,Polo,725000,2015,35000
Volkswagen,Vento,510000,2012,59600
Volkswagen,Polo,360000,2011,68735
Volkswagen,Polo,375000,2011,950000
Volkswagen,Polo,368000,2011,69000
Volkswagen,Jetta,1850000,2014,32000
Volkswagen,Jetta,775000,2010,133000
Volkswagen,Vento,535000,2012,42000
Volkswagen,Polo,410000,2012,54800
Volkswagen,Polo,585000,2016,27000
Volkswagen,Polo,520000,2013,39000
Volkswagen,Vento,620000,2016,30000
Volkswagen,Polo,349000,2011,49000
Volkswagen,Jetta,1450000,2016,80000
Volkswagen,Polo,650000,2014,31000
Volkswagen,Polo,720000,2015,1000
Volkswagen,Jetta,650000,2011,70000
Volkswagen,Polo,700000,2015,18000
Volkswagen,Polo,630000,2016,15000
Volkswagen,Jetta,575000,2010,150000
Volkswagen,Polo,360000,2011,78500
Volkswagen,Vento,699999,2013,80000
Volkswagen,Polo,375000,2011,78500
Volkswagen,Vento,775000,2014,18000
Volkswagen,Vento,470000,2010,87000
Volkswagen,Vento,700000,2013,28000
Volkswagen,Polo,670000,2015,25000
Volkswagen,Vento,700000,2013,60000
Volkswagen,Vento,475000,2011,80000
Volkswagen,Jetta,590000,2010,88000
Volkswagen,Vento,700000,2013,80000
Volkswagen,Vento,650000,2013,68000
Volkswagen,Vento,470000,2010,87000
Volkswagen,Vento,700000,2013,28000
Volkswagen,Jetta,695000,2011,69000
